gene_symbol,14-3-3,actin,autophagosome,centrosome,endo_lysosome,endosome,ER,ER_Golgi,Golgi,HSP70 chaperone,HSP90 chaperone,lysosome,mitochondria,p-body,peroxisome,plasma membrane,proteasome,recycling endosome,ribosome,stress granule
A0A024RBS8[p],5576,2546,5573,1953,2502,6001,2759,5069,184,3041,6852,2830,4795,3779,7919,5594.5,4672,152.5,6177,1016
A0A2R8Y3M9[p],2057,7241,3530,8147,1410,3637,4946,2382.5,2333,6581,4983,5266,6990,3731.5,1462,1349,3582,2328.5,5973,2971
A0A384MDX9[p];B4E0X8[p],1084,1732,6825.5,7785,1933,6775.5,1681.5,3135,2343,7070,2345,420,5063,7838,4068,1573.5,1252,109,3705,7738
A0A3B3ITR4[p],4440,2388,28.5,7068,6513,6078,86,933.5,2149.5,417,95,1819,459,7336,1675,6554,1827,1136,5782,2601
A0A455I2N7[p],7786,3230,4020,1195,2213,1965,2113,5227,5886.5,3776.5,3084,2243,2585,7694.5,4681,5708,6769,1733.5,6085,1422.5
A0A5C2GRJ2[p],7850,7841,992,7375,4205,2366.5,904,7032,114,4831,490,4616.5,787,6074,532,58,8019,2072,3908,7085.5
A0A7D5Y1P9[p],3688,4226,2729,5648,2434,6577.5,1787.5,1983.5,1712,7115,3505,3185.5,6459,2159,1180,3622,7163,229,5871,7198
A4UCU2[p],93,4427,3279,1463,7534,2435,5705,6048.5,3914,5620,3637,2727,7131,7157,1067.5,7149,7497,3504,2955,4650.5
A8K1J3[p],989,6341,1131.5,6161,2761,5831,3253.5,6978,6031.5,5790,5271,2294,6098,4257,5063,4251,2187,4945,4165,3681
A8K2F4[p],2480,7529,6666.5,739,1281,6184.5,5522.5,4496,2719,2958,6641,5768.5,3355,8090,4237,4576.5,4808,5155,7490,2410.5
A8K3S2[p],3052.5,6259,1477.5,5808,689,5272.5,6337,6016.5,3518,4361,5489,2175,4192,7145.5,1028,5128.5,7943,1232.5,6002,8025
A8K3Y5[p],5124,6171,4593,4209,3012,5007.5,3526.5,5624.5,4806,2624,3200,3710.5,5974,6109,6759,475,5591.5,2423,4732,6051
A8K4T2[p],2975,3011,3450,7557,5478,6003,5840,3182,2902,7523,6660,3204,6214,2251,1416,5214.5,7570,1400.5,6905.5,5311
A8K5B6[p],2073,6368,4611.5,3230,7122,1563,3213,5518.5,6066,1292,4640.5,5378.5,6515,6824,5760,3815,6982,2564,4893,7547
A8K5I9[p],6458,5160,1762.5,1173,4230,6983,4295,1732.5,4685.5,4598,4799,2225,710,7756.5,4229,3953,7966,1073,6603,7125
A8K6Q8[p];B7Z2I6[p],2972,6362,418.5,2827,7325,7552.5,795,2770.5,1436,191,125,5090,2240,8004,4876,4130,1031,7719,553,1032
A8K8U3[p],2915,5279,4056,3566,2656,8028,2378.5,4461,8067,1738,3992,3290,2017,2706.5,7759,7942,4595,3668,550,578.5
A8KAL2[p],1198,2828,6331,4989,5051,5864,3913,8223,8199,4420,2932,5656.5,1968,1019.5,789,2181,4605,8148.5,1096,1082
AAAS,6097,19,7786,998,5516,2017.5,7628,8166,5700,4183,7085,7600,6754,1571,7083,1771,409,7482,908,1063
AACS,3436,6723,6092.5,3921,2128,3492,4613,5172.5,4204.5,3573,5667,5955,6162,4563,5244,6793.5,6567,2817.5,6014.5,2724.5
AAGAB,160,3836,5924,4223,2132,2026,3837,7403,3921.5,7563,6862,5169,5810,3746,6543,4275.5,5544,5116,2811,2845
AAK1,4337.5,5654,1243,5245,4388,5803,3785,1007,2407,5171.5,5087.5,1135,4290.5,5249.5,1067.5,6735,4585.5,2789,3864,4701
AAMDC,6662,6726,1429.5,6503,4704,1998.5,6125,5398.5,3318.5,6289,2337,3564.5,6786,6987,1658.5,4972.5,4232,4189.5,2188,4072
AAMP,3575,3546,1374,7997,1295,2453.5,3512,4823,2904,6856,2480,6504.5,2406,2973,499,7262,7092,4197,4022,3413
AAR2,7661,3692,3603,4646,3499,6758,4366,5682,214,7532,7313,6118,3017,5578,222,3056,7214,2088,6374,4745.5
AARS1,7149,2819,2049,7568,5001.5,4372,2340.5,5182,3225,3186,2555,7110.5,2716,7886,3512,7544,1702,4388,957,2055.5
