Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,0.5600594984838452,0.4796299683470441,nucleus,no
RBM8A,0.8591000000000015,0.4650315347712252,nucleus,no
TM9SF4,-4.186371520820355,1.1202273104426093,Golgi,no
PTEN,0.9071810302728416,1.1983018691730982,cytosol,no
TM9SF2,-5.076866364282559,1.328284880611878,trans-Golgi,no
TM9SF3,-7.738318225803823,4.051596266560324,Golgi,no
AP1S1,-0.2998000000000012,0.0820817222503357,early_endosome,no
EIF3C,-0.671400000000002,2.0181110817754138,stress_granule,no
IFT22,0.6204178582731856,0.6939310731191162,cytosol,no
PRKRIP1,1.0583589523282877,0.3207784064512086,unclassified,no
CCP110,-3.4499075686317866,1.101130170561914,centrosome,no
PRICKLE3,-0.153359419593734,0.0404808145936896,unclassified,no
EBP,-7.527448293474052,1.660896680526491,ER,no
WDR45,-0.6878367619319157,0.5432087157961984,cytosol,no
GPRC5B,-3.8188275912722105,1.40553609094206,recycling_endosome,no
RBM3,0.4126000000000012,0.3574141065748626,nucleus,no
EPN2,-3.245899999999999,1.2351595064456182,plasma_membrane,no
PRPSAP2,-0.6945953420270534,0.1771459378076087,cytosol,no
BCL9,-1.1925069132711634,0.8732712710060052,cytosol,no
SPECC1,-1.5280999999999985,0.192215276659397,plasma_membrane,no
SEC61G,-3.7457430675823993,3.5250031070003027,ER,no
EXOC3,-0.5763205112111294,0.2091132245536879,plasma_membrane,no
CEP72,-1.9289674593505344,1.3566512131111277,centrosome,no
CCDC22,-1.98139864164412,1.0078686251431417,early_endosome,no
IFT20,-0.3954220238722321,0.3579142843802202,Golgi,no
OTUD5,0.72843955927436,0.1123076729978371,cytosol,no
MAPK7,-0.7516317331145927,0.1699641676588123,cytosol,no
PRAF2,-4.618951963839152,1.371801523781734,ER,no
TFE3,-0.0608408705861016,0.3184130031553219,nucleus,no
HDAC6,0.1748872258258273,0.0376035450856263,unclassified,no
SDHA,-1.2653999999999996,0.9673147214672247,mitochondrion,no
FAM168B,-0.3335013925863812,0.2098175502410108,unclassified,no
APPBP2,0.2726916001220658,0.3793112915708571,cytosol,no
INTS2,-0.2745001401488771,0.0178783388210662,nucleus,no
CLN8,0.5991099917631466,0.304538034451614,ER,no
TRAF4,-0.2397723769172834,0.6053146064463398,plasma_membrane,no
FLOT2,-1.6622999999999983,0.8743306641083379,lysosome,no
MYO18A,0.2443976079726795,0.005014798580937,actin_cytoskeleton,no
ALDOC,0.0809812747532525,0.1361359732427068,cytosol,no
RAB34 (A0A024QZ68),-2.420076796326132,2.186607628007182,plasma_membrane,no
TAOK1,-3.734224164750948,1.7519460078504197,plasma_membrane,no
MED13,-0.991815188028376,1.0328152681832776,nucleus,no
EFHD2,-2.1477111794768007,0.745558722411237,actin_cytoskeleton,no
TBX2,-0.8930537126791442,0.0703265208928605,nucleus,no
COG4,-2.653498420970444,0.5934082537736846,Golgi,no
SH2B1,-0.5171519750424949,0.3572736359747231,cytosol,no
TMEM51,-1.3014699906986316,1.0654286776052706,plasma_membrane,no
EPHA2,-2.925328368260857,1.9145600092717192,plasma_membrane,no
BCKDK,-7.727740927248007,2.270027395541461,mitochondrion,no
SULT1A1,0.5226484658158626,0.1792448508303962,cytosol,no
PRR14,-0.6312117981312859,0.3159552547163104,actin_cytoskeleton,no
ZNF48,-0.1941638214936567,0.1691025926038954,nucleus,no
CD2BP2,1.1452000000000029,0.1259403562225667,nucleus,no
ZNF768,-7.186871311066117,3.3407701477677305,nucleus,no
RPL18,-3.5809999999999995,7.0829699949959934,translation,no
SNRNP70,-0.2382999999999988,0.4881858974592301,nucleus,no
ZNF668,-0.0347702348603178,0.1155954822763116,nucleus,no
TDRD3,-0.4352255278227055,0.479776778481761,stress_granule,no
RUSF1,-3.52675262659804,1.4479674931804554,ER,no
PIH1D1,-0.3175634522504857,0.0269259884901618,unclassified,no
NUP62,-6.3440682542299065,5.407688211016742,ER,no
RRAS,-0.6089511822594638,0.3935183400865117,plasma_membrane,no
AKT1S1,0.6908957753256928,0.1020269749159999,lysosome,no
SCAF1,0.2213999999999991,0.2377160366275874,nucleolus,no
FCGRT,-0.2890418788499893,0.2452119783162696,recycling_endosome,no
VRK3,-0.3527684850828017,0.198420846641608,ER,no
NCOA4,-0.9628725681698144,0.8081464647844465,cytosol,no
UBE2D1,-0.1957621076402489,0.1415816054822442,cytosol,no
CCDC6,0.6749652587772381,0.4220315187571737,cytosol,no
PBLD,0.004109830996029,0.1511721423294303,cytosol,no
HNRNPH3,-0.2754999999999974,1.9883585820236072,nucleus,no
FAM241B,-3.511791813990058,1.549164490768072,ER,no
ASCC1,-0.7892295519962218,0.6793125598699953,translation,no
LRRC20,0.9223378268046396,2.76205253779009,cytosol,no
EIF4EBP2,-0.5581817738273216,0.1518471656976222,cytosol,no
PALD1,0.7604170829917507,1.2545809006841,cytosol,no
SEC24C,-2.959989974127524,0.6724795671179152,Golgi,no
DNAJC9,-3.473899999999997,5.255863603090454,nucleus,no
VCL,0.4344770444342565,0.1158899406098874,cytosol,no
ZWINT,-0.6317619446482539,0.5723303649807491,cytosol,no
ZMIZ1,-0.0231307701526617,0.0389599897880313,unclassified,no
CISD1,-2.1571,0.8737448831256798,mitochondrion,no
HERC4,-0.2514804430775186,0.3309686041423152,cytosol,no
MACROH2A2,-5.895411986008323,2.578451608074789,nucleus,no
SIRT1,0.4639540391090087,0.3158276966609548,cytosol,no
PSAP,-3.604779641475936,0.9992687586357424,lysosome,no
hCG_2002731,1.397599999999997,1.015348131073077,nucleus,no
AP3M1,-1.1711411303731651,0.7861652025944402,lysosome,no
SLC38A9,-0.5262000000000029,0.3260758674200792,lysosome,no
MOCS2 (A0A024QZS1),0.3947104799682748,0.2330600969489558,cytosol,no
PLPP1,-0.5873270083428288,0.6175836625714809,plasma_membrane,no
PPIF,0.9749000000000017,0.1781797893465129,mitochondrion,no
VDAC2,-0.3790000000000013,0.3352882708954536,mitochondrion,no
EXOC2,-1.994408198851897,0.6373685722244197,plasma_membrane,no
SERPINB9,0.0752364644257959,0.2724342860733671,cytosol,no
NQO2,-0.1368859433256943,0.4586416946325193,cytosol,no
RIPK1,-0.0934036069349666,0.0697344606551368,unclassified,no
EIF2AK1,-0.355894244373971,0.0268109219591014,cytosol,no
RREB1,0.1200901468988853,0.1054519806076476,nucleus,no
TPMT,0.3874071190768937,0.0597422789017866,cytosol,no
NOL7,-0.0182000000000002,0.1609293131591236,nucleolus,no
RANBP9,0.0196668565981426,0.0816617907813166,cytosol,no
NUP153,-2.9790462110532445,1.1106913557209976,nucleus,no
TBC1D7,-0.9552880937835012,0.5962405493414086,14-3-3_scaffold,no
SERPINB6,-0.0434235415724089,0.0182054949006277,cytosol,no
BPHL,-3.318132521266289,0.9992531252130208,mitochondrion,no
AIMP2,-5.236994991630713,1.2984744345521693,ER,no
FAM50B,0.26397557993225,0.164153688088823,unclassified,no
PRPF4B,-1.3961502515681978,0.6294936001386304,nucleolus,no
GMNN,0.2315429968569908,0.1263852473211708,nucleus,no
TMEM14C,0.2450737036777788,0.1543312073967531,nucleus,no
FAM8A1,-4.702776717967701,7.500010889086356,ER,no
SIRT5,0.1900288713924425,0.0641153887489626,mitochondrion,no
ABT1,-1.1678480484770226,1.015344061120891,nucleolus,no
DAB2,-0.5535063101970934,0.1746415501885812,plasma_membrane,no
OXCT1,-0.9727648834198028,0.4719170693827627,mitochondrion,no
RAD1,1.264518150702827,0.7478927271099262,cytosol,no
HMGN4,3.022199999999998,1.1454421847712988,nucleus,no
SLC1A3,-2.8764000000000003,1.928265440351114,plasma_membrane,no
HMGCS1,-0.6084288201667576,0.480681733423672,cytosol,no
VAMP7,-3.9362999999999992,3.134689243451392,early_endosome,no
SKP2,-0.8178578905884955,0.5585634092570863,cytosol,no
NUP155,-4.722200000000001,6.2195147449401285,ER,no
UBE2J2,-2.942994187389281,2.0846142582797804,ER,no
SDF4,-6.55805684696249,3.2730603132074205,Golgi,no
ZNF131,0.4866852131244137,0.2470434326468442,nucleus,no
PSRC1,5.624697989214091,2.6524291799022848,unclassified,yes
AHCYL1,-0.1624165117136797,0.1808379155481115,cytosol,no
FAAP20,-0.1023693688002964,0.0585985224078825,unclassified,no
DRAM2,-0.7876918759432812,0.3671467114675543,lysosome,no
NNT,-7.236671654381059,1.2088042284217253,mitochondrion,no
RHOC,0.102011507698684,0.0551342382774078,cytosol,no
CSDE1,-3.995799999999999,2.301038930330008,stress_granule,no
VANGL1,-1.0857000000000028,0.3329597465132588,plasma_membrane,no
GPSM2,0.0758742869756545,0.2125529993786354,cytosol,no
CLCC1,-3.804100000000002,6.461652011448718,ER,no
SLC16A1,-4.132247209057155,0.1908965426368882,plasma_membrane,no
MRPS12,-0.3759000000000014,0.809842012064482,mitochondrion,no
PAF1,3.568200000000001,1.663989515504615,nucleus,yes
WDR77,-1.564812357746515,0.198540432784358,cytosol,no
PAK4,0.2063999999999985,0.0160339411797378,actin_cytoskeleton,no
AP4B1,1.1305368842792518,0.0538540109752666,early_endosome,no
DMAC2,0.1082250056122369,0.258446350415047,mitochondrion,no
RAB4B,-1.048267230773,1.2020362650457277,early_endosome,no
CCDC97,-1.0405206542577794,0.5612866819453005,nucleolus,no
ERF,0.1777476341037633,0.0424273346737625,nucleus,no
GSK3A,-0.4714797016908427,0.6513814332082131,plasma_membrane,no
PAFAH1B3,-0.1555578168557403,0.0378786535538392,cytosol,no
TIMM50,-5.408000000000001,4.153028061862348,mitochondrion,no
SAMD4B,-0.0656568190614201,0.3631025233016078,stress_granule,no
ITPKC,0.4528359593208257,0.4907802899165181,cytosol,no
TGFB1,-1.3062259413574573,0.4360550173545368,ER,no
SMG9,0.0006322729934922,0.0137264040628424,unclassified,no
PLD3,-2.759813203751733,0.8128071909305384,lysosome,no
PPP1R13L,-0.2140770300615386,0.1577008193306889,cytosol,no
ERCC1,0.2015200416747795,0.0664298090409729,unclassified,no
PPP5C,-1.0434978961264072,0.4301137518247667,cytosol,no
SAE1,0.070834245066969,0.0542140030139973,cytosol,no
SYMPK,-3.4416549772650846,1.2615685957537923,nucleus,no
FKRP,-0.4591205686606407,0.5821427646919757,Golgi,no
NAPA,-1.5385999999999989,1.965062648981532,early_endosome,no
EHD2,-0.1222480311879685,0.3504919364670301,plasma_membrane,no
XRCC1,-6.386554685428152,2.4660761210694098,nucleus,no
DHRS11,-0.2210302718510135,0.2172036617710351,cytosol,no
SH3BP5L,0.343995833943552,0.0116892756280155,14-3-3_scaffold,no
KLC3,-0.5980295607010824,0.46942400071618,14-3-3_scaffold,no
VASP,15.522752952515116,11.629226302933729,actin_cytoskeleton,yes
SLC38A2,-2.269499999999997,1.0300729868292176,plasma_membrane,no
SYNRG,-0.7005036808808178,0.4889301146925437,early_endosome,no
ZNHIT3,4.562255147363604,0.3580175943205022,nucleus,no
TADA2A,0.1406742495692796,0.0709672321522757,nucleus,no
PFKM,-0.5828850194610915,1.43726826449723,cytosol,no
DDX23,-2.7412890896696283,1.1564305073237002,nucleus,no
TMBIM6,0.1055501846616948,0.1270293151143523,ER,no
PEX26,-1.10735490310946,0.8835423255611508,peroxisome,no
SPATS2,2.5304,0.4821991132115676,nucleolus,no
SMARCD1,5.734250882318207,9.579133896944612,nucleus,yes
CNTN1,-3.8215082350960223,1.4621483043170782,plasma_membrane,no
ZCRB1,0.4854785752574457,0.1730496816145647,stress_granule,no
TMT1A,-2.7625842754055903,1.77783071157068,ER,no
TFCP2,-1.505981238384809,0.9706609056832628,ER,no
PRKAG1,0.4704525765572285,0.2570015782695423,cytosol,no
ATG101,-0.7810982251541461,1.5344767762832086,cytosol,no
RACGAP1,1.0528999999999975,0.3926903980092099,14-3-3_scaffold,no
CTSV,-1.462727847395506,0.9315490279293516,lysosome,no
CORO2A,-0.7654945157367088,1.0746994120892843,actin_cytoskeleton,no
SLC44A1,-0.0992089555751718,0.4784804504935949,plasma_membrane,no
