Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,2.990684080727572,2.399996714748161,nucleus,yes
RBM8A,-0.7284499999999987,0.2129046115795494,nucleus,no
TM9SF4,2.3930000000000007,1.3616918341649675,Golgi,yes
PTEN,-0.673791388428139,0.3055666078196795,cytosol,no
TM9SF2,-0.41235,0.2929583241229147,trans-Golgi,no
TM9SF3,1.3031999999999968,0.5161027498065733,Golgi,no
AP1S1,-0.8259000000000007,0.1715458114312088,early_endosome,no
EIF3C,-1.0804500000000026,1.701860295129046,stress_granule,no
IFT22,0.1328813215950077,0.1047100657924433,cytosol,no
PRKRIP1,-0.7141169925216282,0.7220708287253691,unclassified,no
CCP110,-1.8689,0.5684717992661296,centrosome,no
PRICKLE3,0.2493110079380009,0.0177888971826817,unclassified,no
EBP,-0.1755999999999993,0.3360723306145049,ER,no
WDR45,0.3493557488522967,0.1892529275485439,cytosol,no
GPRC5B,-2.1595000000000013,0.7615753795169331,recycling_endosome,no
RBM3,1.2322500000000003,1.3424233488149315,nucleus,yes
EPN2,1.6948499999999989,0.5252741677691594,plasma_membrane,no
PRPSAP2,1.1908721659085622,1.339499456502126,cytosol,yes
BCL9,0.4212192653909881,0.6147438464693151,cytosol,no
SPECC1,-1.7104999999999997,0.8508469225800767,plasma_membrane,no
SEC61G,2.03125,3.00408367849894,ER,yes
EXOC3,2.25628879757458,0.092557063093908,plasma_membrane,no
CEP72,3.636065793504319,0.4674579136660897,centrosome,no
CCDC22,-0.0358499999999999,0.0851775022039188,early_endosome,no
IFT20,-0.3780938438399701,0.1369813755556709,Golgi,no
OTUD5,-0.715271637583065,0.575177667709558,cytosol,no
MAPK7,-0.2407489068033861,0.0437273915676971,cytosol,no
PRAF2,-0.7401264297030963,0.0072289550624069,ER,no
TFE3,-0.5326695120754756,0.114782349794718,nucleus,no
HDAC6,-0.1587795641678973,0.2018280248502143,unclassified,no
SDHA,2.249699999999997,3.0328149375120006,mitochondrion,yes
FAM168B,-0.964601753297309,0.7541899007116438,unclassified,no
APPBP2,-0.6457911723033263,0.1224134547789723,cytosol,no
