Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.9087999999999994,0.5355284470600451,nucleus,no
RBM8A,-1.653100000000002,1.4525445280702476,nucleus,no
TM9SF4,-3.943550000000002,2.155447915104812,Golgi,no
PTEN,0.2769369493186566,0.1755711041123493,cytosol,no
TM9SF2,-1.5779500000000013,0.7508766925411153,trans-Golgi,no
TM9SF3,-5.59545,2.482619747525749,Golgi,no
AP1S1,-1.1393500000000003,0.2208432442267622,early_endosome,no
EIF3C,1.2386499999999998,0.5010062980413013,stress_granule,no
IFT22,-0.1843215737097274,0.0506401483902295,cytosol,no
PRKRIP1,-0.6200821292464518,0.1078714651931773,unclassified,no
CCP110,-2.35685932569643,1.2035627802243405,centrosome,no
PRICKLE3,-0.1986608319450837,0.1804470125707009,unclassified,no
EBP,0.3872500000000016,0.1604095640964419,ER,no
WDR45,-0.006284679888413,0.3006134099472438,cytosol,no
GPRC5B,0.3036999999999992,0.3347124024463444,recycling_endosome,no
RBM3,-0.678449999999998,0.1383968693665671,nucleus,no
EPN2,3.74155,3.338303592030744,plasma_membrane,yes
PRPSAP2,5.158260097142769,10.149051250773066,cytosol,yes
BCL9,0.5035603791615415,0.328035103909042,cytosol,no
SPECC1,2.717049999999997,3.231511233023644,plasma_membrane,yes
SEC61G,-1.466750000000001,3.788587051867316,ER,no
EXOC3,5.631149999999998,5.539998796522893,plasma_membrane,yes
CEP72,-1.0766499999999972,0.4800167706512131,centrosome,no
CCDC22,1.4654462031659357,0.3474064726147767,early_endosome,no
IFT20,-0.4129748843056475,0.3280490227966254,Golgi,no
OTUD5,0.7357954263100801,1.3895445529802264,cytosol,no
MAPK7,1.2613449734790834,0.5087218357355708,cytosol,no
PRAF2,-5.354085063261806,0.9723443534752036,ER,no
TFE3,-0.082573112223045,0.2278455624210223,nucleus,no
HDAC6,2.160052306029179,3.813666753980451,unclassified,yes
SDHA,-1.7125999999999983,2.713458533639397,mitochondrion,no
FAM168B,-0.4074698847440743,0.3406575163023598,unclassified,no
APPBP2,-0.9087487085972406,0.4531625607332077,cytosol,no
INTS2,-1.621379732741449,1.1391782109217656,nucleus,no
CLN8,-0.6997846414460369,0.6962444774107371,ER,no
TRAF4,4.843454534083481,11.984687738155992,plasma_membrane,yes
FLOT2,2.153049999999997,2.608406098976205,lysosome,yes
MYO18A,8.180349579746657,7.068733111045417,actin_cytoskeleton,yes
ALDOC,3.300031137103005,5.775082145550732,cytosol,yes
RAB34 (A0A024QZ68),0.2315000000000004,0.3935267068533614,plasma_membrane,no
TAOK1,4.876750000000001,6.67418396637542,plasma_membrane,yes
MED13,-0.2015378989807565,0.2512456954586832,nucleus,no
EFHD2,5.301756924986581,4.831849716600924,actin_cytoskeleton,yes
TBX2,-0.1722962579757982,0.3129800345695285,nucleus,no
COG4,-5.181187723077635,1.534890262810262,Golgi,no
SH2B1,-0.2684568722834726,0.0290171494946553,cytosol,no
TMEM51,3.808567556701668,1.9123476159438488,plasma_membrane,yes
EPHA2,2.6401499999999984,3.038477769910853,plasma_membrane,yes
BCKDK,-2.995149999999999,3.561051638163852,mitochondrion,no
SULT1A1,0.1904802539925825,0.0855674668882435,cytosol,no
PRR14,-1.0404780030956466,0.3383537793561796,actin_cytoskeleton,no
ZNF48,1.1629919316189898,1.770775303733184,nucleus,yes
CD2BP2,1.8759000000000008,0.8982383309304764,nucleus,no
ZNF768,-3.457250525068339,2.223720099565744,nucleus,no
RPL18,0.2602500000000027,0.0981993729721696,translation,no
SNRNP70,-1.8667000000000016,1.1303007830708334,nucleus,no
ZNF668,-0.5884689742728355,0.5607110626033628,nucleus,no
TDRD3,0.5021924538739384,0.4779546645545606,stress_granule,no
RUSF1,-0.5303500000000021,0.1140636642742065,ER,no
PIH1D1,2.7340550764854257,1.1136438631080368,unclassified,no
NUP62,-0.7102499999999985,1.6202176848308405,ER,no
RRAS,3.4662500000000023,2.7668871546775,plasma_membrane,yes
AKT1S1,0.6006030517100598,0.2013118298863269,lysosome,no
SCAF1,-2.194950000000002,0.7440603140552088,nucleolus,no
FCGRT,-0.3803499999999999,0.488596857553033,recycling_endosome,no
VRK3,-0.2848122353550124,0.4702660019910747,ER,no
NCOA4,-0.1010930685626085,0.2700560960475003,cytosol,no
UBE2D1,-0.4085792988110768,0.1885110445804774,cytosol,no
CCDC6,2.754101023190451,6.19268962994632,cytosol,yes
PBLD,0.1371591705591726,0.1088715030257,cytosol,no
HNRNPH3,-1.8176000000000023,3.463001320078813,nucleus,no
FAM241B,-0.8243391168389032,0.4499966631744464,ER,no
ASCC1,3.6559995601860606,2.1696554154559577,translation,yes
LRRC20,-1.1464077930663876,0.8580616597204986,cytosol,no
