Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,1.7926499999999983,0.6113481994295968,nucleus,no
RBM8A,1.193749999999998,2.7063948120030683,nucleus,yes
TM9SF4,-6.216250000000002,3.99688911930852,Golgi,no
PTEN,-0.0976544674556265,0.0978282581035957,cytosol,no
TM9SF2,-4.78425,5.33211751710625,trans-Golgi,no
TM9SF3,-5.211549999999999,2.12088011309815,Golgi,no
AP1S1,-2.5951500000000003,1.6129309207264622,early_endosome,no
EIF3C,2.897000000000002,8.712984461028126,stress_granule,yes
IFT22,1.2321927537721074,1.5612227900867417,cytosol,yes
PRKRIP1,0.1187201234858541,0.585501649783993,unclassified,no
CCP110,2.3198683368117585,1.1042391803634115,centrosome,no
PRICKLE3,0.2874875370989009,0.0297715871217362,unclassified,no
EBP,-2.201550000000001,0.9568918903295948,ER,no
WDR45,0.0553333899074388,0.1538752684023827,cytosol,no
GPRC5B,-0.3082999999999991,0.1102120747102396,recycling_endosome,no
RBM3,2.5419500000000035,3.2195741777862046,nucleus,yes
EPN2,-3.630300000000002,2.340253815360346,plasma_membrane,no
PRPSAP2,-1.6102425284993238,1.1671649558307688,cytosol,no
BCL9,-0.0113795123025859,0.0625967909350559,cytosol,no
SPECC1,-2.958200000000001,3.8116211902711945,plasma_membrane,no
SEC61G,0.2639500000000012,0.1503184373356466,ER,no
EXOC3,-1.8184000000000005,1.022836249050392,plasma_membrane,no
CEP72,0.5901000000000032,0.0797802934277085,centrosome,no
CCDC22,-3.1532100228803586,1.9823034931379075,early_endosome,no
IFT20,-0.6016999999999975,0.5418636676800436,Golgi,no
OTUD5,-0.0858602447692611,0.0077508575514367,cytosol,no
MAPK7,0.5914526766236996,0.3032578011509489,cytosol,no
PRAF2,4.090113774984289,0.7729954847356869,ER,no
TFE3,-0.1810009497368803,0.007514069085465,nucleus,no
HDAC6,-0.0551766572804446,0.1697750020751209,unclassified,no
SDHA,0.6600000000000001,0.9219105276570478,mitochondrion,no
FAM168B,0.056042301499886,0.0022935223464769,unclassified,no
APPBP2,-0.2232591296574853,0.2029443400803798,cytosol,no
INTS2,0.1605609192417034,0.2167812192212858,nucleus,no
CLN8,-0.6312103935536975,0.6047294813626223,ER,no
TRAF4,-1.5863758536890202,1.117845353491017,plasma_membrane,no
FLOT2,-1.6738999999999962,2.424314450178906,lysosome,no
MYO18A,-1.950649999999996,0.4706371215615489,actin_cytoskeleton,no
ALDOC,2.102089581521902,0.3163756674275492,cytosol,no
RAB34 (A0A024QZ68),-0.7734500000000004,2.093428624583528,plasma_membrane,no
TAOK1,-0.7327999999999975,0.3677751026761804,plasma_membrane,no
MED13,2.812478320121688,2.3432750193389,nucleus,yes
EFHD2,-2.756867302631281,1.2249784884204944,actin_cytoskeleton,no
TBX2,-0.0093643103469425,0.0257651237830385,nucleus,no
COG4,-5.731676022038183,1.9151180072357776,Golgi,no
SH2B1,-0.6340168458176123,0.1750856867982341,cytosol,no
TMEM51,-4.266175023350975,1.810761775005348,plasma_membrane,no
EPHA2,-1.3340500000000013,1.5218317049984225,plasma_membrane,no
BCKDK,0.1619500000000009,0.3112149613406613,mitochondrion,no
SULT1A1,-0.0962530288260907,0.2022080105174713,cytosol,no
PRR14,-0.2155253507069652,0.4490374723173274,actin_cytoskeleton,no
ZNF48,-0.1642579227199618,0.0481127261614669,nucleus,no
CD2BP2,1.5074000000000003,1.4366388485144712,nucleus,yes
ZNF768,0.8189000000000028,0.7137197609572524,nucleus,no
RPL18,1.2140500000000003,7.136030944528288,translation,yes
SNRNP70,2.0904999999999987,2.2123422531629964,nucleus,yes
ZNF668,-0.5283801667935961,0.1302508590904846,nucleus,no
TDRD3,9.084222708102782,5.8421184177165255,stress_granule,yes
RUSF1,-0.5192499999999995,0.1640149909753915,ER,no
PIH1D1,4.2928010522157365,6.783932921481168,unclassified,yes
NUP62,-0.370199999999997,0.2776799607812601,ER,no
RRAS,-1.3057499999999995,1.261453474169537,plasma_membrane,no
AKT1S1,-0.7311808770230108,0.5307380052615597,lysosome,no
SCAF1,3.197650000000003,1.58102569339483,nucleolus,yes
FCGRT,0.0635499999999993,0.0260737231084912,recycling_endosome,no
VRK3,-1.5231760951155842,1.210748662956414,ER,no
NCOA4,0.0678629567035855,0.0871435986873095,cytosol,no
UBE2D1,-1.0987609123192357,1.0110689921516298,cytosol,no
CCDC6,-0.344092130951168,0.3898925714614061,cytosol,no
PBLD,-0.5309871312088035,0.5934414768861863,cytosol,no
HNRNPH3,1.8462,2.9967455533468863,nucleus,yes
FAM241B,0.5915484491033389,0.032320249228304,ER,no
ASCC1,4.73233113997275,3.659182388191152,translation,yes
LRRC20,0.190413867870582,0.1206024295642001,cytosol,no
EIF4EBP2,1.0581441862205452,0.0149149043868162,cytosol,no
PALD1,-1.1509177546062157,0.3676272652978504,cytosol,no
SEC24C,-6.093549999999997,2.780830995360072,Golgi,no
DNAJC9,-0.171050000000001,0.1174509875045945,nucleus,no
VCL,-3.927500000000002,1.6725920332044433,cytosol,no
ZWINT,-0.2582738337946146,0.156302768548563,cytosol,no
ZMIZ1,0.6700499999999998,0.2307159762918043,unclassified,no
CISD1,-0.0316000000000009,0.2440038568131006,mitochondrion,no
HERC4,0.3840960612557005,0.3444868950019934,cytosol,no
MACROH2A2,-0.5396000000000001,0.0816089326145675,nucleus,no
SIRT1,1.227636987309296,0.8566852416053005,cytosol,no
PSAP,-2.546,2.357866080461128,lysosome,no
hCG_2002731,1.4139499999999998,1.5390069150467671,nucleus,yes
AP3M1,-3.688572658273497,1.911748769134448,lysosome,no
SLC38A9,-1.5713000000000008,1.5129687922555657,lysosome,no
MOCS2 (A0A024QZS1),-1.181990821453862,0.9803886439126952,cytosol,no
PLPP1,-3.052177321203072,2.048708677255919,plasma_membrane,no
PPIF,0.9799499999999988,1.3643356720907276,mitochondrion,no
VDAC2,0.1890999999999998,0.3656353257087987,mitochondrion,no
EXOC2,-0.8165499999999994,0.7275340166834917,plasma_membrane,no
SERPINB9,0.4127191668507102,0.1717355285538536,cytosol,no
NQO2,-1.44022740146794,1.6538124228625546,cytosol,no
RIPK1,-0.3119363727773496,0.2682321221771215,unclassified,no
