Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,1.5848239611452222,0.5973285863319291,nucleus,no
RBM8A,-0.3834999999999979,0.8285841897111106,nucleus,no
TM9SF4,-0.0970500000000029,0.103817979694722,Golgi,no
PTEN,0.9078992829321244,0.2791328549700999,cytosol,no
TM9SF2,0.8117000000000019,0.4632052746258975,trans-Golgi,no
TM9SF3,2.573300000000004,0.8367863834904459,Golgi,no
AP1S1,0.1234999999999999,0.1306973216896717,early_endosome,no
EIF3C,0.0099000000000017,0.2012754499932154,stress_granule,no
IFT22,-0.332388392671838,0.5808482345416913,cytosol,no
PRKRIP1,-0.3423498600390324,0.2496407804688958,unclassified,no
CCP110,1.5590499999999956,1.2312964740253445,centrosome,no
PRICKLE3,-0.7349025482246141,0.7654458091506249,unclassified,no
EBP,0.6926999999999985,0.7054502807060842,ER,no
WDR45,0.6862347164363172,0.4354201163945237,cytosol,no
GPRC5B,-0.1432000000000002,0.2443708940983328,recycling_endosome,no
RBM3,0.0549999999999997,0.1512474468802608,nucleus,no
EPN2,4.693800000000003,2.5671411440163703,plasma_membrane,yes
PRPSAP2,-1.3405872981066516,0.8999796276999554,cytosol,no
BCL9,-0.7969697610536741,0.3141698496279808,cytosol,no
SPECC1,2.515349999999998,1.1900525164958915,plasma_membrane,no
SEC61G,-0.004649999999998,0.2203487471199614,ER,no
EXOC3,1.5856499999999976,0.1565125086913182,plasma_membrane,no
CEP72,3.8375720140238654,3.371943998259321,centrosome,yes
CCDC22,2.2762,1.6872496061364308,early_endosome,yes
IFT20,-0.0903077607428883,0.2385064090488082,Golgi,no
OTUD5,0.0696032470181577,0.0799567323048455,cytosol,no
MAPK7,0.6824063912128047,0.1000799553813639,cytosol,no
PRAF2,0.6366066998253928,0.0636133125004159,ER,no
TFE3,-0.1936209868505258,0.242891728011751,nucleus,no
HDAC6,0.7254773075373073,0.0269406481474164,unclassified,no
SDHA,4.082300000000004,1.2160248222723584,mitochondrion,no
FAM168B,-1.3822047078764648,1.9915765973956283,unclassified,no
APPBP2,-1.738710434494941,1.4803350658520449,cytosol,no
INTS2,-0.9278259915518206,0.4845662695831893,nucleus,no
CLN8,-0.320998437609866,0.4813375960306397,ER,no
TRAF4,0.1242495590600611,0.0999232533917892,plasma_membrane,no
FLOT2,2.3065,1.4009753255285338,lysosome,yes
MYO18A,-0.2317001725985079,0.1987366787263603,actin_cytoskeleton,no
ALDOC,-2.1358532028328305,0.6596645164011302,cytosol,no
RAB34 (A0A024QZ68),-0.7303999999999995,0.1212452540362658,plasma_membrane,no
TAOK1,0.7290499999999973,0.6412903598133745,plasma_membrane,no
MED13,0.1460440015104502,0.4561270040098581,nucleus,no
EFHD2,4.079369153419286,3.1656544387033505,actin_cytoskeleton,yes
TBX2,-0.0992259991134645,0.1264705756114309,nucleus,no
COG4,0.7809500000000007,0.0213888849923286,Golgi,no
SH2B1,1.9416281773621515,2.316843232011776,cytosol,yes
TMEM51,1.1188510582184747,0.2275517320964365,plasma_membrane,no
EPHA2,0.3797999999999994,0.616920568353271,plasma_membrane,no
BCKDK,5.1557608508705215,0.7360829117116484,mitochondrion,no
SULT1A1,0.2088910533090384,0.0921010203928176,cytosol,no
PRR14,-0.9668457757836356,0.5584682434035825,actin_cytoskeleton,no
ZNF48,0.7510316058135089,0.3293561171089204,nucleus,no
CD2BP2,-0.7009499999999989,0.0193773148206517,nucleus,no
ZNF768,0.9765999999999976,0.3716962889718763,nucleus,no
RPL18,0.1309000000000004,0.0630115343831577,translation,no
SNRNP70,0.3042499999999997,0.0583722684430168,nucleus,no
ZNF668,-0.817089341963932,0.4331544373896129,nucleus,no
TDRD3,-1.055799999999998,0.2209755383130372,stress_granule,no
RUSF1,0.745000000000001,0.3269137325342168,ER,no
PIH1D1,-0.3726500000000001,0.1434024038179936,unclassified,no
NUP62,1.3303499999999993,0.7550514707351338,ER,no
RRAS,-0.5542000000000016,0.0423724201363305,plasma_membrane,no
AKT1S1,4.872096944064655,5.6544692505769865,lysosome,yes
SCAF1,-1.7540394412576994,0.7345955368105914,nucleolus,no
FCGRT,-0.3833999999999982,0.3017536879759398,recycling_endosome,no
VRK3,-1.0020006196630007,1.1042287910191293,ER,no
NCOA4,3.166820319096818,1.6480674652638974,cytosol,yes
UBE2D1,0.6470696749963132,0.5632450615650548,cytosol,no
CCDC6,-0.0089476981558895,0.1786818828791384,cytosol,no
PBLD,0.4982524908096195,0.3443354097298733,cytosol,no
HNRNPH3,-0.1272499999999965,0.0070324578586254,nucleus,no
FAM241B,-0.8259603039187624,0.4039345424047505,ER,no
ASCC1,-0.4158000000000008,0.2687572733084286,translation,no
LRRC20,-0.3045577671265391,0.0549673740598341,cytosol,no
EIF4EBP2,-0.2481676641318806,0.3867161940111977,cytosol,no
PALD1,1.938081469998501,2.884689490944486,cytosol,yes
SEC24C,1.004249999999999,0.1401613009694504,Golgi,no
DNAJC9,-0.7911000000000001,0.8480800152985675,nucleus,no
VCL,0.8939999999999984,0.5352239275999385,cytosol,no
ZWINT,-1.445999999999998,1.7300978390422137,cytosol,no
ZMIZ1,-1.9246000000000016,1.0492318899917406,unclassified,no
CISD1,2.4819116625951096,0.291093367794311,mitochondrion,no
HERC4,-0.7694314227885215,0.2091484710322755,cytosol,no
MACROH2A2,2.7302500000000016,0.9145692816976976,nucleus,no
SIRT1,-0.5888494642024291,0.3922594557377077,cytosol,no
PSAP,2.528500000000001,1.450136275733592,lysosome,yes
hCG_2002731,0.8536499999999982,0.8274610465406114,nucleus,no
AP3M1,1.3455000000000013,0.8751276365257763,lysosome,no
SLC38A9,2.28575,1.7600754235341485,lysosome,yes
MOCS2 (A0A024QZS1),-0.0061376226250224,0.2191080649088932,cytosol,no
PLPP1,3.7518157859202432,1.888943237859168,plasma_membrane,yes
PPIF,4.487500000000001,1.5417891278439504,mitochondrion,yes
VDAC2,3.402000000000001,1.2510921446422825,mitochondrion,no
EXOC2,-0.0838000000000001,0.1562874958227058,plasma_membrane,no
SERPINB9,0.4187606648453865,0.3169209588920315,cytosol,no
NQO2,-0.167846198708613,0.9438253066652148,cytosol,no
RIPK1,-2.8001499999999986,0.5075733000474687,unclassified,no
EIF2AK1,-0.2149484289692509,0.1361023318509307,cytosol,no
RREB1,0.2887666053168729,0.6735266847695603,nucleus,no
TPMT,-0.084496068578332,0.0345609180623654,cytosol,no
NOL7,-0.7283499999999989,0.1538203514592318,nucleolus,no
RANBP9,-1.2746500000000012,0.4462031585362334,cytosol,no
NUP153,-0.2716851773079796,0.1209809311877058,nucleus,no
TBC1D7,0.8775161053111944,0.5202066456895342,14-3-3_scaffold,no
SERPINB6,-0.2207528029220533,0.60675749616399,cytosol,no
BPHL,2.069923946584339,0.4973149000131366,mitochondrion,no
AIMP2,-0.1961500000000029,0.0374241268355771,ER,no
FAM50B,0.0049384232907598,0.0735846995145951,unclassified,no
PRPF4B,-0.7416500000000035,0.692818901978688,nucleolus,no
GMNN,-1.149284931385612,0.5504615188469996,nucleus,no
TMEM14C,-0.437528557009113,0.8220298012869445,nucleus,no
FAM8A1,0.8908500000000004,0.4977862039880165,ER,no
SIRT5,0.3970882687826389,0.1022362223944689,mitochondrion,no
ABT1,-2.0222816680263627,0.550334467530302,nucleolus,no
DAB2,-0.4781813622200808,0.7402815994588043,plasma_membrane,no
OXCT1,1.3652525032039264,0.584753469338576,mitochondrion,no
RAD1,-0.0279966016020942,0.2516068360689763,cytosol,no
HMGN4,-0.769356060802636,0.5247393872722669,nucleus,no
SLC1A3,-0.1180500000000002,0.3170882283956293,plasma_membrane,no
HMGCS1,2.3684464970371515,1.2660469936988126,cytosol,no
VAMP7,0.7246000000000024,0.7179992741523193,early_endosome,no
SKP2,-0.1712025291701806,0.0130831317375504,cytosol,no
NUP155,0.6174000000000035,0.5321241238045559,ER,no
UBE2J2,1.0345499999999994,0.5822994452645687,ER,no
SDF4,1.4543500000000016,0.3896588923780459,Golgi,no
ZNF131,0.8166388055927705,0.9391855988809312,nucleus,no
PSRC1,0.5553500000000007,0.6658161840374393,unclassified,no
AHCYL1,-1.2522982504502664,0.203400298007888,cytosol,no
FAAP20,0.1361456787288872,0.3984661509454085,unclassified,no
DRAM2,4.725057100970936,5.894930855046527,lysosome,yes
NNT,5.464181401241078,0.6255711427531088,mitochondrion,no
RHOC,2.026583390876357,1.7424173147188844,cytosol,yes
CSDE1,-0.6675000000000004,0.7383482024521384,stress_granule,no
VANGL1,1.256249999999998,0.9374691578580648,plasma_membrane,no
GPSM2,0.4149202939738217,0.2504181559431471,cytosol,no
CLCC1,0.9227500000000006,0.7780896797514939,ER,no
SLC16A1,1.059750000000001,0.9295854954399912,plasma_membrane,no
MRPS12,3.30201387341096,1.102789838591936,mitochondrion,no
PAF1,-0.3773999999999979,0.1007405781315024,nucleus,no
WDR77,-0.4757499999999979,0.6582057241638027,cytosol,no
PAK4,0.8988499999999995,0.8351255822351611,actin_cytoskeleton,no
AP4B1,0.8122222277681139,1.472540384013404,early_endosome,no
DMAC2,0.1937119379683096,0.0267084911876829,mitochondrion,no
RAB4B,-0.0317035729539121,0.1514338680679724,early_endosome,no
CCDC97,0.94524650835222,0.0367999950279726,nucleolus,no
ERF,0.2805999999999997,0.24778268636699,nucleus,no
GSK3A,1.0643833519434764,0.3449579217162872,plasma_membrane,no
PAFAH1B3,1.2767301505476605,0.8275787475472529,cytosol,no
TIMM50,2.9085,0.6432936050911733,mitochondrion,no
SAMD4B,-4.000500000000002,3.342832193153084,stress_granule,no
ITPKC,0.6984909813323199,1.099015452656734,cytosol,no
TGFB1,0.2535391013686059,0.2383752466035809,ER,no
SMG9,-3.048938459390545,2.401988527495724,unclassified,no
PLD3,3.7533,2.1521271350340103,lysosome,yes
PPP1R13L,-0.5764508861317417,0.3320975134369519,cytosol,no
ERCC1,-0.0392372145108375,0.3214488305738634,unclassified,no
PPP5C,-0.1895000000000024,0.1259519377727398,cytosol,no
SAE1,1.4826596670846612,0.4010440535237774,cytosol,no
SYMPK,0.2881,0.2204989946192452,nucleus,no
FKRP,-1.4125144833899554,0.5124244177970908,Golgi,no
NAPA,0.1280999999999998,0.5473115837397293,early_endosome,no
EHD2,-0.0635108005749778,0.1095897870640728,plasma_membrane,no
XRCC1,1.4522000000000013,0.6756479420902217,nucleus,no
DHRS11,1.0465434028623335,1.3488801903161485,cytosol,yes
SH3BP5L,-0.2286432186812028,0.024831869980776,14-3-3_scaffold,no
KLC3,-0.0316738036845798,0.355125624236812,14-3-3_scaffold,no
VASP,1.5242361213957167,1.194270214750147,actin_cytoskeleton,no
SLC38A2,-0.3046500000000023,0.2046836855796344,plasma_membrane,no
SYNRG,-5.855455475188201,1.1873844012833712,early_endosome,no
ZNHIT3,-0.4919815812249517,0.0931225660073959,nucleus,no
