Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,1.677689803562945,1.4572815758400273,nucleus,yes
RBM8A,0.8499000000000017,2.590908716080884,nucleus,no
TM9SF4,2.1372,0.8987151051643503,Golgi,no
PTEN,-0.0122669621407851,0.1053737175844979,cytosol,no
TM9SF2,0.5628999999999991,0.6461955778966286,trans-Golgi,no
TM9SF3,0.9527,0.0557143754116405,Golgi,no
AP1S1,-1.3472000000000008,2.581731168378504,early_endosome,no
EIF3C,-0.8227000000000011,3.2309202794443044,stress_granule,no
IFT22,0.5506140485805489,0.3601634217054031,cytosol,no
PRKRIP1,-0.1691758447472864,0.0723093795109137,unclassified,no
CCP110,-1.7591,2.080841631903868,centrosome,no
PRICKLE3,0.0173416834228419,0.1584706516125567,unclassified,no
EBP,2.5539999999999985,1.533052615643982,ER,yes
WDR45,0.6650637152585794,0.3907748985352702,cytosol,no
GPRC5B,-2.064899999999998,1.646001256273157,recycling_endosome,no
RBM3,-0.3254000000000019,0.0208674190528111,nucleus,no
EPN2,-1.599899999999998,0.7935683147068223,plasma_membrane,no
PRPSAP2,-0.7542203406592343,0.936022875717146,cytosol,no
BCL9,-0.1717380353485467,0.1211478031902921,cytosol,no
SPECC1,-1.6089999999999982,2.078726888800514,plasma_membrane,no
SEC61G,1.1975000000000016,2.3427080801833933,ER,yes
EXOC3,-2.3782999999999994,8.121374290125134,plasma_membrane,no
CEP72,-0.8697999999999979,0.2330230642584241,centrosome,no
CCDC22,-1.2424999999999995,1.9150293385413824,early_endosome,no
IFT20,0.3470249924064674,0.0085019062117246,Golgi,no
OTUD5,0.325940061456702,0.3189478469469465,cytosol,no
MAPK7,0.9085573591028612,0.5643545258790835,cytosol,no
PRAF2,1.9900999999999984,1.05570547003328,ER,no
TFE3,0.4222004602388836,0.4224599949253958,nucleus,no
HDAC6,-0.0130328412254314,0.8459604676872151,unclassified,no
SDHA,0.9147999999999996,2.201201846343457,mitochondrion,no
FAM168B,-0.6766773753954318,0.0061761205720376,unclassified,no
APPBP2,0.3107929397873228,0.1668811418911581,cytosol,no
INTS2,-0.1194606682218335,0.0006331654000604,nucleus,no
CLN8,0.3553220705776247,0.1147413267410864,ER,no
TRAF4,0.3980385720183612,0.4723881799624806,plasma_membrane,no
FLOT2,-0.8308999999999997,3.516871863288907,lysosome,no
MYO18A,-2.096900000000001,0.3183625341856823,actin_cytoskeleton,no
ALDOC,1.4277807624260743,0.1331945816053505,cytosol,no
RAB34 (A0A024QZ68),-0.6631,1.984708923852428,plasma_membrane,no
TAOK1,-0.9441999999999986,2.9096629739290663,plasma_membrane,no
MED13,-0.0223865353536467,0.048657681078219,nucleus,no
EFHD2,-1.325300000000002,1.648289908203018,actin_cytoskeleton,no
TBX2,-0.3234439160741047,0.0246858937877205,nucleus,no
COG4,0.6417000000000002,0.0497506706184354,Golgi,no
SH2B1,-0.967299999999998,0.610070777999896,cytosol,no
TMEM51,-0.6007999999999996,0.3505165118733988,plasma_membrane,no
EPHA2,-1.0658999999999992,4.288532982278316,plasma_membrane,no
BCKDK,1.060500000000001,0.6953538997840835,mitochondrion,no
SULT1A1,0.207396601686483,0.015178701499551,cytosol,no
PRR14,-6.044544156887415,0.5695944801577172,actin_cytoskeleton,no
ZNF48,0.1634873019537863,0.0037766858824689,nucleus,no
CD2BP2,-0.7879000000000005,0.099245447801468,nucleus,no
ZNF768,1.8767000000000031,0.5806905522430081,nucleus,no
RPL18,0.571200000000001,1.4284974869666305,translation,no
SNRNP70,-0.477800000000002,0.6800973577174846,nucleus,no
ZNF668,0.8981477823640454,0.5968587680122961,nucleus,no
TDRD3,1.2273999999999994,0.1255964341474377,stress_granule,no
RUSF1,3.3443000000000005,3.177237428175114,ER,yes
PIH1D1,-0.908551671549958,2.9641660662230107,unclassified,no
NUP62,0.7945999999999991,1.676405811795174,ER,no
RRAS,-1.0880999999999972,2.0689854539130605,plasma_membrane,no
AKT1S1,-1.6675000000000004,1.016013560609333,lysosome,no
SCAF1,1.1369244146109023,0.5954008217702855,nucleolus,no
FCGRT,-1.0782000000000025,1.879591544730918,recycling_endosome,no
VRK3,0.0315045068741888,0.179955133959781,ER,no
NCOA4,2.9018402934642893,1.996972094371664,cytosol,yes
