Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.7898000000000032,0.6893439013353723,nucleus,no
RBM8A,-0.267199999999999,0.2976096598358301,nucleus,no
TM9SF4,-0.9807000000000023,0.5922650539902471,Golgi,no
PTEN,0.088772403112344,0.0852780733396799,cytosol,no
TM9SF2,0.2283000000000008,0.0436651793871737,trans-Golgi,no
TM9SF3,0.5350999999999999,0.0161193274668158,Golgi,no
AP1S1,2.741199999999999,3.436477761036784,early_endosome,yes
EIF3C,0.6341000000000001,2.221744859821227,stress_granule,no
IFT22,-0.8309683657792348,0.2046807999920041,cytosol,no
PRKRIP1,0.292957385129192,0.0001918961725941,unclassified,no
CCP110,-0.9349999999999988,1.3217534142843654,centrosome,no
PRICKLE3,0.5577340762013385,0.1402176901473879,unclassified,no
EBP,1.895100000000003,0.026547932523361,ER,no
WDR45,-0.3823264388886009,0.8254885264488057,cytosol,no
GPRC5B,-0.5905999999999985,0.4093846547866577,recycling_endosome,no
RBM3,1.0856999999999992,1.786186432137723,nucleus,yes
EPN2,1.8332000000000013,2.674137788675479,plasma_membrane,yes
PRPSAP2,-0.5656291737210317,0.437772537019306,cytosol,no
BCL9,0.7426413554194617,0.4412196855545364,cytosol,no
SPECC1,1.443399999999997,1.656474297583758,plasma_membrane,yes
SEC61G,-0.9663000000000004,1.286497395154776,ER,no
EXOC3,0.3334999999999972,0.4979210635170202,plasma_membrane,no
CEP72,-3.678642115688138,0.0077096811229709,centrosome,no
CCDC22,0.7149999999999999,0.5260654211442278,early_endosome,no
IFT20,-0.4804237926913757,0.2163117368482312,Golgi,no
OTUD5,1.2590485206729198,0.949987234377484,cytosol,no
MAPK7,0.5283183159706866,0.1741115042962626,cytosol,no
PRAF2,-5.038329859960097,2.9524575039820418,ER,no
TFE3,0.7531426874439973,0.6416482239661246,nucleus,no
HDAC6,0.9750707842828136,0.584038363952766,unclassified,no
SDHA,-0.7302,0.7663609125334421,mitochondrion,no
FAM168B,-0.4230028064435984,0.5147093832799924,unclassified,no
APPBP2,-0.6587712047064649,0.0424460987815734,cytosol,no
INTS2,-1.0183636360668693,0.9747453168903448,nucleus,no
CLN8,1.4583668554030993,1.1898760743129213,ER,no
TRAF4,0.4044354135488852,0.1493494802999643,plasma_membrane,no
FLOT2,0.9326000000000008,2.297770760818632,lysosome,no
MYO18A,2.728999999999999,1.3693147181776608,actin_cytoskeleton,yes
ALDOC,-0.6359093838641598,0.1212817219483193,cytosol,no
RAB34 (A0A024QZ68),0.2054999999999971,0.2276618816321006,plasma_membrane,no
TAOK1,0.1511999999999993,0.0564566672626371,plasma_membrane,no
MED13,-0.9720807891617972,0.9579119162854912,nucleus,no
EFHD2,2.682299999999998,1.800707518104968,actin_cytoskeleton,yes
TBX2,0.9168244046420816,0.3751048265600926,nucleus,no
COG4,-0.7760899130535996,0.2559004844580272,Golgi,no
SH2B1,-0.3069933494255927,0.1273668952817377,cytosol,no
TMEM51,-0.1752000000000002,0.3110379652355087,plasma_membrane,no
EPHA2,-0.1469999999999984,0.0035841831390498,plasma_membrane,no
BCKDK,-0.4470000000000027,0.0717689391454281,mitochondrion,no
SULT1A1,1.0227966581740802,0.0168978817362481,cytosol,no
PRR14,7.597975731308399,3.209792937777076,actin_cytoskeleton,yes
ZNF48,-0.5075389579478191,0.644873864204008,nucleus,no
CD2BP2,2.1419999999999995,1.0819703160895562,nucleus,no
ZNF768,-1.8054469750328792,0.7456344219740322,nucleus,no
RPL18,0.1590000000000024,0.3323746607627712,translation,no
SNRNP70,0.4448000000000007,0.5895287441603756,nucleus,no
ZNF668,0.0273354272616082,0.2547463246629927,nucleus,no
TDRD3,0.3060000000000009,0.2130600706302927,stress_granule,no
RUSF1,0.8200999999999965,0.4198780372045309,ER,no
PIH1D1,-0.2887000000000022,0.0245220651669269,unclassified,no
NUP62,0.1819999999999986,0.315693090850604,ER,no
RRAS,0.3222999999999985,0.2711125940605779,plasma_membrane,no
AKT1S1,0.8449000000000026,0.3647556588632213,lysosome,no
SCAF1,-0.42811042819174,0.1314325398496652,nucleolus,no
FCGRT,0.113900000000001,0.0790266372451208,recycling_endosome,no
VRK3,0.5671804737933748,0.0404591949592561,ER,no
NCOA4,-1.5160000000000018,0.8974159250023989,cytosol,no
UBE2D1,-0.6229440956401611,0.627822211463558,cytosol,no
CCDC6,0.1032707969897757,0.2097801884022362,cytosol,no
PBLD,-0.3710708385260943,0.671424985287222,cytosol,no
HNRNPH3,0.9386999999999972,0.9041446765646152,nucleus,no
FAM241B,0.6535000000000011,0.1048450067319214,ER,no
ASCC1,-1.8531000000000013,0.7421230375834827,translation,no
LRRC20,-0.4275983559145828,0.0593158743503463,cytosol,no
EIF4EBP2,1.226406618576661,0.235565466128579,cytosol,no
PALD1,0.6393003462535596,0.7003257418732863,cytosol,no
SEC24C,-3.632900000000003,1.8432078787627004,Golgi,no
DNAJC9,0.9909,0.7132362018088705,nucleus,no
VCL,-3.119799999999998,4.988373851462216,cytosol,no
ZWINT,-2.000062247391561,1.4813096262740708,cytosol,no
ZMIZ1,-2.0752531201791946,0.5814726698633189,unclassified,no
CISD1,0.0577000000000005,0.1335119468309472,mitochondrion,no
HERC4,-1.4873109043745316,1.7212099458884802,cytosol,no
MACROH2A2,0.9337000000000018,0.8328594315943483,nucleus,no
SIRT1,-0.8053721265885336,0.4385063078439946,cytosol,no
PSAP,-0.5142000000000024,0.2972919778190945,lysosome,no
hCG_2002731,-1.3146999999999984,0.2749399389616513,nucleus,no
AP3M1,0.3871000000000002,0.5713579689578913,lysosome,no
SLC38A9,0.4992000000000018,0.810570697276268,lysosome,no
MOCS2 (A0A024QZS1),-0.6237856479159554,0.822517309288701,cytosol,no
PLPP1,0.980400000000003,0.1140922925146743,plasma_membrane,no
PPIF,-1.0711999999999977,2.302398068172638,mitochondrion,no
VDAC2,-0.6110000000000007,0.4975423860506155,mitochondrion,no
EXOC2,-0.1351000000000013,0.0472583633070856,plasma_membrane,no
SERPINB9,-0.3268163786195224,0.552216771436899,cytosol,no
NQO2,-0.2700990329829338,0.4085431851480909,cytosol,no
RIPK1,-1.2664264088487656,0.9646401604304224,unclassified,no
EIF2AK1,1.0870352985341327,0.4320022698987417,cytosol,no
RREB1,0.0309008859561039,0.0284353261857112,nucleus,no
TPMT,0.0318118110206668,0.0617736808392341,cytosol,no
NOL7,0.7203000000000017,0.3917528990720434,nucleolus,no
RANBP9,-1.1117798415579294,0.3740414688683935,cytosol,no
NUP153,1.6578000000000015,0.750490926747525,nucleus,no
TBC1D7,0.0247697673985349,0.2864637954394351,14-3-3_scaffold,no
SERPINB6,1.0913655055586453,1.106789465525213,cytosol,no
BPHL,-0.9995000000000012,0.8644642494386056,mitochondrion,no
AIMP2,-0.7817000000000007,1.6291686998500534,ER,no
FAM50B,0.4586134402907476,0.2826622262488141,unclassified,no
PRPF4B,-0.6795999999999971,0.2647488489128273,nucleolus,no
GMNN,0.162841080395637,0.0836980841721914,nucleus,no
TMEM14C,-1.1174586812668394,0.3784850695284431,nucleus,no
FAM8A1,-0.2947000000000024,0.221891623451345,ER,no
SIRT5,-0.6879460968419195,1.022926562128924,mitochondrion,no
ABT1,0.0647435582425082,0.1005495495973963,nucleolus,no
DAB2,0.3017969208819302,0.1894446153131269,plasma_membrane,no
OXCT1,0.3852000000000011,0.0206017558771038,mitochondrion,no
RAD1,-0.2053904240859729,0.1703065696405878,cytosol,no
HMGN4,2.209975024582775,0.2305500993624783,nucleus,no
SLC1A3,0.4079999999999977,0.5946392384720994,plasma_membrane,no
HMGCS1,-0.5485185108867867,0.0256959394300939,cytosol,no
VAMP7,1.1094000000000008,2.6329701179549865,early_endosome,yes
SKP2,0.4875520011878791,1.1229028854893914,cytosol,no
NUP155,-0.0222000000000015,0.2904517040962637,ER,no
UBE2J2,-0.0472000000000001,0.0115459009797161,ER,no
SDF4,-0.4160999999999966,0.4512308604150249,Golgi,no
ZNF131,0.611767141850553,0.079215645970044,nucleus,no
PSRC1,-1.6722970929019532,1.390561760440712,unclassified,no
AHCYL1,0.3902999999999998,0.0498930803788653,cytosol,no
FAAP20,-0.3969457988039373,0.1024823801093632,unclassified,no
DRAM2,-0.3145999999999986,0.0089633935427184,lysosome,no
NNT,-0.6517000000000017,0.2281541299275697,mitochondrion,no
RHOC,0.3946000000000005,0.143279428252429,cytosol,no
CSDE1,-1.8722,2.3774842614983105,stress_granule,no
VANGL1,0.0768999999999984,0.0415947257671732,plasma_membrane,no
GPSM2,1.3657467464155992,2.425240233245831,cytosol,yes
CLCC1,-0.0539000000000022,0.0821937336094909,ER,no
SLC16A1,-2.1646,0.4732929113746014,plasma_membrane,no
MRPS12,-0.6941999999999986,0.0533521585413377,mitochondrion,no
PAF1,-1.3561759735527763,0.7117889270817895,nucleus,no
WDR77,-0.6839000000000013,1.239857806865171,cytosol,no
PAK4,-0.5504999999999995,0.2978051831727492,actin_cytoskeleton,no
AP4B1,4.623351633342864,1.2659135098077383,early_endosome,no
DMAC2,0.2793879190508512,0.2121699074380094,mitochondrion,no
RAB4B,4.400927972901428,5.619355144972972,early_endosome,yes
CCDC97,0.083587892851618,0.1527936385561684,nucleolus,no
ERF,-2.418401485436654,0.7553948317861158,nucleus,no
GSK3A,-0.3583000000000034,0.0012460699918891,plasma_membrane,no
PAFAH1B3,0.161449776784206,0.149199806094402,cytosol,no
TIMM50,-0.4416999999999973,0.54225290293884,mitochondrion,no
SAMD4B,-0.3565000000000005,0.1601797743556589,stress_granule,no
ITPKC,0.6043221494447764,1.0255458394203685,cytosol,no
TGFB1,-0.2346068724544103,0.0955443697968985,ER,no
SMG9,0.6544639436586195,0.3798810525801074,unclassified,no
PLD3,0.976700000000001,1.5317874072799174,lysosome,no
PPP1R13L,-0.8358670633282728,0.9987281053010956,cytosol,no
ERCC1,0.3986444014793342,0.0365070670302896,unclassified,no
PPP5C,0.905899999999999,0.5149315171783757,cytosol,no
SAE1,0.8459639752730759,0.2435169456091962,cytosol,no
SYMPK,0.5956999999999972,0.5530032024253285,nucleus,no
FKRP,-0.3373072665279011,0.475696681788305,Golgi,no
NAPA,0.9115000000000002,1.8979441973399265,early_endosome,no
EHD2,1.0239996446928892,1.117141639000642,plasma_membrane,no
XRCC1,0.3290000000000006,0.0040245538666766,nucleus,no
DHRS11,-0.2239259891174612,0.1684465354364429,cytosol,no
SH3BP5L,-1.3037830921413196,0.684044277634409,14-3-3_scaffold,no
KLC3,0.1360153049647472,0.0478046758345174,14-3-3_scaffold,no
VASP,0.0028000000000005,0.0999660175060683,actin_cytoskeleton,no
SLC38A2,0.6484999999999985,0.9737403099067866,plasma_membrane,no
SYNRG,4.237957932101523,1.0966292998401006,early_endosome,no
ZNHIT3,-1.970353641894832,1.4750031922125375,nucleus,no
TADA2A,-0.316903299055582,0.1734013920307192,nucleus,no
PFKM,-6.470827854253923,1.32019641119594,cytosol,no
DDX23,2.7119,1.1284655052656791,nucleus,no
TMBIM6,-0.4411999999999985,0.4581066544431419,ER,no
PEX26,-1.5677457073193182,1.343266472217591,peroxisome,no
SPATS2,0.0548999999999999,0.2308473190743032,nucleolus,no
SMARCD1,0.0694220557719944,7.268823705120853e-05,nucleus,no
CNTN1,1.3732000000000006,0.8355627068349208,plasma_membrane,no
ZCRB1,0.1135194325077648,0.6391150148318432,stress_granule,no
TMT1A,0.5741000000000014,0.5226692730751981,ER,no
TFCP2,-1.0550999999999997,0.880343108198716,ER,no
PRKAG1,-2.728774217266345,1.3608644467130453,cytosol,no
ATG101,-0.2084203689240737,0.0167483808137948,cytosol,no
RACGAP1,-1.0531000000000006,0.4972235448228495,14-3-3_scaffold,no
CTSV,0.7737000000000016,0.6576610057659504,lysosome,no
CORO2A,5.3425479456688585,4.216154667304664,actin_cytoskeleton,yes
SLC44A1,-0.7133614886221658,0.0485362766104518,plasma_membrane,no
PALM2AKAP2,2.666400000000003,1.5339473666041106,plasma_membrane,yes
GNG10,-5.238794981473351,0.6480531788647624,plasma_membrane,no
SMC2,-0.4270999999999993,0.0367711341722122,unclassified,no
DNAJC25-GNG10,-0.1255999999999986,0.2527472001077352,plasma_membrane,no
PTBP3,-1.0534,0.3909530777272729,nucleus,no
TRIM14,0.9410000000000024,0.5475516045165769,early_endosome,no
TEX10,2.0955000000000013,0.5260896421687938,nucleus,no
ARAF,-0.8739937051924649,0.4981705631691601,14-3-3_scaffold,no
NCBP1,0.264800000000001,0.2652429445939402,nucleus,no
CDK16,-1.738099999999999,0.6759440316752968,recycling_endosome,no
ALG2,-0.9454999999999992,0.7466257997433695,ER,no
JADE3,-0.3329252916788974,0.3049390151753263,nucleus,no
UBA1,-0.067700000000002,0.0108821124055255,cytosol,no
UBE2L3,-0.7363999999999997,0.3576546375348238,cytosol,no
ELK1,-0.863668724438984,0.0622049537429809,nucleus,no
PPIL2,-2.8850000000000016,1.9408049599891268,unclassified,no
TOP3B,0.628499999999999,0.390372423894746,stress_granule,no
CCDC117,-0.0964648660129938,0.1248766178141552,cytosol,no
THOC5,-0.3399999999999998,0.1291891733946151,nucleus,no
MTFP1,0.2790197102519229,0.0029577941601353,nucleus,no
CABIN1,-0.6947684902006159,0.6120617775547688,nucleus,no
PATZ1,0.351700000000001,0.0263081657022566,nucleolus,no
ASCC2,0.3725999999999985,0.2872606037460779,translation,no
FOXRED2,0.4946000000000019,0.0659125601734897,ER,no
LIMK2 (A0A024R1H6),-0.0967171088044622,0.0996110817009006,unclassified,no
ZMAT5,-0.4342435093970742,0.1053261624462344,unclassified,no
PDXP,-0.3764230849077528,0.2963712125829174,cytosol,no
SEC14L2,-0.8732732726822086,0.376640868695497,cytosol,no
TFIP11,-0.0676000000000023,0.0142324291610635,nucleus,no
CDC42EP1,-0.7946999999999989,1.580891796210346,plasma_membrane,no
PICK1,-0.214839696445459,0.1801729646600986,cytosol,no
NF2,0.9327000000000004,1.0314499260241947,actin_cytoskeleton,no
EIF4ENIF1,1.2158999999999978,0.3635662129693701,p-body,no
YWHAH,-0.5725000000000016,1.32165076167881,unclassified,no
SF3A1,-0.1613999999999968,0.0728066781394386,nucleus,no
RP5-1104E15.5,0.5381395340410755,0.0026007771005369,mitochondrion,no
CBY1,2.366038303519119,1.158855703264348,actin_cytoskeleton,no
NOL12,2.213501680058801,0.7952460453509214,nucleolus,no
APOL2,-1.4224999999999994,0.4973809431421161,ER,no
MYH9,-0.1631,0.0941975884101611,actin_cytoskeleton,no
XRCC6,0.1987999999999985,0.2420774849184848,nucleus,no
POLR3H,-0.1726412778618566,0.1989435422651495,cytosol,no
JOSD1,-0.0176574838932594,0.0569527398756306,plasma_membrane,no
SREBF2,-0.934782118637198,0.530164397329021,ERGIC,no
CENPM,-1.1974646445962698,0.9614488728254956,unclassified,no
NAGA,-1.0230519333545374,0.6423052224583634,ER,no
RPL23,-0.2923000000000009,0.702976700026578,unclassified,no
CDC6,-2.2713,1.3591648783019967,nucleus,no
SMARCE1,0.0176999999999978,0.1454204195338668,nucleus,no
LASP1,0.5977999999999994,0.4293685202955233,cytosol,no
RPS19BP1,0.6692,0.4564860296305675,nucleolus,no
KLHL11,-0.3280158195530376,0.0297870603213246,cytosol,no
ACLY,-0.5136000000000003,1.1552242423347452,cytosol,no
RANGAP1,0.3050999999999995,0.3871767277978222,ER,no
PSMC3IP,-0.7460508689907215,0.4213698296770792,nucleus,no
PHF5A,-0.1278999999999968,0.1265123979853641,nucleus,no
RAB5C,0.5052000000000021,1.194492782564878,early_endosome,no
PMM1,-0.2359904834127206,0.0517681983290057,cytosol,no
RPL27,-0.6718000000000011,1.0839444623235757,translation,no
PCGF2,-1.686532380089517,1.963222432488256,nucleus,no
FKBP10,-0.2794999999999987,0.6337801771987799,ER,no
ORMDL3,0.0397999999999996,0.0190849722309559,nucleus,no
CASC3,0.8959999999999972,0.6817960519115842,stress_granule,no
VPS25,-3.37087978547628,2.280260996208774,cytosol,no
COA3,-0.4187999999999974,0.1398512813231406,mitochondrion,no
BECN1,0.1770999999999993,0.0019598012857546,early_endosome,no
JUP,0.111699999999999,0.3195548215390797,plasma_membrane,no
PALM,0.3720999999999996,0.2373866909407987,plasma_membrane,no
GHDC,-0.4431000000000011,0.5506538703289972,ER,no
CDC34,-0.4897210085030146,0.4479084288479996,cytosol,no
NKIRAS2,0.1905999999999998,0.4415224791980404,recycling_endosome,no
VAT1,-1.4023999999999963,5.6163044256002586,early_endosome,no
PSMD13,-0.585799999999999,0.6180105511725257,proteasome,no
RNF126,-0.0329000000000014,0.3086827935557958,early_endosome,no
IFITM1,0.398100000000003,0.494310480456437,plasma_membrane,no
HDGFL3,0.1908919851683492,0.2153267836291202,nucleus,no
ZFAND5,0.2815583450262373,0.0597942992564548,proteasome,no
PSAT1,-1.2285000000000004,0.9791119156293282,cytosol,no
BTBD1,1.1972000000000025,0.9609280929749864,unclassified,no
HNRNPK (A0A024R228),0.3723999999999989,0.6829644754191133,nucleus,no
CEMIP2,-1.641200000000001,2.327336078938962,recycling_endosome,no
TJP2,1.5846000000000018,1.7246215936841285,plasma_membrane,yes
GNAQ,-0.5336999999999996,1.3082664865235911,plasma_membrane,no
SYK,0.3802505274038168,0.4589829366702816,cytosol,no
NOL8,0.5327630492730151,0.4105890440341013,nucleolus,no
UBQLN1 (A0A024R258),-0.1321502534246796,0.051001027992586,cytosol,no
CTIF,-0.5668711829748929,0.2663072919548373,cytosol,no
RPL17,-0.1358999999999994,0.0974899672402328,translation,no
SMAD4,-1.2384104185424611,2.2944725279295355,nucleus,no
RFK,0.5184143752178727,0.0779278736185167,cytosol,no
CTSL,1.3551000000000002,1.6002352330639995,lysosome,yes
SPTLC1,0.2666000000000004,0.0323111227495029,ER,no
KDSR,-0.7124999999999986,0.4066808447027552,ER,no
SKA1,-3.862001106464256,2.067052098652044,unclassified,no
SPIN1,-0.5837331249862743,0.360682766399647,nucleus,no
LMAN1,-0.1405999999999991,0.3327064417282477,ERGIC,no
MAGED4; MAGED4B,-0.622471587444803,0.8923555872209693,cytosol,no
PIGN,-2.6213669470274823,1.5807261862425297,ER,no
VPS4B,0.293484417896849,0.0487726440866038,cytosol,no
THUMPD3,-2.157197644478014,1.5432145348651043,unclassified,no
ATG7,0.3916479883967199,0.264288413690961,cytosol,no
VHL,0.6932218866192379,0.2884572502790093,cytosol,no
TATDN2,-0.5506351570822758,0.3243120048516457,nucleus,no
CHCHD4,-0.1933000000000007,0.0874725351508657,mitochondrion,no
