Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.1716386254051372,0.2127102955103342,nucleus,no
RBM8A,-0.0370499999999971,0.0691751872272029,nucleus,no
TM9SF4,1.9608999999999988,0.9786627944258284,Golgi,no
PTEN,0.7071223827746138,0.3363838316663731,cytosol,no
TM9SF2,1.0500000000000007,0.8819730949895338,trans-Golgi,no
TM9SF3,3.607849999999999,2.378530992025245,Golgi,yes
AP1S1,-0.2416499999999963,0.1079985488978239,early_endosome,no
EIF3C,0.5609999999999999,1.726937066826549,stress_granule,no
IFT22,0.9902253194163286,0.9073568034563896,cytosol,no
PRKRIP1,-0.23951504304463,0.3296376568982618,unclassified,no
CCP110,-2.177700000000001,0.8283910162017293,centrosome,no
PRICKLE3,-0.0084866884744236,0.1088188028377721,unclassified,no
EBP,1.7131000000000007,0.7200676268663182,ER,no
WDR45,0.3819223785708203,0.5727320935850498,cytosol,no
GPRC5B,-3.0545500000000025,4.0738690182363175,recycling_endosome,no
RBM3,0.7618999999999971,0.9573053835667984,nucleus,no
EPN2,1.238199999999999,1.3258478420236814,plasma_membrane,yes
PRPSAP2,1.051358802726451,0.2527384535867146,cytosol,no
BCL9,-0.0027810094947682,0.0629230980629496,cytosol,no
SPECC1,1.860700000000001,2.2571114127972365,plasma_membrane,yes
SEC61G,-0.747950000000003,0.7609349605552573,ER,no
EXOC3,-0.0588500000000031,0.4125393683202886,plasma_membrane,no
CEP72,-2.8243671934490315,0.0508796728186155,centrosome,no
CCDC22,-0.0398499999999977,0.0351692032310388,early_endosome,no
IFT20,1.9069767293828512,0.8490817605845319,Golgi,no
OTUD5,0.7086165847823835,0.4672258926763776,cytosol,no
MAPK7,-0.1329507160790974,0.1986469939859143,cytosol,no
PRAF2,-3.913428414736632,2.0249625543342,ER,no
TFE3,-0.3004185809590787,0.12277211806729,nucleus,no
HDAC6,0.4360648185196893,0.0353563558062803,unclassified,no
SDHA,-0.3525999999999989,0.3501944986726292,mitochondrion,no
FAM168B,0.3758443969585023,0.0751186758694055,unclassified,no
APPBP2,-0.6237348817266337,0.6476786178396637,cytosol,no
INTS2,0.1416295893859214,0.1246536823823218,nucleus,no
CLN8,0.3179138519926887,0.3343046270702254,ER,no
TRAF4,-0.4975617540352708,0.3563736936012353,plasma_membrane,no
FLOT2,0.559549999999998,1.403449613890897,lysosome,no
MYO18A,4.044599999999999,2.1424311487304863,actin_cytoskeleton,yes
ALDOC,-1.5431728011194856,1.198655499303126,cytosol,no
RAB34 (A0A024QZ68),-0.0639000000000002,0.0051709572692163,plasma_membrane,no
TAOK1,0.4913999999999987,0.4813407966019894,plasma_membrane,no
MED13,0.5432365880874492,0.0488223289872342,nucleus,no
EFHD2,2.659749999999999,2.3436689408585747,actin_cytoskeleton,yes
TBX2,-0.3406774184849332,0.0179184828085993,nucleus,no
COG4,9.3717,6.047019456543049,Golgi,yes
SH2B1,0.0448999999999983,0.1400132138664861,cytosol,no
TMEM51,0.0276000000000031,0.041104678011015,plasma_membrane,no
EPHA2,0.2368000000000023,0.4310805721849253,plasma_membrane,no
BCKDK,-0.9296499999999988,0.2262826459880512,mitochondrion,no
SULT1A1,-0.1294462084033014,0.1251454100503645,cytosol,no
PRR14,6.539615885458659,1.6337289115026996,actin_cytoskeleton,yes
ZNF48,0.5141224436900877,0.116449381135964,nucleus,no
CD2BP2,1.8580499999999984,1.1640162114823376,nucleus,no
ZNF768,-2.5624161505085112,2.5624281869303,nucleus,no
RPL18,0.0283499999999996,0.0278707285176144,translation,no
SNRNP70,0.7835999999999999,1.086729318082979,nucleus,no
ZNF668,-0.1936717185928245,0.4763468244629639,nucleus,no
TDRD3,1.8684000000000007,1.0321677678458872,stress_granule,no
RUSF1,-0.2060999999999992,0.1169138833707743,ER,no
PIH1D1,-0.2388772683934732,0.1565473789888526,unclassified,no
NUP62,0.3294499999999978,0.4669914456597966,ER,no
RRAS,0.8177500000000002,0.6427637624540431,plasma_membrane,no
AKT1S1,-0.1403999999999996,0.2823610577037415,lysosome,no
SCAF1,-1.3394810650577007,0.7753129647440876,nucleolus,no
FCGRT,-0.9592999999999988,0.9427477285606204,recycling_endosome,no
VRK3,1.0107840252119225,0.2981594540728811,ER,no
NCOA4,-0.3639500000000026,0.2243792353458496,cytosol,no
UBE2D1,-0.1836289465415141,0.0155928553876274,cytosol,no
CCDC6,0.3074774915499496,0.1678331508068697,cytosol,no
PBLD,-0.6407616829170522,0.09169222286567,cytosol,no
HNRNPH3,0.4891499999999986,0.5876694781307723,nucleus,no
FAM241B,-2.2843794414852496,0.46998082364997,ER,no
ASCC1,-1.2015999999999991,0.96190014434715,translation,no
LRRC20,-0.3492415833731925,0.0060616355924025,cytosol,no
EIF4EBP2,-1.412013598796701,1.060869833332532,cytosol,no
PALD1,0.4909116279393615,0.2222655815525029,cytosol,no
SEC24C,3.2616000000000014,1.345886206482208,Golgi,yes
DNAJC9,1.33005,0.97212572028018,nucleus,no
VCL,-1.1036499999999982,0.8461644026390804,cytosol,no
ZWINT,-1.2341695313314922,0.0761491262709444,cytosol,no
ZMIZ1,-1.913915310590454,0.8775129835712617,unclassified,no
CISD1,-0.5894499999999994,0.1950332838174145,mitochondrion,no
HERC4,-0.4374287306195334,0.2112379492905583,cytosol,no
MACROH2A2,0.6952000000000034,0.7132133808904595,nucleus,no
SIRT1,0.2006319617412302,0.0865800812879226,cytosol,no
PSAP,-0.8887499999999982,0.769641216193338,lysosome,no
hCG_2002731,-1.7958999999999996,1.1173414140475406,nucleus,no
AP3M1,0.0772499999999993,0.2535459306971271,lysosome,no
SLC38A9,0.4901499999999998,0.5042910244009612,lysosome,no
MOCS2 (A0A024QZS1),0.1619300130359278,0.4849111082656211,cytosol,no
PLPP1,0.6509000000000036,0.5527828983413267,plasma_membrane,no
PPIF,-0.6234999999999999,0.7698719086539572,mitochondrion,no
VDAC2,-0.0564,0.0584163615340737,mitochondrion,no
EXOC2,-0.0473999999999996,0.1192543172677763,plasma_membrane,no
SERPINB9,0.5320788886631362,0.3590193660865776,cytosol,no
NQO2,0.3219709541745459,0.2405158725740478,cytosol,no
RIPK1,0.3478812183293769,0.014809567731898,unclassified,no
EIF2AK1,-0.3459621971936286,0.5548339372398612,cytosol,no
RREB1,-0.1274474460699792,0.1966173975913936,nucleus,no
TPMT,-0.0699909640478217,0.0973866813730808,cytosol,no
NOL7,0.9019000000000011,0.0486175529712637,nucleolus,no
RANBP9,-1.4309499999999993,0.8253097999639404,cytosol,no
NUP153,1.9718499999999963,1.0780414937902778,nucleus,no
TBC1D7,-0.5728130043969486,0.2269970303999014,14-3-3_scaffold,no
SERPINB6,0.7564791250819951,0.2306092307633464,cytosol,no
BPHL,-3.115841734290562,1.4512320733894062,mitochondrion,no
AIMP2,-0.4756999999999998,0.5585231572781972,ER,no
FAM50B,-0.3495575130351085,0.160924732445808,unclassified,no
PRPF4B,0.6486000000000018,0.315112389356919,nucleolus,no
GMNN,0.1524160925773579,0.024512788283284,nucleus,no
TMEM14C,0.2196713810584505,0.2466445850537422,nucleus,no
FAM8A1,-0.1724999999999994,0.0906296043575864,ER,no
SIRT5,-0.453924026332043,0.5995510002987439,mitochondrion,no
ABT1,0.1171086160742191,0.3478248965400053,nucleolus,no
DAB2,-0.0035083878125021,0.1559426966226139,plasma_membrane,no
OXCT1,-1.4189051696098147,1.5262996744361337,mitochondrion,no
RAD1,0.284977451684913,0.023462406563409,cytosol,no
HMGN4,-0.5259793979029261,0.1953060799634482,nucleus,no
SLC1A3,0.4186999999999976,0.4638244955804578,plasma_membrane,no
HMGCS1,-0.1960849660411376,0.248644343659149,cytosol,no
VAMP7,0.5021500000000003,0.8094052108389479,early_endosome,no
SKP2,-0.8016595794642605,1.5259836936063471,cytosol,no
NUP155,0.0733999999999994,0.0657256894943493,ER,no
UBE2J2,-0.5005000000000024,0.179280637754911,ER,no
SDF4,2.7692499999999995,1.6528854773173485,Golgi,yes
ZNF131,0.000234996982126,0.1189554512425568,nucleus,no
PSRC1,-0.1372382808917045,0.7703230782476669,unclassified,no
AHCYL1,2.2345500000000023,0.9727297738063488,cytosol,no
FAAP20,0.1867699049754279,0.0067814144996223,unclassified,no
DRAM2,-0.7320999999999991,0.0833354812038928,lysosome,no
NNT,-0.2897999999999996,0.0476641590263374,mitochondrion,no
RHOC,-1.6997271965359992,1.134226265820201,cytosol,no
CSDE1,-0.276250000000001,0.2888648818431649,stress_granule,no
VANGL1,0.391849999999998,0.3941845794776025,plasma_membrane,no
GPSM2,0.7688693455162614,0.8164917286243434,cytosol,no
CLCC1,-0.2995000000000019,0.4018957687689027,ER,no
SLC16A1,-4.928423530063679,0.9892097980928728,plasma_membrane,no
MRPS12,-0.5356500000000004,0.0054496824857771,mitochondrion,no
PAF1,-1.7122244643077345,0.5744731881866594,nucleus,no
WDR77,-0.6071500000000007,0.7847417193486941,cytosol,no
PAK4,0.751100000000001,0.3211960799048792,actin_cytoskeleton,no
AP4B1,0.9756227866466638,0.186831025036551,early_endosome,no
DMAC2,-0.8374636488103739,0.7185424384514397,mitochondrion,no
RAB4B,0.1919006963399177,0.0145733534522228,early_endosome,no
CCDC97,0.9775605527291448,0.7866035186686713,nucleolus,no
ERF,-1.365977488885381,0.7994308126347099,nucleus,no
GSK3A,0.5805499999999988,0.7255644357193872,plasma_membrane,no
PAFAH1B3,0.8284819221243893,0.8883188938851344,cytosol,no
TIMM50,-0.4004000000000012,0.4734708905067696,mitochondrion,no
SAMD4B,-0.1517000000000017,0.0724689150288357,stress_granule,no
ITPKC,0.2722089920511834,0.3429851340181716,cytosol,no
TGFB1,-0.3690338357674889,0.1513043172273061,ER,no
SMG9,0.3444177195392228,0.1531693103700349,unclassified,no
PLD3,0.2806500000000014,0.2943133908307819,lysosome,no
PPP1R13L,1.3054413980303998,1.75182495878514,cytosol,yes
