Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,0.1738999999999997,0.0174395589538757,nucleus,no
RBM8A,-1.2899999999999991,3.2448129350774395,nucleus,no
TM9SF4,3.5809999999999995,4.293333987220968,Golgi,yes
PTEN,-0.465978117362102,0.4792659202129124,cytosol,no
TM9SF2,2.4023499999999984,4.769529102292832,trans-Golgi,yes
TM9SF3,3.832399999999996,4.037948833157848,Golgi,yes
AP1S1,0.2832000000000008,0.1385973734565354,early_endosome,no
EIF3C,-0.5316499999999991,0.981603659540734,stress_granule,no
IFT22,-0.7767649081305699,0.5034386397706861,cytosol,no
PRKRIP1,-0.5485915184258019,0.4161687334379862,unclassified,no
CCP110,-0.1898999999999979,0.0342368516599232,centrosome,no
PRICKLE3,0.6464151555921624,0.0298598777778993,unclassified,no
EBP,2.4221000000000004,1.348259743893777,ER,yes
WDR45,-1.1434371153497551,1.9708581441276307,cytosol,no
GPRC5B,-1.1678500000000014,0.6626677811753231,recycling_endosome,no
RBM3,-1.356300000000001,1.9794003758144632,nucleus,no
EPN2,-1.6836999999999982,1.236029433470582,plasma_membrane,no
PRPSAP2,1.108976461202321,0.2194192859807359,cytosol,no
BCL9,-0.6596264176073063,0.7059095648237653,cytosol,no
SPECC1,-1.81015,2.469270091939192,plasma_membrane,no
SEC61G,1.34985,3.723537007994045,ER,yes
EXOC3,-1.301099999999998,0.1083704583246167,plasma_membrane,no
CEP72,0.0944000000000002,0.0584864011845932,centrosome,no
CCDC22,-0.6342999999999996,0.0798219282954886,early_endosome,no
IFT20,2.606728303751467,3.398379680710249,Golgi,yes
OTUD5,0.3489802536170963,0.1986346566454142,cytosol,no
MAPK7,0.0322825875760415,0.0727536923425763,cytosol,no
PRAF2,3.080350000000003,2.249157558294113,ER,yes
TFE3,-1.235132810690363,0.1840931744010456,nucleus,no
HDAC6,-0.6026340386837461,0.2819978754672884,unclassified,no
SDHA,0.4478000000000008,0.3645708868766083,mitochondrion,no
FAM168B,-0.4890250389709578,0.0949248921147005,unclassified,no
APPBP2,-0.3777408206662969,0.0418659596826178,cytosol,no
INTS2,-0.3622752806936411,0.2697765950142941,nucleus,no
CLN8,-1.1595946688062604,1.472927595584177,ER,no
TRAF4,-0.690570288613138,1.1629132790237997,plasma_membrane,no
FLOT2,-0.5875999999999983,0.6292076269140968,lysosome,no
MYO18A,-4.463899999999999,1.6217560377860565,actin_cytoskeleton,no
ALDOC,0.2354411004575496,0.3344496357010956,cytosol,no
RAB34 (A0A024QZ68),0.5449999999999982,0.9386076378820442,plasma_membrane,no
TAOK1,-0.3738499999999973,0.7215457318229795,plasma_membrane,no
MED13,-0.3247985141957272,0.0385172457032689,nucleus,no
EFHD2,-1.7948000000000022,0.4500077470973754,actin_cytoskeleton,no
TBX2,0.2265211696960065,0.0397537649060642,nucleus,no
COG4,5.407794956526796,1.8641790606787485,Golgi,yes
SH2B1,-0.7628450640355169,0.4317259795908201,cytosol,no
TMEM51,-1.7097376678143092,0.6562717985859444,plasma_membrane,no
EPHA2,-1.2410499999999978,1.318519265175954,plasma_membrane,no
BCKDK,1.4128499999999988,1.0657531091538794,mitochondrion,no
