Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.5246654942574693,0.3843730443604337,nucleus,no
RBM8A,-0.7399999999999984,0.8796486861356019,nucleus,no
TM9SF4,-0.8411000000000008,0.9463989426799124,Golgi,no
PTEN,-0.2425389654977827,0.2512118941330828,cytosol,no
TM9SF2,-0.6390999999999991,0.2350193978285865,trans-Golgi,no
TM9SF3,-0.8851000000000013,0.425370457988575,Golgi,no
AP1S1,0.6052999999999997,0.3750195812749146,early_endosome,no
EIF3C,-0.2197999999999993,0.2174805767970566,stress_granule,no
IFT22,0.0725011153296613,0.2412378454871871,cytosol,no
PRKRIP1,-1.4766277973953308,0.977587885771412,unclassified,no
CCP110,1.1138000000000012,0.6929916854483463,centrosome,no
PRICKLE3,0.1772894884741873,0.1642522240046481,unclassified,no
EBP,-1.0757999999999974,0.76810184778333,ER,no
WDR45,0.0874880118954841,0.1758579844031907,cytosol,no
GPRC5B,1.393000000000001,1.1093478979813354,recycling_endosome,no
RBM3,-1.293800000000001,2.3692895109126324,nucleus,no
EPN2,0.1676999999999999,0.0802813041890645,plasma_membrane,no
PRPSAP2,1.8763004868020976,1.5925041830383957,cytosol,yes
BCL9,-0.5248633526004163,0.1164914961965076,cytosol,no
SPECC1,0.0387000000000021,0.0290977802300896,plasma_membrane,no
SEC61G,0.5625999999999998,0.396938231798513,ER,no
EXOC3,0.6844000000000001,0.5409670929155601,plasma_membrane,no
CEP72,-2.7587088230498296,0.5839716371668805,centrosome,no
CCDC22,0.3634999999999984,0.7409181861001797,early_endosome,no
IFT20,-0.2231073448418072,0.1725999568375783,Golgi,no
OTUD5,-0.4760059515593262,0.2656293297833856,cytosol,no
MAPK7,-0.9348151768672928,0.5974786385463442,cytosol,no
PRAF2,1.0616999999999983,0.5748519711109819,ER,no
TFE3,0.2667604316327008,0.0524729260202161,nucleus,no
HDAC6,-0.05612392091151,0.3134767741490231,unclassified,no
SDHA,-0.6768999999999998,1.2239369817948478,mitochondrion,no
FAM168B,0.1835826566725558,0.0569122233216303,unclassified,no
APPBP2,-0.339378796821169,0.918225248156714,cytosol,no
INTS2,0.0505473585695881,0.3493336693319118,nucleus,no
CLN8,-0.32752256745351,0.5364422078927715,ER,no
TRAF4,0.1216455682756105,0.110670060823053,plasma_membrane,no
FLOT2,-0.0329000000000014,0.2827591426338239,lysosome,no
MYO18A,-1.3381000000000007,0.0193793755018403,actin_cytoskeleton,no
ALDOC,3.83369917896853,4.211290019246559,cytosol,yes
RAB34 (A0A024QZ68),0.9513999999999996,2.3652538146307505,plasma_membrane,no
TAOK1,1.2787000000000006,4.483570878790349,plasma_membrane,yes
MED13,-0.1783478122246471,0.3951539508898694,nucleus,no
EFHD2,0.7008999999999972,0.4731312051208686,actin_cytoskeleton,no
