Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,2.872639041006771,2.3385912857165763,nucleus,yes
RBM8A,0.8167999999999971,0.9813593322197148,nucleus,no
TM9SF4,-1.360199999999999,0.4480262991814447,Golgi,no
PTEN,-1.5387329471827584,1.193072124549739,cytosol,no
TM9SF2,-0.2734000000000023,0.0245604432288288,trans-Golgi,no
TM9SF3,-1.6418,0.84450335829804,Golgi,no
AP1S1,-0.2550999999999987,0.0294006956030117,early_endosome,no
EIF3C,0.6646999999999998,0.4951147277683269,stress_granule,no
IFT22,0.1042192734083826,0.1193113357774315,cytosol,no
PRKRIP1,6.167988582133177,4.765844601638891,unclassified,yes
CCP110,1.268099999999997,0.8108019152693379,centrosome,no
PRICKLE3,0.6826933534754858,0.3621076766102732,unclassified,no
EBP,-0.2147000000000005,0.0719326321294951,ER,no
WDR45,0.4839495991112237,0.2468270264171689,cytosol,no
GPRC5B,0.3241999999999976,0.2774876631502686,recycling_endosome,no
RBM3,0.6850000000000023,0.7526161403677959,nucleus,no
EPN2,-0.6136000000000017,0.3738964189526212,plasma_membrane,no
PRPSAP2,0.2428744078386877,0.0591855543772459,cytosol,no
BCL9,-0.8199858819973542,0.7355203726355146,cytosol,no
SPECC1,-1.2303999999999995,0.0226876735464668,plasma_membrane,no
SEC61G,0.2272999999999996,0.0934347774408034,ER,no
EXOC3,-2.5966999999999985,0.788681213106512,plasma_membrane,no
CEP72,-1.7270965565887657,0.488385389328782,centrosome,no
CCDC22,0.7701999999999991,0.4225664951308801,early_endosome,no
IFT20,0.1348239425643811,0.1115891078841852,Golgi,no
OTUD5,-0.862223697171892,0.6106595009445621,cytosol,no
MAPK7,-0.9844039734315864,0.8369439841469202,cytosol,no
PRAF2,-1.0685852335641923,0.0988926074192899,ER,no
TFE3,0.1449057530623747,0.1187484112428193,nucleus,no
HDAC6,-0.7919789924911171,0.956408324176864,unclassified,no
SDHA,-1.1824000000000012,0.6534990222076416,mitochondrion,no
FAM168B,0.0093384184297171,0.3226893378801171,unclassified,no
APPBP2,0.7065999999999981,0.5319504346813179,cytosol,no
INTS2,1.1744606158412054,0.0794437686058937,nucleus,no
CLN8,0.2581447052258419,0.0640706421954552,ER,no
TRAF4,0.7410469921928104,0.4963924682139374,plasma_membrane,no
FLOT2,-0.3325999999999993,0.1312467018633596,lysosome,no
MYO18A,-2.198207568151428,0.8458296518159643,actin_cytoskeleton,no
ALDOC,1.8893927044754728,0.0882316254336906,cytosol,no
RAB34 (A0A024QZ68),0.0577000000000005,0.412571780828784,plasma_membrane,no
TAOK1,-0.3251999999999988,0.052262813759515,plasma_membrane,no
MED13,1.52141299405017,1.237504442755448,nucleus,no
EFHD2,-0.7012099666120157,0.5914106121362855,actin_cytoskeleton,no
