Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-1.264236406174998,0.8282522553951077,nucleus,no
RBM8A,-1.6188000000000002,1.1942948967280982,nucleus,no
TM9SF4,-1.6727999999999987,0.3423182696420696,Golgi,no
PTEN,0.2558005333016702,0.0619539831995565,cytosol,no
TM9SF2,2.055,0.8960913836802656,trans-Golgi,no
TM9SF3,-0.2202000000000019,0.0510352053935948,Golgi,no
AP1S1,1.3905999999999992,0.9751993354140628,early_endosome,no
EIF3C,-0.4737000000000009,0.6902821831010454,stress_granule,no
IFT22,-0.4938378328956077,0.5038964373279874,cytosol,no
PRKRIP1,0.3623778572206717,0.2696376058884004,unclassified,no
CCP110,-1.4183999999999983,0.6411227889728779,centrosome,no
PRICKLE3,-0.3747154745937315,0.1255393864038403,unclassified,no
EBP,-1.226700000000001,1.0596828110486327,ER,no
WDR45,0.677460123003236,0.4451087412472689,cytosol,no
GPRC5B,0.2335999999999991,0.3443325489970042,recycling_endosome,no
RBM3,-0.8310999999999993,0.5882046471685585,nucleus,no
EPN2,2.558999999999997,1.1873021961303727,plasma_membrane,no
PRPSAP2,0.4313192035485897,0.1079526196607008,cytosol,no
BCL9,-1.0554243748996903,0.5455509864197845,cytosol,no
SPECC1,2.0174999999999983,1.2954885145125767,plasma_membrane,no
SEC61G,-2.103000000000001,4.172652814080598,ER,no
EXOC3,1.2973316179535743,0.0601830765145732,plasma_membrane,no
CEP72,-0.8779040089830836,0.6286651112035871,centrosome,no
CCDC22,4.924799999999998,2.9704218812318994,early_endosome,yes
IFT20,-0.2415415507433103,0.2206866504196985,Golgi,no
OTUD5,0.618962785652851,0.0592434318907738,cytosol,no
MAPK7,-0.5770691213909664,0.1657024963828181,cytosol,no
PRAF2,-1.9885400462649263,0.8697887524083749,ER,no
TFE3,0.2308796290825192,0.0357123331398621,nucleus,no
HDAC6,-0.2609257623000651,0.5438285027067828,unclassified,no
SDHA,-2.0295000000000023,1.2871687523504878,mitochondrion,no
FAM168B,-0.4427974987512257,0.6277369418169708,unclassified,no
APPBP2,-0.1221164219402304,0.0486799551328415,cytosol,no
INTS2,0.6523347082339441,1.0945795020493627,nucleus,no
CLN8,-1.0355170983571576,0.529423073092002,ER,no
TRAF4,-1.5245325603384252,1.8898229070408603,plasma_membrane,no
FLOT2,0.6910999999999987,0.4192671997125681,lysosome,no
MYO18A,-0.7878415124121503,0.2761770774291091,actin_cytoskeleton,no
ALDOC,4.740015291105841,2.914940457129576,cytosol,yes
RAB34 (A0A024QZ68),0.6503000000000014,0.5113237543225052,plasma_membrane,no
TAOK1,0.7561,0.6293499776955357,plasma_membrane,no
MED13,-1.043182929280686,0.657195438034941,nucleus,no
EFHD2,-1.0478772921250616,0.5424445383557213,actin_cytoskeleton,no
TBX2,0.6683240037180376,0.2271251215820171,nucleus,no
COG4,-2.090603901993571,0.729856074434166,Golgi,no
SH2B1,-0.0052003728307816,0.2571175920524421,cytosol,no
TMEM51,2.907796734973978,1.1907869052137436,plasma_membrane,no
EPHA2,1.6970000000000027,0.97415473259585,plasma_membrane,no
BCKDK,-5.438593940770971,0.653155182139599,mitochondrion,no
