Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-2.2528883518318,2.2965015363490524,nucleus,no
RBM8A,0.9807999999999986,2.00869265267896,nucleus,no
TM9SF4,-1.904600000000002,0.9145995806354014,Golgi,no
PTEN,0.51861516983341,0.209414205458682,cytosol,no
TM9SF2,-2.308600000000002,1.3743835398582154,trans-Golgi,no
TM9SF3,-4.3659,1.1586569289091806,Golgi,no
AP1S1,-6.054098302799581,5.545081061840027,early_endosome,no
EIF3C,3.3268999999999984,9.64175563786958,stress_granule,yes
IFT22,-0.5748031286192585,0.7027123972352319,cytosol,no
PRKRIP1,-1.1152491491106424,0.4455947296037804,unclassified,no
CCP110,3.1584000000000003,1.508538214363364,centrosome,yes
PRICKLE3,-0.6637296003433804,0.54356322368826,unclassified,no
EBP,-1.7026000000000003,0.5757272915039666,ER,no
WDR45,0.0792950646193872,0.2048531447061862,cytosol,no
GPRC5B,-5.183901713796356,10.75942039202721,recycling_endosome,no
RBM3,2.7818000000000005,4.403774753159776,nucleus,yes
EPN2,-5.049600000000002,2.98304712783302,plasma_membrane,no
PRPSAP2,-0.3698000000000014,0.2324793987455204,cytosol,no
BCL9,0.7209930247194158,0.8096252719295506,cytosol,no
SPECC1,-5.005599999999998,6.421677422408505,plasma_membrane,no
SEC61G,0.5662999999999982,0.7668520014890868,ER,no
EXOC3,-5.164985663106215,4.136801858644123,plasma_membrane,no
CEP72,1.809899999999999,0.7866390102609648,centrosome,no
CCDC22,-1.16169240633187,0.7995900460054791,early_endosome,no
IFT20,0.2271999999999998,0.1933765963239832,Golgi,no
OTUD5,0.0380611954889467,0.120238339477401,cytosol,no
MAPK7,-0.1597388957354439,0.4597416105021307,cytosol,no
PRAF2,4.438600000000001,1.0052331073391965,ER,no
TFE3,-0.0930131378628473,0.4928754694648586,nucleus,no
HDAC6,0.383939475730866,0.0146573017532961,unclassified,no
SDHA,0.3491999999999997,0.6444731289696978,mitochondrion,no
FAM168B,-0.0729731684226848,0.2639360336786918,unclassified,no
APPBP2,0.7815472200549394,1.2467115373559543,cytosol,no
INTS2,-0.0413818871762003,0.1030355709006044,nucleus,no
