Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.6109294784605162,0.4821349948804132,nucleus,no
RBM8A,-0.4308000000000014,0.1125585245234229,nucleus,no
TM9SF4,6.484959503313846,3.759988271081304,Golgi,yes
PTEN,0.3589722476216543,0.0695474907780525,cytosol,no
TM9SF2,6.83025,2.093732400527462,trans-Golgi,yes
TM9SF3,4.164149999999999,2.069062510922913,Golgi,yes
AP1S1,-0.0459499999999977,0.1020460400508284,early_endosome,no
EIF3C,-0.291999999999998,0.3309595091432893,stress_granule,no
IFT22,-0.1711958213694764,0.1806587398923654,cytosol,no
PRKRIP1,-0.314076453258945,0.2464496416807607,unclassified,no
CCP110,2.865199999999998,1.3868466124450798,centrosome,yes
PRICKLE3,-0.3438992388807165,0.3118273845678943,unclassified,no
EBP,0.6736999999999966,0.4466590233868447,ER,no
WDR45,-0.2001266747136547,0.1648489762319323,cytosol,no
GPRC5B,3.4624999999999986,1.2657955926223667,recycling_endosome,no
RBM3,-0.7051500000000033,0.2595472365847809,nucleus,no
EPN2,4.433835212028761,1.1945413612265654,plasma_membrane,no
PRPSAP2,0.0140587148671293,0.2179994615556201,cytosol,no
BCL9,0.7343175239972197,0.3911183738019609,cytosol,no
SPECC1,2.220400000000001,0.965728982803724,plasma_membrane,no
SEC61G,-0.9355000000000012,0.7426184600609719,ER,no
EXOC3,-0.3277217121283016,0.0214429787740265,plasma_membrane,no
CEP72,2.9547000000000025,1.2018803535866027,centrosome,no
CCDC22,-0.9159054993417968,0.7565016325074246,early_endosome,no
IFT20,2.719366414276312,6.445927291125454,Golgi,yes
OTUD5,0.464169751336005,0.5955271976856868,cytosol,no
MAPK7,-0.4118979972795991,0.0845649833737274,cytosol,no
PRAF2,-4.040758728573966,0.7701401991986992,ER,no
TFE3,0.0499427229892148,0.0614090735620453,nucleus,no
HDAC6,1.2112535700924845,1.733948620884599,unclassified,yes
SDHA,-1.1789500000000004,0.7747950269608986,mitochondrion,no
FAM168B,-1.150825714232511,1.1854188418531972,unclassified,no
APPBP2,1.4630632185970749,1.230140599042289,cytosol,no
INTS2,0.0647925802462481,0.3583912430575655,nucleus,no
CLN8,0.0588764594482675,0.1674768532825339,ER,no
TRAF4,0.3438567637971381,0.0742808543856496,plasma_membrane,no
FLOT2,0.6711499999999972,0.3366632418596366,lysosome,no
MYO18A,0.6252332115261687,0.1648732015879938,actin_cytoskeleton,no
ALDOC,-0.0722152463989047,0.1123908605196409,cytosol,no
RAB34 (A0A024QZ68),-0.8426000000000009,0.2863012797093351,plasma_membrane,no
TAOK1,-3.517561202013894,1.459983557659965,plasma_membrane,no
MED13,0.0122260393180475,0.1301123248515247,nucleus,no
EFHD2,6.692088501769014,3.1759538265314635,actin_cytoskeleton,yes
TBX2,-0.4513994980139166,0.0801738328664838,nucleus,no
COG4,8.758193703774598,7.3240655036658495,Golgi,yes
SH2B1,-0.4073129719132033,0.4340709203104919,cytosol,no
TMEM51,0.3602613705031245,0.0475568981229875,plasma_membrane,no
EPHA2,1.7021500000000032,0.644369273658187,plasma_membrane,no
BCKDK,3.8094499999999982,1.0547147196944882,mitochondrion,no
SULT1A1,-0.1570335549297468,0.4616580515849052,cytosol,no
PRR14,1.5138481585976038,2.27014407996937,actin_cytoskeleton,yes
ZNF48,0.4071462009470536,0.1406071335280802,nucleus,no
CD2BP2,-1.36515,0.265459811731433,nucleus,no
ZNF768,2.069399999999998,0.6655601409816296,nucleus,no
RPL18,-0.4996000000000009,0.2231686861122303,translation,no
SNRNP70,-0.1738500000000016,0.3096997539127959,nucleus,no
ZNF668,5.900353854315743,2.131171961718136,nucleus,yes
TDRD3,-0.4001207343330932,0.4186196906606646,stress_granule,no
RUSF1,0.7818939382520362,0.3022223897493701,ER,no
PIH1D1,-0.8095805885465808,0.3785815954063913,unclassified,no
NUP62,-0.4444000000000017,0.0300191667187135,ER,no
RRAS,3.223933822905348,1.0932333182707523,plasma_membrane,no
AKT1S1,-1.4321661591697,0.8621835936456292,lysosome,no
SCAF1,0.6498999999999988,0.2558480846058896,nucleolus,no
FCGRT,-0.0997227903000315,0.0185823493098833,recycling_endosome,no
VRK3,-0.4738011752992115,0.4829420369500286,ER,no
NCOA4,1.454081282200292,0.6656010917429958,cytosol,no
UBE2D1,-1.4417019761111476,0.7804292564869206,cytosol,no
CCDC6,-0.6960339853873698,0.4834344238199735,cytosol,no
PBLD,-0.4008040581439154,0.4347970169145667,cytosol,no
HNRNPH3,-0.1747499999999959,0.1308235321100499,nucleus,no
FAM241B,-1.3591961222464732,0.5003394778678845,ER,no
ASCC1,0.2696487684951592,0.2887381386220644,translation,no
LRRC20,0.2552782082240128,0.035111083237494,cytosol,no
EIF4EBP2,0.0293475668892533,0.0751682724386869,cytosol,no
PALD1,0.040199451914713,0.0282028191061479,cytosol,no
SEC24C,7.8044723601583,4.166628932536194,Golgi,yes
DNAJC9,-1.0592000000000006,0.735433435411118,nucleus,no
VCL,-0.4692782683811387,0.0523874230243443,cytosol,no
ZWINT,0.2394803836894716,0.1202121309050703,cytosol,no
ZMIZ1,0.1796472868322141,0.089448851287305,unclassified,no
CISD1,0.5294000000000025,0.1304532675590956,mitochondrion,no
HERC4,-0.751454835132396,0.4170405019988857,cytosol,no
