Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-1.145514290303442,0.6025586863686933,nucleus,no
RBM8A,-2.108900000000002,1.9071466126558407,nucleus,no
TM9SF4,5.9346,5.228284652662014,Golgi,yes
PTEN,0.802264195582918,0.0826962467248362,cytosol,no
TM9SF2,5.970199999999998,6.548466532088852,trans-Golgi,yes
TM9SF3,4.629200000000001,3.308973821930562,Golgi,yes
AP1S1,0.1020000000000003,0.2163729940894036,early_endosome,no
EIF3C,-0.366699999999998,1.0413241339198651,stress_granule,no
IFT22,-0.6940421739074729,0.6257517193828801,cytosol,no
PRKRIP1,-0.3476965321093104,0.2265182859652487,unclassified,no
CCP110,-1.5855999999999997,0.1636915380497547,centrosome,no
PRICKLE3,-0.5039792204403035,0.6483603657774717,unclassified,no
EBP,2.3261000000000003,1.1121438238530843,ER,no
WDR45,-1.5735797572649872,1.2480453282462154,cytosol,no
GPRC5B,-1.6758999999999986,0.2479530971353457,recycling_endosome,no
RBM3,-0.7922999999999973,0.2795270141072257,nucleus,no
EPN2,0.8567,0.3968151020816322,plasma_membrane,no
PRPSAP2,0.2287392224943829,0.1272751455029956,cytosol,no
BCL9,1.0726572348129082,1.6903632844432643,cytosol,yes
SPECC1,-0.0129000000000019,0.1518606516462576,plasma_membrane,no
SEC61G,0.3602999999999987,0.3815202174751883,ER,no
EXOC3,-2.118894391633986,0.5654247991766365,plasma_membrane,no
CEP72,-0.0850316268125226,0.4854271707188006,centrosome,no
CCDC22,-1.6739999999999997,0.5720497141410842,early_endosome,no
IFT20,1.7533311022087616,2.3712483518866616,Golgi,yes
OTUD5,0.4872937927656515,0.3290250196582868,cytosol,no
MAPK7,-0.1044626296640878,0.0169971824602639,cytosol,no
PRAF2,6.494490658728214,3.4851454306679828,ER,yes
TFE3,0.4000848537495614,0.0636833536924369,nucleus,no
HDAC6,-0.0565522687171018,0.1951657832721437,unclassified,no
SDHA,2.033899999999999,2.704936397862761,mitochondrion,yes
FAM168B,-0.3532014693578951,0.1670111324430718,unclassified,no
APPBP2,0.4626607064387187,0.2881858032758418,cytosol,no
INTS2,0.4035760485613515,0.6178266105314608,nucleus,no
CLN8,-0.1391915291062524,0.0514560890801808,ER,no
TRAF4,0.7930249849673672,0.6926269562451116,plasma_membrane,no
FLOT2,-1.6132999999999988,0.6125270793178791,lysosome,no
MYO18A,-0.5993453672724307,0.1609167251008244,actin_cytoskeleton,no
ALDOC,-3.0000570469307952,1.700480648311558,cytosol,no
RAB34 (A0A024QZ68),0.7469999999999999,0.6303545589642218,plasma_membrane,no
TAOK1,-0.7153999999999989,0.062875125742764,plasma_membrane,no
MED13,1.210357761979317,1.2631044551675974,nucleus,no
EFHD2,-1.0237786074825197,0.7695581940340349,actin_cytoskeleton,no
TBX2,-0.0195454967395605,0.1355342492451083,nucleus,no
COG4,8.7271,7.499171365846555,Golgi,yes
SH2B1,-1.4653210056090131,0.4572186100643766,cytosol,no
TMEM51,1.045099999999998,0.0902337317547429,plasma_membrane,no
EPHA2,-1.5137999999999998,0.3509980494235732,plasma_membrane,no
BCKDK,5.954699999999999,4.009968182352962,mitochondrion,yes
SULT1A1,0.3491491376412803,0.3457574319831206,cytosol,no
PRR14,-0.4117003519881166,0.6052683708055208,actin_cytoskeleton,no
ZNF48,-0.2289883634203988,0.1535891682492591,nucleus,no
CD2BP2,-2.5032590605146403,1.1072412124192732,nucleus,no
ZNF768,-1.8442000000000007,2.7909652004054064,nucleus,no
RPL18,-0.1554999999999999,0.166031891891294,translation,no
SNRNP70,-0.6800999999999995,0.6010352648560829,nucleus,no
ZNF668,-0.9342942000428884,0.0044068928284626,nucleus,no
TDRD3,2.4215000000000018,0.016438436689464,stress_granule,no
RUSF1,4.059899999999999,2.887083769075484,ER,yes
PIH1D1,-0.4882138924825874,0.1939084569773835,unclassified,no
NUP62,0.2932999999999985,0.1994967796375661,ER,no
RRAS,-0.3559999999999981,0.1924704519211829,plasma_membrane,no
AKT1S1,-1.4042737850231646,0.4147622484030006,lysosome,no
SCAF1,-1.237000000000002,0.0340640637417889,nucleolus,no
FCGRT,-2.0147000000000013,1.1615500155404608,recycling_endosome,no
VRK3,0.3239721697110198,0.0297246046973009,ER,no
NCOA4,0.3353875883734289,0.36995878030951,cytosol,no
UBE2D1,0.0835805853490754,0.0802831669760661,cytosol,no
CCDC6,-0.9612769301419064,0.3021969458882935,cytosol,no
PBLD,0.3553685469628469,0.2097706117880486,cytosol,no
HNRNPH3,-0.9630999999999972,0.1650098315473421,nucleus,no
FAM241B,1.4023000000000003,1.122912435818235,ER,no
ASCC1,2.4786,0.1825901107156467,translation,no
LRRC20,-0.6498345115981934,0.3129328234843694,cytosol,no
EIF4EBP2,0.4262920357359903,0.0017345140884869,cytosol,no
PALD1,0.2229566634625897,0.075687166519639,cytosol,no
SEC24C,5.914399999999997,3.5491493287900786,Golgi,yes
DNAJC9,1.6448999999999998,0.6192567403603053,nucleus,no
VCL,-1.799900000000001,1.095108123006317,cytosol,no
ZWINT,-1.1354257016961429,0.9356795598144412,cytosol,no
ZMIZ1,0.8868767094572405,0.256248551987631,unclassified,no
CISD1,3.8104999999999976,2.1939893825844714,mitochondrion,yes
HERC4,-0.4440638693299554,0.5049120376333909,cytosol,no
MACROH2A2,-0.1920000000000001,0.0881622452020386,nucleus,no
SIRT1,-0.2551084167835995,1.1198024474889463,cytosol,no
PSAP,2.6808000000000014,1.2289688033086217,lysosome,no
hCG_2002731,-0.4753000000000007,0.8557515703588702,nucleus,no
AP3M1,-4.761500000000002,3.239196771450746,lysosome,no
SLC38A9,-1.947499999999998,0.9406282897531494,lysosome,no
MOCS2 (A0A024QZS1),0.6615080514404461,0.3814139313236049,cytosol,no
PLPP1,-1.4546000000000028,0.1971356117382141,plasma_membrane,no
PPIF,1.2845999999999975,1.4075055594998742,mitochondrion,yes
VDAC2,0.8146000000000022,1.0405089132102563,mitochondrion,no
EXOC2,-7.153400000000001,1.7817200970850424,plasma_membrane,no
SERPINB9,0.5009502973780435,0.1397758050781885,cytosol,no
NQO2,0.0296045665761788,0.2743066107538848,cytosol,no
RIPK1,0.3777983300928085,0.0984856355380503,unclassified,no
EIF2AK1,0.2629037928558837,0.0504580406838291,cytosol,no
RREB1,0.3117755275985736,0.6169069439397858,nucleus,no
TPMT,-0.8669422590893845,0.970156594636003,cytosol,no
NOL7,0.9835999999999993,0.5434541107367665,nucleolus,no
RANBP9,-1.4777139388619176,0.7395871869932512,cytosol,no
NUP153,-2.528735970282554,0.2739901464703812,nucleus,no
TBC1D7,0.1896235261250787,0.5031018768385962,14-3-3_scaffold,no
SERPINB6,0.5314319783668466,0.0307488970614655,cytosol,no
BPHL,5.251503552627479,2.3179588003230784,mitochondrion,yes
AIMP2,1.687899999999999,1.4328804863495626,ER,yes
FAM50B,0.2180852488437565,0.0547605862639379,unclassified,no
PRPF4B,-6.256399999999999,5.262942091800702,nucleolus,no
GMNN,-0.030720996722227,0.4095517048526657,nucleus,no
TMEM14C,-0.2874125950540787,0.2138002874801853,nucleus,no
FAM8A1,-0.1912999999999982,0.4060000447357932,ER,no
SIRT5,-0.1476810032543163,0.332899596668413,mitochondrion,no
ABT1,-3.568278077500932,3.2262341122085445,nucleolus,no
DAB2,-0.6482577223745452,0.1810715787205102,plasma_membrane,no
OXCT1,4.888646442946502,5.673385171666303,mitochondrion,yes
RAD1,0.6247445343787739,0.300435339786438,cytosol,no
HMGN4,0.4252925459327237,0.1138409957210002,nucleus,no
SLC1A3,-2.1372,0.4538144967227278,plasma_membrane,no
HMGCS1,0.7596811801585979,0.5372342634369359,cytosol,no
VAMP7,0.5108000000000033,0.2076591418670508,early_endosome,no
SKP2,0.4930427812055455,0.6494452247190098,cytosol,no
NUP155,0.0635000000000012,0.187698062399147,ER,no
UBE2J2,2.8008999999999986,1.188655059576578,ER,no
SDF4,6.819600000000001,7.137547507783983,Golgi,yes
ZNF131,-0.8323424804827546,0.3267515685392387,nucleus,no
PSRC1,-1.946873561662961,1.2120666525339272,unclassified,no
AHCYL1,0.7487763134171708,0.3500859742017288,cytosol,no
FAAP20,0.9424382463730474,0.7373530620545374,unclassified,no
DRAM2,-1.0677298475313537,0.4789728019051292,lysosome,no
NNT,2.8717000000000006,1.605751811480141,mitochondrion,yes
RHOC,-1.074661973507343,0.2361694826386654,cytosol,no
CSDE1,-0.3913000000000011,0.0633445700792704,stress_granule,no
VANGL1,0.1362999999999985,0.1729778506239319,plasma_membrane,no
GPSM2,0.2933535821954258,0.4568222687130689,cytosol,no
CLCC1,2.149799999999999,3.0438206712150264,ER,yes
SLC16A1,0.0837000000000003,0.2642885035111038,plasma_membrane,no
MRPS12,4.091740209244257,0.6934569075746546,mitochondrion,no
PAF1,-2.5697561086468177,1.5218345123651815,nucleus,no
WDR77,-0.0942000000000007,0.0947986634695415,cytosol,no
PAK4,1.2225,0.688378582547075,actin_cytoskeleton,no
AP4B1,-0.3968007308002477,0.0079297845346321,early_endosome,no
DMAC2,1.0340239914479632,1.167728884403359,mitochondrion,no
RAB4B,0.3349000000000011,0.0442515945121263,early_endosome,no
CCDC97,-0.3001891531585769,0.0695388092996931,nucleolus,no
ERF,-2.90407436308929,0.8786526400325426,nucleus,no
GSK3A,-0.4213088002894558,0.286071683875444,plasma_membrane,no
PAFAH1B3,0.7897993810749,0.0107625065548139,cytosol,no
TIMM50,1.3203999999999994,1.25650801171315,mitochondrion,no
SAMD4B,-1.1104269748491014,1.594366004404263,stress_granule,no
ITPKC,-0.1692785231669695,0.0560234261965063,cytosol,no
TGFB1,2.2811070631244696,3.161713793664972,ER,yes
SMG9,-0.4472827696345405,0.4629330486840751,unclassified,no
PLD3,0.7232000000000021,0.4001468143799308,lysosome,no
PPP1R13L,0.4887991469377049,1.1317713778219611,cytosol,no
ERCC1,0.2806277047856653,0.0383527382865994,unclassified,no
PPP5C,-5.928100000000001,3.194958170032331,cytosol,no
SAE1,-0.1458444980869515,0.2177801470072767,cytosol,no
SYMPK,-4.7302,1.950678063946048,nucleus,no
FKRP,8.46898707250033,6.944763035194299,Golgi,yes
NAPA,1.4981000000000009,1.578824565454377,early_endosome,yes
EHD2,-0.009632579964883,0.0183575046901764,plasma_membrane,no
XRCC1,2.0206000000000017,0.3340386926686852,nucleus,no
DHRS11,1.447254218665627,0.7677564413222872,cytosol,no
SH3BP5L,-0.4141044378298559,0.2044453101323932,14-3-3_scaffold,no
KLC3,-0.4399065765726675,0.5092181357170862,14-3-3_scaffold,no
VASP,1.7231000000000023,0.835465759512057,actin_cytoskeleton,no
SLC38A2,0.2332999999999998,0.382119649059115,plasma_membrane,no
SYNRG,8.437732446829997,3.780451043504737,early_endosome,yes
ZNHIT3,-6.346237200683774,1.972423611175242,nucleus,no
TADA2A,-0.5000148073948445,0.1841710038421427,nucleus,no
PFKM,0.4328915348540043,0.3933742517778564,cytosol,no
DDX23,-2.1599000000000004,0.5298148181953921,nucleus,no
TMBIM6,-1.1396954082909616,0.4728817080354685,ER,no
PEX26,0.1558946423804421,0.3022307002347593,peroxisome,no
SPATS2,-0.9112000000000008,0.216071717831161,nucleolus,no
SMARCD1,-0.8293437800188315,0.2177169505123451,nucleus,no
CNTN1,-0.7138000000000027,0.0508275511640325,plasma_membrane,no
ZCRB1,0.6103315829245197,0.4014459214693922,stress_granule,no
TMT1A,2.410800000000002,1.564123640278514,ER,yes
TFCP2,2.226800000000001,0.9148103592237254,ER,no
PRKAG1,-1.7841405857006831,1.291063159591964,cytosol,no
ATG101,-1.373821250136011,0.0198556673934913,cytosol,no
RACGAP1,-2.9258000000000024,1.4684061948454534,14-3-3_scaffold,no
CTSV,1.0717,0.3688111370607207,lysosome,no
CORO2A,-1.0593883343369193,0.8897410483010763,actin_cytoskeleton,no
SLC44A1,0.7320249892179262,0.0085676491252578,plasma_membrane,no
PALM2AKAP2,2.5278000000000027,0.7937379858105911,plasma_membrane,no
GNG10,-8.08590746535442,0.7234484828786665,plasma_membrane,no
SMC2,-2.020700000000001,1.5583662252944246,unclassified,no
DNAJC25-GNG10,-0.4804999999999992,0.2606907886072317,plasma_membrane,no
PTBP3,2.2224999999999966,0.11278372625008,nucleus,no
TRIM14,-1.8304670042175388,0.8559998239426219,early_endosome,no
TEX10,-2.481693304994512,0.7052551399165594,nucleus,no
ARAF,1.078579941462298,0.0372754718250813,14-3-3_scaffold,no
NCBP1,-2.745696121305439,0.5600441247685246,nucleus,no
CDK16,-3.1831,1.1525537878199277,recycling_endosome,no
ALG2,3.129200000000001,2.58473974473858,ER,yes
JADE3,0.5689084036934311,0.0455688570011948,nucleus,no
UBA1,-1.6179000000000023,0.2990323717344075,cytosol,no
UBE2L3,0.0380579604282864,0.1953987460032723,cytosol,no
ELK1,-1.2127550298254484,0.8345911201027788,nucleus,no
PPIL2,-1.0108999999999997,2.289665184284432,unclassified,no
TOP3B,0.6577943015127765,0.5042867080205444,stress_granule,no
CCDC117,0.4875637595868909,0.4283347389165246,cytosol,no
THOC5,-3.955725612770916,1.263503130893,nucleus,no
MTFP1,0.7319119325207915,0.1666882449386189,nucleus,no
CABIN1,-1.773293021331824,1.0917535040551232,nucleus,no
PATZ1,-8.33902405549339,6.742768464296069,nucleolus,no
ASCC2,-0.1175705959436719,0.0559674697341277,translation,no
FOXRED2,1.806799999999999,1.5330507381140208,ER,yes
LIMK2 (A0A024R1H6),-0.1556276626923356,0.1617694661689375,unclassified,no
ZMAT5,-0.7841875145075861,0.9900946135294678,unclassified,no
PDXP,0.8645021038571095,1.63746083525203,cytosol,no
SEC14L2,-0.2638424168879396,0.0924961715368951,cytosol,no
TFIP11,-2.6210999999999984,0.5485483623808565,nucleus,no
CDC42EP1,-0.8335000000000008,0.691050149349513,plasma_membrane,no
PICK1,-0.6714366020871161,0.5649044076269748,cytosol,no
NF2,-0.4532999999999987,0.2042357317269749,actin_cytoskeleton,no
EIF4ENIF1,-3.173000000000002,1.7279009940006085,p-body,no
YWHAH,-0.8259000000000007,1.196235004545012,unclassified,no
SF3A1,-1.8571000000000024,1.0737412694745605,nucleus,no
RP5-1104E15.5,3.7291788363421112,5.318766262860455,mitochondrion,yes
CBY1,-0.1342940287679006,0.1163461991368881,actin_cytoskeleton,no
NOL12,-2.590399999999999,2.559605169490167,nucleolus,no
APOL2,6.469692663272003,2.2206103477731,ER,yes
MYH9,-0.1174999999999997,0.1225625606230285,actin_cytoskeleton,no
XRCC6,-0.3688000000000002,0.388842379514108,nucleus,no
POLR3H,0.528351921277558,1.0613523382817618,cytosol,no
JOSD1,0.1990165085275599,0.0007520699293839,plasma_membrane,no
SREBF2,7.657972334887404,6.8479009374451145,ERGIC,yes
CENPM,-0.7805436359781659,0.944509638476412,unclassified,no
NAGA,1.6136672965392158,1.54591970325575,ER,yes
RPL23,-0.6083000000000034,1.61766552270803,unclassified,no
CDC6,-0.2432999999999978,0.1099607077266601,nucleus,no
SMARCE1,-3.7438239604570818,0.6166209588303055,nucleus,no
LASP1,0.3464000000000027,0.053704239364125,cytosol,no
RPS19BP1,-1.755200000000002,1.801927514130307,nucleolus,no
KLHL11,-0.1052284642824474,0.0489236106097411,cytosol,no
ACLY,-1.5387999999999984,0.7059263779186085,cytosol,no
RANGAP1,0.4004000000000012,0.32215920513079,ER,no
PSMC3IP,-0.7160142645118555,0.613957532302057,nucleus,no
PHF5A,-2.3629999999999995,0.909599152144768,nucleus,no
RAB5C,0.1448999999999998,0.1779684261650594,early_endosome,no
PMM1,0.6513372114689311,0.3328807380314492,cytosol,no
RPL27,-0.2845000000000013,0.1644565611998458,translation,no
PCGF2,-0.7028038062457611,0.3384224621672541,nucleus,no
FKBP10,1.3773000000000015,4.027784871370118,ER,yes
ORMDL3,1.1594999999999978,0.3735717926262386,nucleus,no
CASC3,0.3774000000000015,0.2809796153503787,stress_granule,no
VPS25,2.209299999999999,0.5171314672538612,cytosol,no
COA3,2.3125,1.2076387242810356,mitochondrion,no
BECN1,-3.9357851666505774,1.0121870565015103,early_endosome,no
JUP,-0.8377999999999979,0.1704499188061765,plasma_membrane,no
PALM,-3.679199999999998,1.0969213820928172,plasma_membrane,no
GHDC,3.8930000000000007,4.13286571352647,ER,yes
