Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.1200958265486598,0.3991317421914424,nucleus,no
RBM8A,-2.4437,2.975501057280065,nucleus,no
TM9SF4,-4.311600000000002,2.789463862435443,Golgi,no
PTEN,-1.0477528601280142,0.7217520983668292,cytosol,no
TM9SF2,-3.389099999999999,3.4004171308255,trans-Golgi,no
TM9SF3,-5.914422665487969,6.84192583781384,Golgi,no
AP1S1,-4.008900000000001,6.78119879916335,early_endosome,no
EIF3C,-1.0364000000000004,1.3566960488166542,stress_granule,no
IFT22,-0.3685312554904101,0.1976005703602275,cytosol,no
PRKRIP1,-1.03902686431746,0.5538401336799659,unclassified,no
CCP110,-6.93124527867149,5.013507392090078,centrosome,no
PRICKLE3,0.6350189542104552,0.5532811669603432,unclassified,no
EBP,0.2738000000000014,0.5463566077637698,ER,no
WDR45,-0.5585827597648283,0.3626129247028439,cytosol,no
GPRC5B,-6.13578426006708,15.215795632495803,recycling_endosome,no
RBM3,-1.567499999999999,1.2064566385212303,nucleus,no
EPN2,-5.038974251882394,3.13741170715416,plasma_membrane,no
PRPSAP2,2.521428012406041,1.2869165591231018,cytosol,no
BCL9,0.03171021037247,0.5268775097260129,cytosol,no
SPECC1,-6.6831,11.51731906691147,plasma_membrane,no
SEC61G,1.096899999999998,1.121748522536283,ER,no
EXOC3,-0.6308983408029931,0.6311065374562079,plasma_membrane,no
CEP72,-0.8534918292050371,0.3144355630407084,centrosome,no
CCDC22,-6.048243522043865,4.12625973143421,early_endosome,no
IFT20,0.0729904021691361,0.1285399864342322,Golgi,no
OTUD5,1.0218457536458558,0.5751089835349523,cytosol,no
MAPK7,-0.1062995510353665,0.0676881320252479,cytosol,no
PRAF2,-1.0736957425756657,0.7397162086635541,ER,no
TFE3,-0.3790133762896595,0.4366799065516045,nucleus,no
HDAC6,-0.7137720164339676,0.2030497252403449,unclassified,no
SDHA,4.682299999999998,7.836802721794704,mitochondrion,yes
FAM168B,0.3890483944825398,0.4477737531766798,unclassified,no
APPBP2,-0.3262781752657879,0.0463403059347591,cytosol,no
INTS2,0.1319959681200799,0.1732874800082477,nucleus,no
CLN8,0.7100760733465883,0.1131249898355812,ER,no
TRAF4,0.2405750764653618,0.4600690276015485,plasma_membrane,no
FLOT2,-2.1739999999999995,5.214663566778602,lysosome,no
MYO18A,1.086807749057222,0.5238985235311403,actin_cytoskeleton,no
ALDOC,-2.374502725282678,1.078168964177399,cytosol,no
RAB34 (A0A024QZ68),-0.567499999999999,0.4811455716387634,plasma_membrane,no
TAOK1,-5.955066497955041,11.15175831721992,plasma_membrane,no
MED13,0.0022528495352958,0.0096495459696856,nucleus,no
