Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-1.6019955520350813,0.5241202091049019,nucleus,no
RBM8A,-0.0882000000000005,0.0544717530475119,nucleus,no
TM9SF4,-2.283300000000001,1.701337756572506,Golgi,no
PTEN,0.3805402890264346,0.1652266233781816,cytosol,no
TM9SF2,-1.4972999999999992,2.6965278266551613,trans-Golgi,no
TM9SF3,-0.4405999999999999,0.2324598545207648,Golgi,no
AP1S1,-0.9499999999999992,0.9753826386811714,early_endosome,no
EIF3C,0.1916000000000011,0.5489754499018501,stress_granule,no
IFT22,2.1193595189969834,2.2720685285901423,cytosol,yes
PRKRIP1,-0.655772479082632,0.5003008679395394,unclassified,no
CCP110,-1.271799999999999,1.7764866532066346,centrosome,no
PRICKLE3,-0.18187539160051,0.1436653219068873,unclassified,no
EBP,-0.1604999999999989,0.0259563091801579,ER,no
WDR45,1.5567675903543332,1.4360650959205867,cytosol,yes
GPRC5B,-6.981165193657354,11.89369429764527,recycling_endosome,no
RBM3,-0.1048000000000008,0.1003345567209331,nucleus,no
EPN2,-4.275731151984637,1.0144705046236877,plasma_membrane,no
PRPSAP2,2.0181000000000004,0.9392414206039772,cytosol,no
BCL9,1.7567342884261343,1.0142872422012,cytosol,no
SPECC1,-5.772299999999998,4.801880158225109,plasma_membrane,no
SEC61G,-0.2777000000000029,0.7483205590752046,ER,no
EXOC3,1.951900000000002,0.1786096218076457,plasma_membrane,no
CEP72,-0.8374909600593838,0.3576305351870782,centrosome,no
CCDC22,-1.0181000000000004,0.5884949005530269,early_endosome,no
IFT20,-0.6517157924622907,0.5499758142998518,Golgi,no
OTUD5,5.418555365353011,15.05812957006787,cytosol,yes
MAPK7,3.22977598892745,5.7196666534890745,cytosol,yes
PRAF2,-0.3198327326297381,0.0021837988419496,ER,no
TFE3,-0.0774239460623675,0.0327869379541532,nucleus,no
HDAC6,2.774251258263522,2.345248455813484,unclassified,yes
SDHA,1.1431000000000004,0.1150960467729358,mitochondrion,no
FAM168B,0.0922236221925274,0.0923921067884843,unclassified,no
APPBP2,0.0965000000000024,0.3675344012553406,cytosol,no
INTS2,3.294800862507884,2.898302933250991,nucleus,yes
CLN8,-0.1441570468774884,0.0878293123021742,ER,no
TRAF4,0.5879025527281776,0.7286415510443622,plasma_membrane,no
FLOT2,-5.016500000000001,6.509654444052579,lysosome,no
MYO18A,0.3197075159928069,0.1079398022033209,actin_cytoskeleton,no
ALDOC,-2.172848582457217,0.2919031300114918,cytosol,no
RAB34 (A0A024QZ68),-2.352499999999999,7.061257067213611,plasma_membrane,no
TAOK1,-6.400600000000001,13.2331557227856,plasma_membrane,no
MED13,-0.1559265355573593,0.2233763921339634,nucleus,no
EFHD2,1.9173039915176169,0.3676894771359071,actin_cytoskeleton,no
TBX2,-0.132598056258228,0.3304074675367631,nucleus,no
COG4,1.9923,0.5264395589681125,Golgi,no
SH2B1,1.4247650451826743,1.0369305751168514,cytosol,no
TMEM51,-2.3693141899544266,1.211840423853116,plasma_membrane,no
EPHA2,-5.773403530565222,9.85044736073271,plasma_membrane,no
BCKDK,2.145860256221063,0.147020355063355,mitochondrion,no
SULT1A1,1.9761634872182512,2.147169096798927,cytosol,yes
PRR14,0.1574889046882184,0.0169446765403918,actin_cytoskeleton,no
ZNF48,-0.6126592082867006,0.6300586099989375,nucleus,no
CD2BP2,2.197999999999997,1.7635356516134502,nucleus,yes
ZNF768,-3.320750649509751,1.8950749755927991,nucleus,no
RPL18,-0.2220000000000013,0.4448213871790926,translation,no
SNRNP70,-0.0101000000000013,0.0459990615035369,nucleus,no
ZNF668,-0.2058289384084268,0.2560699104262117,nucleus,no
TDRD3,0.7335999999999991,0.4281805171151376,stress_granule,no
RUSF1,0.5350999999999999,0.3189412042554814,ER,no
PIH1D1,5.426400000000001,5.961051876819654,unclassified,yes
NUP62,1.5288000000000004,0.6860503753280638,ER,no
RRAS,-4.355164575815831,1.8638150806701543,plasma_membrane,no
AKT1S1,2.582160304671429,0.9968998109938978,lysosome,no
SCAF1,-0.6863149196909113,0.2080795677759266,nucleolus,no
FCGRT,-5.519861507911195,5.0223914128101645,recycling_endosome,no
VRK3,-0.9666310730494416,0.2647039002604092,ER,no
NCOA4,1.7973,1.0040146955216092,cytosol,no
UBE2D1,0.3591780563282114,0.3758930295728473,cytosol,no
CCDC6,3.7252101821587473,4.358908663504702,cytosol,yes
PBLD,-0.0202542338748727,0.2447836087202363,cytosol,no
HNRNPH3,-0.8540000000000028,0.7051472506338231,nucleus,no
FAM241B,-1.9360447922547053,0.4022202011652777,ER,no
ASCC1,1.4335999999999984,1.582450407831583,translation,yes
LRRC20,0.3932991910008852,1.1313103252725911,cytosol,no
EIF4EBP2,-0.8011647656431897,0.4785318872024845,cytosol,no
PALD1,0.3872999999999997,0.1329049909502353,cytosol,no
SEC24C,-0.1647000000000034,0.1758801067065135,Golgi,no
DNAJC9,0.8090999999999973,1.6068904282091976,nucleus,no
VCL,1.750700000000002,2.221374722255499,cytosol,yes
ZWINT,3.6554,4.679158196311248,cytosol,yes
ZMIZ1,-0.1260000000000012,0.3417852741484889,unclassified,no
CISD1,1.6068416136201442,0.123941749806741,mitochondrion,no
HERC4,3.938071027274919,5.4622022265110175,cytosol,yes
MACROH2A2,-1.5786000000000016,0.0458395967743683,nucleus,no
SIRT1,6.963465138430042,6.70759041707054,cytosol,yes
PSAP,-2.3412000000000006,2.1190500917118418,lysosome,no
hCG_2002731,-0.3388999999999988,0.4427409310220889,nucleus,no
AP3M1,0.8694999999999986,1.0526993886285267,lysosome,no
SLC38A9,-5.96687132603947,8.064866417313667,lysosome,no
MOCS2 (A0A024QZS1),0.5217744844491037,0.3710407808290271,cytosol,no
PLPP1,0.4412824366480841,0.3834611523801104,plasma_membrane,no
PPIF,-1.5082999999999984,0.6108006581831282,mitochondrion,no
VDAC2,0.8093000000000004,0.000895591468977,mitochondrion,no
