Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.753825319382841,0.2698555734086425,nucleus,no
RBM8A,-0.5884999999999998,0.0532401652218209,nucleus,no
TM9SF4,3.347745036087133,0.5270820829829946,Golgi,no
PTEN,0.5770670760743748,0.1677033788249483,cytosol,no
TM9SF2,4.978066364282558,0.8037453087429535,trans-Golgi,no
TM9SF3,1.8800999999999988,0.7053584286971943,Golgi,no
AP1S1,1.4695999999999998,0.8216121431392924,early_endosome,no
EIF3C,0.0572000000000016,0.3115644440821608,stress_granule,no
IFT22,0.0510309941858508,0.2108472073641433,cytosol,no
PRKRIP1,-1.0199013429216706,0.6813289840173132,unclassified,no
CCP110,-5.553825301250246,2.3803067080745213,centrosome,no
PRICKLE3,1.2961618075223915,2.3014882876617406,unclassified,yes
EBP,0.7582000000000022,0.5316912998521415,ER,no
WDR45,-0.2263022162698682,0.1642116265080813,cytosol,no
GPRC5B,-0.3848999999999982,0.067308950000488,recycling_endosome,no
RBM3,0.3022000000000027,0.0687833585086406,nucleus,no
EPN2,0.9705000000000013,0.303250748761875,plasma_membrane,no
PRPSAP2,0.1009656468585973,1.0679921617084056,cytosol,no
BCL9,0.6390836513480487,0.4382993355743428,cytosol,no
SPECC1,1.1671999999999976,0.6692845046167801,plasma_membrane,no
SEC61G,1.381800000000002,0.6038246913377254,ER,no
EXOC3,-1.2610771680822808,0.5403184172284534,plasma_membrane,no
CEP72,-1.634166112466044,0.6146109126087015,centrosome,no
CCDC22,2.1979573829965418,0.7072812458473783,early_endosome,no
IFT20,0.2704473162340939,2.6195985409992983e-05,Golgi,no
OTUD5,0.8305922219763033,0.8796575721101936,cytosol,no
MAPK7,-0.0587959990992672,0.2588140688364596,cytosol,no
PRAF2,7.176075455145426,3.4870191319122843,ER,yes
TFE3,0.8955943284774825,0.4856528642139386,nucleus,no
HDAC6,-0.6891951755192096,0.6072554958261156,unclassified,no
SDHA,0.1696000000000026,0.1501458090439772,mitochondrion,no
FAM168B,0.3188115593932039,0.0670046921286919,unclassified,no
APPBP2,-0.0681376046908468,0.3348108498308551,cytosol,no
INTS2,-0.5569265624114514,0.3840844000079103,nucleus,no
CLN8,-0.2916983379456077,0.1721033437784097,ER,no
TRAF4,0.0530514884584931,0.1377713795426091,plasma_membrane,no
FLOT2,3.459,1.986179846791556,lysosome,yes
MYO18A,-1.0667808526568905,0.7916285468893555,actin_cytoskeleton,no
ALDOC,1.3154543599528168,0.3589877174323116,cytosol,no
RAB34 (A0A024QZ68),0.7786000000000008,0.6412100952623998,plasma_membrane,no
TAOK1,2.506254368934446,1.083706044268831,plasma_membrane,no
MED13,-0.4163692878506921,0.5355236317916582,nucleus,no
EFHD2,-0.4759732952407383,0.1318397177652162,actin_cytoskeleton,no
TBX2,0.4961092303007106,0.1991418622118356,nucleus,no
COG4,2.144279394292397,0.0208322887044481,Golgi,no
SH2B1,-0.6808971862275968,0.7698369564791263,cytosol,no
TMEM51,0.0641269700849278,0.063500840397989,plasma_membrane,no
EPHA2,0.5645999999999987,0.3276322554978787,plasma_membrane,no
BCKDK,-7.300706152597453,0.4161203371419773,mitochondrion,no
SULT1A1,0.6221626125305448,0.2315962105363974,cytosol,no
PRR14,0.2846855020691485,0.1105120177414217,actin_cytoskeleton,no
ZNF48,-0.4122268656153736,0.0856846414964166,nucleus,no
CD2BP2,-2.696257964354864,0.6903836881438794,nucleus,no
ZNF768,1.3823000000000008,0.6982408136289989,nucleus,no
RPL18,-0.7441999999999993,0.1509538041482813,translation,no
SNRNP70,-0.5959000000000003,0.8851242891590929,nucleus,no
ZNF668,-0.0978654183757399,0.1573031317545991,nucleus,no
TDRD3,0.0038114666899957,0.2410452691596302,stress_granule,no
RUSF1,2.8218330780433902,0.4426472387295029,ER,no
PIH1D1,1.2292770937943942,1.6568374480582262,unclassified,yes
NUP62,-0.3048999999999999,0.1356608758396743,ER,no
RRAS,5.357977624809617,1.140446054122492,plasma_membrane,no
AKT1S1,6.211741803900072,9.736955894746432,lysosome,yes
SCAF1,-0.2934999999999981,0.2425198688560688,nucleolus,no
FCGRT,-0.9352233525816304,0.2285425728483307,recycling_endosome,no
VRK3,-0.5704207996636939,0.3846318015652236,ER,no
NCOA4,-0.3766177446486978,0.7027845818509982,cytosol,no
UBE2D1,-0.5110875649783964,0.2565334194619257,cytosol,no
CCDC6,-1.0885063653716678,0.4062018293825093,cytosol,no
PBLD,-1.011516068674922,1.2762451490343576,cytosol,no
HNRNPH3,-0.5182000000000002,1.0546472542209815,nucleus,no
FAM241B,3.109618606781158,2.412782117133487,ER,yes
ASCC1,0.807104579996885,0.1437946604039955,translation,no
LRRC20,-0.1051198012290335,0.0305390322941997,cytosol,no
EIF4EBP2,-0.0459203834236845,0.0297512454323017,cytosol,no
PALD1,-0.3133061220400499,0.4313630753921063,cytosol,no
SEC24C,1.1221999999999994,0.0961872013416156,Golgi,no
DNAJC9,0.1968999999999994,0.1225365408180195,nucleus,no
VCL,2.103439878842842,0.835104998129465,cytosol,no
ZWINT,-0.138446318103842,0.2538802183298236,cytosol,no
ZMIZ1,-0.05817275634055,0.2261834173783981,unclassified,no
CISD1,-0.9195999999999992,0.2837373093436311,mitochondrion,no
HERC4,0.368898106610807,0.0058052860831536,cytosol,no
MACROH2A2,0.8224000000000018,0.3318738837873393,nucleus,no
SIRT1,-0.0972801069353579,0.1753268522549895,cytosol,no
PSAP,6.882711809022329,3.329276815846152,lysosome,yes
hCG_2002731,0.2166999999999994,0.2983527023756262,nucleus,no
AP3M1,3.3604551409120056,2.2232104213186026,lysosome,yes
SLC38A9,5.390600000000003,7.415965683645285,lysosome,yes
MOCS2 (A0A024QZS1),-0.1304339405110042,0.0538441961826445,cytosol,no
PLPP1,0.4963442187039177,0.1062714759101109,plasma_membrane,no
PPIF,-0.7355000000000018,0.4575919286187552,mitochondrion,no
VDAC2,0.7574000000000005,0.1335825596632397,mitochondrion,no
EXOC2,-0.8231578318498691,0.0048439255172173,plasma_membrane,no
SERPINB9,-0.313051332858528,0.4365460803907895,cytosol,no
NQO2,-0.7147358076281805,0.5152674428921946,cytosol,no
RIPK1,0.5664415530144495,0.1321388898517464,unclassified,no
EIF2AK1,0.8510607738964318,0.5944242778069629,cytosol,no
RREB1,-0.5171314570939494,0.0612396412589421,nucleus,no
TPMT,-1.1019075532914364,1.4450119587817591,cytosol,no
NOL7,-2.8194000000000017,2.0369536492386784,nucleolus,no
RANBP9,0.5538616906799128,0.1111311886964818,cytosol,no
NUP153,2.1409999999999982,0.2167292199367638,nucleus,no
TBC1D7,0.50076746018539,0.0512778634749413,14-3-3_scaffold,no
SERPINB6,-0.6604415720227621,0.3158515973507392,cytosol,no
BPHL,-1.0849128781965265,0.3620762034412882,mitochondrion,no
AIMP2,4.3581,1.2016902509254523,ER,no
FAM50B,0.1312212605189984,0.1464327346840125,unclassified,no
PRPF4B,-1.791800000000002,0.414407331625673,nucleolus,no
GMNN,0.5508422083224858,0.0793324910324512,nucleus,no
TMEM14C,-0.6109633651710489,0.4296883207197976,nucleus,no
FAM8A1,1.4734000000000016,1.3117065833334878,ER,yes
SIRT5,0.7975040152909223,0.0926953550632266,mitochondrion,no
ABT1,-0.2209675323436002,0.3277337667533336,nucleolus,no
DAB2,-0.4440568509637899,0.0447399976085556,plasma_membrane,no
OXCT1,-1.1357675081939576,0.375500350406327,mitochondrion,no
RAD1,-0.7292391669944465,0.8642119677838347,cytosol,no
HMGN4,-9.988166287436751,1.9078349812819684,nucleus,no
SLC1A3,-0.627200000000002,0.0057720142545972,plasma_membrane,no
HMGCS1,-0.0175914355462332,0.5149976401032529,cytosol,no
VAMP7,2.1081000000000003,1.0296858714931296,early_endosome,no
SKP2,0.1938840880139984,0.0826711940837128,cytosol,no
NUP155,0.6996000000000002,0.2692902615060079,ER,no
UBE2J2,1.1422999999999988,0.5749307971231653,ER,no
SDF4,1.776600000000002,0.4773032599529494,Golgi,no
ZNF131,-0.3179664542710192,0.6001575920839252,nucleus,no
PSRC1,2.9661029087393302,0.1211679290527959,unclassified,no
AHCYL1,2.718446911155094,3.0805962288267845,cytosol,yes
FAAP20,-0.5778425332744419,0.7414454921706127,unclassified,no
DRAM2,6.291085819657535,9.911818358129652,lysosome,yes
NNT,0.390900000000002,0.0742485607638564,mitochondrion,no
RHOC,-0.5403956056738792,0.3398223353892678,cytosol,no
CSDE1,-1.9278999999999973,0.4852166198354056,stress_granule,no
VANGL1,1.6675000000000004,0.9999954174869278,plasma_membrane,no
GPSM2,-1.2347723811805729,1.019009817673275,cytosol,no
CLCC1,1.3842,0.9536297145717124,ER,no
SLC16A1,-3.59251080251191,0.2156877046608716,plasma_membrane,no
MRPS12,-0.857800000000001,0.2434494998746194,mitochondrion,no
PAF1,0.7118000000000002,0.0267433982439985,nucleus,no
WDR77,-1.7756000000000007,0.2120400536703879,cytosol,no
PAK4,1.1248000000000005,0.6812058518740924,actin_cytoskeleton,no
AP4B1,0.0807251093468544,0.162366412102445,early_endosome,no
DMAC2,0.1250816755981034,0.2921080102036669,mitochondrion,no
RAB4B,0.9470535184624468,0.028376721433599,early_endosome,no
CCDC97,0.067700000000002,0.0620869741822716,nucleolus,no
ERF,-0.1897767032435808,0.0968961678758212,nucleus,no
GSK3A,-0.3703243521747659,0.4967817768509506,plasma_membrane,no
PAFAH1B3,-0.1796544386980798,0.011228530936869,cytosol,no
TIMM50,0.5585999999999984,0.0657809171877061,mitochondrion,no
SAMD4B,0.4924568190614202,0.1649083286715231,stress_granule,no
ITPKC,0.3369002765200193,0.1006877039844031,cytosol,no
TGFB1,-0.5282574055949922,0.1651912203615333,ER,no
SMG9,0.3524460077848239,0.0116343802829246,unclassified,no
PLD3,10.595613203751732,7.5033973793666675,lysosome,yes
PPP1R13L,0.4340256676388918,0.2402447757720991,cytosol,no
ERCC1,-0.1206024051631438,0.290730895098663,unclassified,no
PPP5C,6.228979804092656,1.69168718608819,cytosol,yes
SAE1,0.3319003333461978,0.0589404842117164,cytosol,no
SYMPK,-2.9435,1.061361943327732,nucleus,no
FKRP,1.2313519326488451,0.0783896071477667,Golgi,no
NAPA,0.2569999999999979,0.1310863926456143,early_endosome,no
EHD2,0.2920468784227772,0.2791880198880389,plasma_membrane,no
XRCC1,-5.56079078409854,2.071354399040657,nucleus,no
DHRS11,0.0984346491406285,0.3384907463863884,cytosol,no
SH3BP5L,0.533111848298244,0.1227826130789783,14-3-3_scaffold,no
KLC3,0.4854013048675263,0.5416151275100519,14-3-3_scaffold,no
VASP,-0.4212601108895804,0.2614251838387797,actin_cytoskeleton,no
SLC38A2,2.450799999999997,1.170363803994346,plasma_membrane,no
SYNRG,-0.4825651416850753,0.5109546660589285,early_endosome,no
ZNHIT3,-4.858127719247705,0.9014052272569943,nucleus,no
TADA2A,-0.2856613583107439,0.5604226271080364,nucleus,no
PFKM,-0.7051904117060381,0.4116552242035573,cytosol,no
DDX23,-3.0374000000000017,1.583660991138138,nucleus,no
TMBIM6,0.5037005984208314,0.1909308539880709,ER,no
PEX26,-1.4823369181593726,1.7287764497801112,peroxisome,no
SPATS2,-2.1720000000000006,0.3146157010888866,nucleolus,no
SMARCD1,-1.0760369757876802,0.5937897914195156,nucleus,no
CNTN1,4.402524314572297,1.7139967253308055,plasma_membrane,yes
ZCRB1,0.9926727972387894,0.0847595463619857,stress_granule,no
TMT1A,0.7704999999999984,0.0425183894528485,ER,no
TFCP2,-0.9863932099502292,0.4449037403270515,ER,no
PRKAG1,-0.4096773765384007,0.034217265123797,cytosol,no
ATG101,-0.1108109059747199,0.0181246659165936,cytosol,no
RACGAP1,5.533899999999999,4.292807943265204,14-3-3_scaffold,yes
CTSV,7.262501064343841,3.5138656397622934,lysosome,yes
CORO2A,-1.1032740246895685,0.529359729209893,actin_cytoskeleton,no
SLC44A1,0.1273039199239036,1.105755538183676,plasma_membrane,no
PALM2AKAP2,0.4207918306459461,0.2610491917304925,plasma_membrane,no
GNG10,0.9113000000000008,0.1877642787188709,plasma_membrane,no
SMC2,-1.3013999999999974,1.027926270722183,unclassified,no
DNAJC25-GNG10,2.036700000000004,1.953042797144128,plasma_membrane,yes
PTBP3,-1.997718648768295,0.3609546627604407,nucleus,no
TRIM14,2.9880603041417046,1.562561733716883,early_endosome,yes
TEX10,-4.490799376775176,1.6286752460525198,nucleus,no
ARAF,0.4319073713200723,0.364466259782935,14-3-3_scaffold,no
NCBP1,-1.05599160898009,0.1791828966202912,nucleus,no
CDK16,0.4588084770197831,0.3272146235108306,recycling_endosome,no
ALG2,3.6793092979435897,2.0489697437094545,ER,yes
JADE3,0.469931520354141,0.7322254776739173,nucleus,no
UBA1,-0.1655000000000015,0.241499890468194,cytosol,no
UBE2L3,-0.8389400553105908,0.2987740506919773,cytosol,no
ELK1,0.2714734727124899,0.3978056695460156,nucleus,no
PPIL2,-1.007200000000001,0.3418132508572127,unclassified,no
TOP3B,0.1239892741470107,0.1933135172611594,stress_granule,no
CCDC117,-0.6030696924908412,0.037772442540351,cytosol,no
THOC5,-1.682740451814709,1.0484882246332046,nucleus,no
MTFP1,-1.546789551557982,2.074648209452885,nucleus,no
CABIN1,0.9471999195680496,0.3590258628715386,nucleus,no
