Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,1.9546000000000028,1.097342060961985,nucleus,no
RBM8A,0.2991500000000009,0.5944628671251379,nucleus,no
TM9SF4,3.1700000000000017,1.2522800557881004,Golgi,no
PTEN,-1.1909585145268409,0.5582381378019019,cytosol,no
TM9SF2,2.7234000000000016,2.304054324385549,trans-Golgi,yes
TM9SF3,4.5488,1.4980673403184863,Golgi,yes
AP1S1,1.241150000000001,0.91902107618521,early_endosome,no
EIF3C,-0.3501499999999993,0.5941395402094153,stress_granule,no
IFT22,0.4021650316418643,0.0261544662684212,cytosol,no
PRKRIP1,0.0881178111148806,0.0934767378098171,unclassified,no
CCP110,-1.2661499999999997,0.2081250197637463,centrosome,no
PRICKLE3,0.4941299456733929,0.0314661546334644,unclassified,no
EBP,0.1204,0.3245851610483808,ER,no
WDR45,0.5134326132122915,0.0399378642575789,cytosol,no
GPRC5B,-4.796946330645753,2.492614820952627,recycling_endosome,no
RBM3,1.2117000000000004,0.8793880916026504,nucleus,no
EPN2,-1.7616499999999995,0.5908091695313872,plasma_membrane,no
PRPSAP2,-0.1812682008245119,0.3077476357383251,cytosol,no
BCL9,-0.1005928873325423,0.0940517635296004,cytosol,no
SPECC1,-2.811950000000003,1.7128801924603156,plasma_membrane,no
SEC61G,1.0597999999999992,1.691869465042533,ER,yes
EXOC3,-2.996300000000001,0.8986774013199114,plasma_membrane,no
CEP72,-2.327250000000003,0.4884495086485915,centrosome,no
CCDC22,-3.5266247285650856,2.358685885336296,early_endosome,no
IFT20,4.718625978239558,1.3729257870565266,Golgi,yes
OTUD5,0.1768597105986629,0.4083774612895796,cytosol,no
MAPK7,-0.1238446142674689,0.2395706269383731,cytosol,no
PRAF2,2.4834500000000013,1.2668081642776003,ER,no
TFE3,0.0156602382668182,0.1492171821153363,nucleus,no
HDAC6,-0.2887821326900166,0.3155101354321075,unclassified,no
SDHA,1.525549999999999,2.137154206769291,mitochondrion,yes
FAM168B,-0.0349982831659403,0.4030244261270648,unclassified,no
APPBP2,-0.6784366434071174,0.6023635575780871,cytosol,no
INTS2,0.318316409644467,0.8189150125331951,nucleus,no
CLN8,0.3260397915369495,0.0926611638525704,ER,no
TRAF4,0.3500029438150349,0.1796601936035693,plasma_membrane,no
FLOT2,0.8952999999999989,0.4077384315783338,lysosome,no
MYO18A,-4.81974222153211,1.6139817056619026,actin_cytoskeleton,no
ALDOC,-0.4409429305281698,0.4261499124759532,cytosol,no
