Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.3158509897093999,0.0742029821521621,nucleus,no
RBM8A,-1.078599999999998,4.59733083218516,nucleus,no
TM9SF4,2.696399999999997,2.5853287068163384,Golgi,yes
PTEN,-0.643163257449892,0.1933285010578248,cytosol,no
TM9SF2,1.661999999999999,4.570638235752789,trans-Golgi,yes
TM9SF3,4.450199999999999,5.166514749018965,Golgi,yes
AP1S1,-1.697300000000002,2.264235424716881,early_endosome,no
EIF3C,0.1844999999999999,0.3875819923782313,stress_granule,no
IFT22,0.9425893429406678,0.654315325295032,cytosol,no
PRKRIP1,3.4248107486598443,0.3513137368931245,unclassified,no
CCP110,-1.512900000000002,1.9380355018937696,centrosome,no
PRICKLE3,-1.1114248976725565,1.0130926693930014,unclassified,no
EBP,5.0732,2.7803614261127425,ER,yes
WDR45,-1.020419962411772,1.3040168240645231,cytosol,no
GPRC5B,-1.8004999999999995,0.2042769227033765,recycling_endosome,no
RBM3,-0.4516999999999989,0.0537872263599743,nucleus,no
EPN2,1.774199999999997,0.6767092231028383,plasma_membrane,no
PRPSAP2,-0.2428744078386877,0.2235217797866321,cytosol,no
BCL9,0.4558679989107688,0.1741035314678983,cytosol,no
SPECC1,-0.5245999999999995,0.1473994760246599,plasma_membrane,no
SEC61G,1.430699999999998,5.477308584758355,ER,yes
EXOC3,-2.223899999999997,0.6108000042493898,plasma_membrane,no
CEP72,-0.677471259540166,0.0635346644221379,centrosome,no
CCDC22,-0.9590999999999994,1.6414461365662802,early_endosome,no
IFT20,0.0190915595608167,0.2307548784864879,Golgi,no
OTUD5,-0.1374107789869931,0.288666970822222,cytosol,no
MAPK7,-0.1605618613144983,0.2264676205496054,cytosol,no
PRAF2,0.2514828805526576,0.3108176102737771,ER,no
TFE3,0.7335804668542671,0.4284861651046324,nucleus,no
HDAC6,0.0087792637357146,0.0704407492164813,unclassified,no
SDHA,5.359500000000001,5.748704457611101,mitochondrion,yes
FAM168B,-0.1122770685919114,0.4175597793454527,unclassified,no
APPBP2,-2.5502150329081985,3.0939976850460766,cytosol,no
INTS2,-2.5756978580691623,1.5460281668569056,nucleus,no
CLN8,2.741664872021304,2.374723783077809,ER,yes
TRAF4,0.1944473923303569,0.0143720982311535,plasma_membrane,no
FLOT2,0.3144999999999989,0.2349623388495574,lysosome,no
MYO18A,-0.8657210472353007,0.0351176569592965,actin_cytoskeleton,no
ALDOC,-1.1887000000000008,0.026221007317269,cytosol,no
RAB34 (A0A024QZ68),-0.7316000000000003,0.3707237461006794,plasma_membrane,no
TAOK1,0.5869,0.4181853076199646,plasma_membrane,no
MED13,-0.6881914766745858,0.9563730654040624,nucleus,no
EFHD2,1.999703991517617,0.4129899725202627,actin_cytoskeleton,no
TBX2,0.243075964341024,0.1472030216030149,nucleus,no
