Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.2369739865361246,0.2778205765921036,nucleus,no
RBM8A,-0.4969499999999982,0.0039116195314969,nucleus,no
TM9SF4,-0.092299999999998,0.0650508166358311,Golgi,no
PTEN,0.5348352678711379,0.2353524641296257,cytosol,no
TM9SF2,0.0165500000000022,0.0342902571019099,trans-Golgi,no
TM9SF3,-0.2502000000000031,0.0212678530493881,Golgi,no
AP1S1,-1.2544000000000004,0.2709426743260465,early_endosome,no
EIF3C,-0.1679500000000011,0.154953529800015,stress_granule,no
IFT22,0.4345646526635036,1.6649142181699144,cytosol,no
PRKRIP1,-0.3560467842648585,0.2850622942773135,unclassified,no
CCP110,1.3786999999999985,0.2937578892194414,centrosome,no
PRICKLE3,0.0020253957008691,0.1795165693883597,unclassified,no
EBP,0.5579999999999998,0.4392779708606181,ER,no
WDR45,0.5161173174257989,0.2130702150335419,cytosol,no
GPRC5B,-0.2376000000000004,0.0259162406105621,recycling_endosome,no
RBM3,-0.0355500000000006,0.0930610596633659,nucleus,no
EPN2,2.3203499999999977,0.334644044562244,plasma_membrane,no
PRPSAP2,0.4061721659085648,0.0068210768301319,cytosol,no
BCL9,-1.0136004003315229,1.1383526947850602,cytosol,no
SPECC1,-0.8528999999999982,0.1336064742306793,plasma_membrane,no
SEC61G,0.3244499999999988,0.3743004284641912,ER,no
EXOC3,3.06448879757458,0.2547551823768331,plasma_membrane,no
CEP72,5.591665793504319,1.314152441005338,centrosome,yes
CCDC22,0.3580499999999986,0.0865427413208717,early_endosome,no
IFT20,0.6221993702978708,0.0789772215291462,Golgi,no
OTUD5,-1.6852991253304737,2.5100007088710155,cytosol,no
MAPK7,0.3816860979654564,1.236219673711726,cytosol,no
PRAF2,3.3952389019199245,1.2553288665094997,ER,no
TFE3,0.2279047431099137,0.002247612324558,nucleus,no
HDAC6,-0.5935350393350518,0.4022936399589357,unclassified,no
SDHA,2.318399999999997,2.9986158176378943,mitochondrion,yes
FAM168B,0.201729266301804,0.0087827176720535,unclassified,no
APPBP2,-0.4769589155705525,0.5585294887377753,cytosol,no
INTS2,-0.2411210394220688,0.0291250036126525,nucleus,no
CLN8,-0.8145205315707997,0.3536290709804711,ER,no
TRAF4,0.1939114360321454,0.2202525548688565,plasma_membrane,no
FLOT2,0.3869499999999988,0.3097040020093805,lysosome,no
MYO18A,2.6912259262730984,1.3026527268194534,actin_cytoskeleton,yes
ALDOC,-0.1092961399085155,0.0311146003638853,cytosol,no
RAB34 (A0A024QZ68),-0.4549999999999983,0.1836002745038461,plasma_membrane,no
TAOK1,-0.0397500000000015,0.1466743098881473,plasma_membrane,no
MED13,-0.4299573168831863,0.513781443490014,nucleus,no
EFHD2,3.553048786524119,0.3672261874334312,actin_cytoskeleton,no
TBX2,0.4172231898741678,0.0790470094822846,nucleus,no
COG4,1.6478000000000002,0.3417003577263707,Golgi,no
SH2B1,-0.6458630919376098,0.4232688218889009,cytosol,no
TMEM51,2.586967175579339,0.2884650954024562,plasma_membrane,no
EPHA2,-0.2552500000000037,0.1280333393997485,plasma_membrane,no
BCKDK,4.564695277085157,2.29546968403152,mitochondrion,yes
SULT1A1,0.28464886454001,0.051067887365899,cytosol,no
PRR14,-0.0824649250890416,2.0934069221175062,actin_cytoskeleton,no
