Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.2593846414635159,0.6196178208799832,nucleus,no
RBM8A,-0.3271000000000015,0.2737164372042123,nucleus,no
TM9SF4,-3.3995029958709573,1.2531118183269037,Golgi,no
PTEN,-0.2797031822951261,0.1049069912861744,cytosol,no
TM9SF2,-1.5874000000000024,0.8912092504841016,trans-Golgi,no
TM9SF3,-6.919665553592992,3.633738779892598,Golgi,no
AP1S1,-3.429356010498392,5.052250105525303,early_endosome,no
EIF3C,-0.0693000000000019,0.1214762640933075,stress_granule,no
IFT22,-0.7020109541439226,0.1779892318816456,cytosol,no
PRKRIP1,-0.4542741137527599,0.4471998787272575,unclassified,no
CCP110,-1.3958999999999977,1.154356478258555,centrosome,no
PRICKLE3,0.8167854855846635,0.3386009581681318,unclassified,no
EBP,1.235400000000002,0.6078776942114409,ER,no
WDR45,-0.2030838966870014,0.5878175264786241,cytosol,no
GPRC5B,-6.76944641998951,6.216499846417603,recycling_endosome,no
RBM3,-1.1412999999999975,2.589061340329688,nucleus,no
EPN2,-5.34660364546135,2.62345610166853,plasma_membrane,no
PRPSAP2,-0.2927648631341846,0.2566074130798861,cytosol,no
BCL9,-0.6859615785117015,0.7056800050576661,cytosol,no
SPECC1,-3.006499999999999,2.146838988539612,plasma_membrane,no
SEC61G,0.8749000000000002,0.4430914406223573,ER,no
EXOC3,-1.4121550060675538,0.4494596987419316,plasma_membrane,no
CEP72,-1.5089125168745454,0.7439029550606572,centrosome,no
CCDC22,-5.441571808551938,1.6103468836278036,early_endosome,no
IFT20,-0.3909685001196017,0.8968138748210402,Golgi,no
OTUD5,0.1176141460303306,0.0178983958166261,cytosol,no
MAPK7,0.1804077885463222,0.0548792030132141,cytosol,no
PRAF2,3.204460330904922,0.1240484104666694,ER,no
TFE3,0.1619756514356822,0.3327545669805001,nucleus,no
HDAC6,0.0106656751958418,0.3617409535289286,unclassified,no
SDHA,-1.0851999999999968,0.8871109892803926,mitochondrion,no
FAM168B,-0.0398909486908785,0.0245628681335346,unclassified,no
APPBP2,0.2143557948125369,0.1249046767974936,cytosol,no
INTS2,0.3975469238419791,0.0528512000309491,nucleus,no
CLN8,-0.0207006392177575,0.1112664967701255,ER,no
TRAF4,0.3829777999711439,0.214245093013878,plasma_membrane,no
FLOT2,-3.564,6.422955149081553,lysosome,no
MYO18A,0.7271146085816795,0.1881312879527513,actin_cytoskeleton,no
ALDOC,-1.8587031033784385,0.6735269581520884,cytosol,no
RAB34 (A0A024QZ68),-4.334673088718944,12.741608031180462,plasma_membrane,no
TAOK1,-7.151126569674421,8.971467971039601,plasma_membrane,no
MED13,-0.5116148562461404,0.2566542758816155,nucleus,no
EFHD2,-0.3306057748214925,0.2631579609866462,actin_cytoskeleton,no
TBX2,-0.2246452998346519,0.1557439332239089,nucleus,no
COG4,-2.0017,0.4373641935600342,Golgi,no
SH2B1,-1.1566492272448483,0.2014602864400345,cytosol,no
TMEM51,-1.0031014206645563,0.5246429886690845,plasma_membrane,no
EPHA2,-5.11507996883531,3.393052959007558,plasma_membrane,no
BCKDK,-2.968695968402347,0.695977856332093,mitochondrion,no
SULT1A1,-0.6115817658594409,0.4403436024449134,cytosol,no
PRR14,0.3205236553647452,0.0543301577325963,actin_cytoskeleton,no
ZNF48,-0.6159703510098957,0.1597623450256926,nucleus,no
CD2BP2,-2.3880000000000017,1.3005879640374407,nucleus,no
ZNF768,1.1997,0.7943454542803455,nucleus,no
RPL18,-0.1366000000000014,0.0104986737281863,translation,no
SNRNP70,-0.7946000000000026,1.3286821755106633,nucleus,no
