Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,0.7441206418301682,0.2961561628713763,nucleus,no
RBM8A,-0.8831999999999987,0.7422786212409374,nucleus,no
TM9SF4,3.4756,1.7300763030607338,Golgi,yes
PTEN,0.7466580236948595,0.3723730155099971,cytosol,no
TM9SF2,2.1893,1.7336911284260588,trans-Golgi,yes
TM9SF3,4.760499999999997,2.2846127925067146,Golgi,yes
AP1S1,2.8448,1.796036029346875,early_endosome,yes
EIF3C,-0.6561000000000021,0.743328711541511,stress_granule,no
IFT22,-0.1692487975363938,0.3039040706685795,cytosol,no
PRKRIP1,0.144114805037951,0.0305225040371288,unclassified,no
CCP110,-2.9004999999999974,0.4608625461610422,centrosome,no
PRICKLE3,0.6255355341160254,0.2160486638734522,unclassified,no
EBP,2.6282,2.402041971760869,ER,yes
WDR45,-0.6811566067561223,0.2500752468851184,cytosol,no
GPRC5B,0.6624000000000017,0.3751256096779662,recycling_endosome,no
RBM3,-1.6877999999999993,1.5737868463348594,nucleus,no
EPN2,1.688600000000001,0.3160722658129954,plasma_membrane,no
PRPSAP2,0.108704143617679,0.0909355705169904,cytosol,no
BCL9,-0.4643210187683024,0.730586874947608,cytosol,no
SPECC1,0.8359000000000023,0.4020340930579318,plasma_membrane,no
SEC61G,0.7862999999999971,0.7130228575578516,ER,no
EXOC3,0.9921999999999968,0.1452127143269742,plasma_membrane,no
CEP72,-1.7548999999999992,0.4221447682127618,centrosome,no
CCDC22,2.303699999999999,0.9406328897223004,early_endosome,no
IFT20,1.462330008719352,0.5016168638472008,Golgi,no
OTUD5,-0.1911242866282627,0.2301140494773843,cytosol,no
MAPK7,0.426574485389402,0.5019234720157677,cytosol,no
PRAF2,-5.170529851652642,1.636215104287863,ER,no
TFE3,0.1313543738046974,0.0003204457065178,nucleus,no
HDAC6,-0.5823572173233273,0.264438523480367,unclassified,no
SDHA,0.7286999999999999,1.2154580961424866,mitochondrion,no
FAM168B,0.6836028227695365,0.6701846898160939,unclassified,no
APPBP2,-0.349465518848806,0.4885012821262859,cytosol,no
INTS2,-0.3040646212253115,0.1400454183020426,nucleus,no
CLN8,3.6020848163020034,6.657821373958717,ER,yes
TRAF4,-0.1288017903669533,0.1958517890692201,plasma_membrane,no
FLOT2,0.8470000000000013,0.2380328063858519,lysosome,no
MYO18A,0.9740000000000002,0.0630839127943863,actin_cytoskeleton,no
ALDOC,-0.4877108866089443,0.4669989071936091,cytosol,no
RAB34 (A0A024QZ68),0.2566000000000024,0.457889206752057,plasma_membrane,no
TAOK1,0.4692000000000007,0.097733211813036,plasma_membrane,no
MED13,-0.4175148595767766,0.337217053533836,nucleus,no
EFHD2,-1.915010279079553,0.8116161279256616,actin_cytoskeleton,no
TBX2,1.6758372617694626,0.5276644635067542,nucleus,no
COG4,5.585000000000001,2.474623374050362,Golgi,yes
SH2B1,1.2342413291404704,0.6803941012174728,cytosol,no
TMEM51,3.3900206977799137,1.4141596919510335,plasma_membrane,yes
EPHA2,-0.1659999999999968,0.1156142886850508,plasma_membrane,no
BCKDK,1.8308,1.757326590696725,mitochondrion,yes
SULT1A1,0.5865112838875177,0.3170987916982624,cytosol,no
PRR14,1.001988754440433,0.4422223192840459,actin_cytoskeleton,no
ZNF48,0.0557117852743509,0.061975835340023,nucleus,no
CD2BP2,-2.2765999999999984,3.007293448198639,nucleus,no
ZNF768,0.3422000000000018,0.0169575549223354,nucleus,no
RPL18,-0.458400000000001,0.8785287788295172,translation,no
SNRNP70,-2.123000000000001,2.734714406853611,nucleus,no
ZNF668,0.0922454670390671,0.1072032739972572,nucleus,no
TDRD3,3.424199999999999,0.0439499385646694,stress_granule,no
RUSF1,2.7076,2.679442887279174,ER,yes
PIH1D1,-1.7616000000000014,1.3178267562430832,unclassified,no
NUP62,0.9625999999999983,3.7581903057847663,ER,no
RRAS,0.6282999999999994,0.2926638226746916,plasma_membrane,no
AKT1S1,1.0605334268884938,0.1324781779396081,lysosome,no
SCAF1,-1.9314,0.1595534690938875,nucleolus,no
FCGRT,2.057599999999997,1.1950745208960545,recycling_endosome,no
VRK3,0.5382372473269399,0.6639980834953596,ER,no
NCOA4,1.0859101841236622,0.1282999098904389,cytosol,no
UBE2D1,0.1558029313699336,0.3849490640242333,cytosol,no
