Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.0014932799400391,0.0282677417184779,nucleus,no
RBM8A,-0.9848,1.143025712172818,nucleus,no
TM9SF4,4.380599999999998,2.749879305440829,Golgi,yes
PTEN,-0.6685633450177129,0.9849458565275956,cytosol,no
TM9SF2,7.22318107708524,2.0799611414434738,trans-Golgi,yes
TM9SF3,1.482400000000002,0.9385299886840848,Golgi,no
AP1S1,2.7958,1.82175433835322,early_endosome,yes
EIF3C,0.4581999999999979,0.0659480245370024,stress_granule,no
IFT22,0.4989775526404614,0.5362645551419791,cytosol,no
PRKRIP1,0.2029946093525865,0.076403988748929,unclassified,no
CCP110,-0.2880000000000002,0.1704261288870175,centrosome,no
PRICKLE3,0.196043234513354,0.0657801275414478,unclassified,no
EBP,2.1613000000000007,1.0164332691035076,ER,no
WDR45,-0.3243840509049107,0.0726779584992491,cytosol,no
GPRC5B,0.1040999999999989,0.083714569928919,recycling_endosome,no
RBM3,-0.8377999999999979,0.8288047986009632,nucleus,no
EPN2,2.176400000000001,1.1941305737111956,plasma_membrane,no
PRPSAP2,0.3507624708172798,0.113901831166654,cytosol,no
BCL9,-1.0066215899261586,1.1636328808137597,cytosol,no
SPECC1,0.9690000000000012,0.6631574629976307,plasma_membrane,no
SEC61G,-0.044599999999999,0.0565811739931475,ER,no
EXOC3,4.505330991756871,0.9409048229356204,plasma_membrane,no
CEP72,-2.084303450292122,0.281902110152357,centrosome,no
CCDC22,4.887357382996541,4.453464133972164,early_endosome,yes
IFT20,-0.0793011117211435,0.2682122157573612,Golgi,no
OTUD5,-0.6200060294348226,0.5082311881458832,cytosol,no
MAPK7,0.0587959990992672,0.0154105684338937,cytosol,no
PRAF2,0.7641445038755528,0.0538025495891247,ER,no
TFE3,0.4692328080940164,0.1624581108405943,nucleus,no
HDAC6,0.369832998844334,0.051306170497259,unclassified,no
SDHA,1.6693999999999996,2.825151067490072,mitochondrion,yes
FAM168B,0.663455784695369,0.5750295184997226,unclassified,no
APPBP2,0.7976094571374759,1.280441469224595,cytosol,no
INTS2,0.0968536458242326,0.3271244023854786,nucleus,no
CLN8,0.150177779610555,0.0220300447097815,ER,no
TRAF4,-0.0339181321703598,0.3354630587291824,plasma_membrane,no
FLOT2,0.6039999999999992,0.4627743605368382,lysosome,no
MYO18A,0.7454999999999998,1.0482031633712965,actin_cytoskeleton,no
ALDOC,0.7287377380276716,0.0730755565663049,cytosol,no
RAB34 (A0A024QZ68),0.1660000000000003,0.0639175041136896,plasma_membrane,no
TAOK1,0.1086999999999989,0.3710431475161041,plasma_membrane,no
MED13,0.2313171923998744,0.2926165109168019,nucleus,no
EFHD2,5.5215074845273655,2.165836416738234,actin_cytoskeleton,yes
TBX2,0.1553131597725503,0.0404216478360879,nucleus,no
COG4,6.111298420970442,4.892500834473057,Golgi,yes
SH2B1,0.7028568203998198,0.4860166223131841,cytosol,no
