Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,1.5444220087239555,0.782442985012571,nucleus,no
RBM8A,-0.2637999999999962,0.0512605326830776,nucleus,no
TM9SF4,4.537999999999997,4.576298132358208,Golgi,yes
PTEN,-0.0137144816174412,0.704396487863396,cytosol,no
TM9SF2,3.0352999999999994,3.0098926465265494,trans-Golgi,yes
TM9SF3,6.462049999999998,5.30882790942119,Golgi,yes
AP1S1,4.184950000000001,3.453915644857929,early_endosome,yes
EIF3C,-1.6437500000000007,1.7306145701774605,stress_granule,no
IFT22,0.2740076808450524,0.181440619260963,cytosol,no
PRKRIP1,-0.0167285250033941,0.0120677711815871,unclassified,no
CCP110,1.1262000000000008,0.1014592323762037,centrosome,no
PRICKLE3,-0.5663098326501235,0.575831909168731,unclassified,no
EBP,1.287249999999997,1.020115723148992,ER,no
WDR45,3.021670012315284,6.260790424011355,cytosol,yes
GPRC5B,0.1990000000000016,0.2824036322775842,recycling_endosome,no
RBM3,-2.1408999999999985,3.055467806053628,nucleus,no
EPN2,-1.3077000000000003,0.2193121669959037,plasma_membrane,no
PRPSAP2,0.3295520718088376,0.2166698129356492,cytosol,no
BCL9,0.123651320388781,0.2176878780070197,cytosol,no
SPECC1,0.2912999999999996,0.1980231072538105,plasma_membrane,no
SEC61G,0.9046500000000002,1.3918423435012437,ER,no
EXOC3,-0.8567500000000017,0.2456411548967288,plasma_membrane,no
CEP72,-1.8360999999999983,0.4980199767777855,centrosome,no
CCDC22,0.8741752714349147,0.1073086095964501,early_endosome,no
IFT20,4.1977609738798805,7.077215167685273,Golgi,yes
OTUD5,-0.3919666931229031,0.0403871097436182,cytosol,no
MAPK7,-0.4292895585388727,0.5241870662486295,cytosol,no
PRAF2,-5.020779483156439,0.4368937804261902,ER,no
TFE3,0.2469978103518926,0.0035888765837925,nucleus,no
HDAC6,-0.1067397199605331,0.1536727519285183,unclassified,no
SDHA,0.1833500000000008,0.0880031135780339,mitochondrion,no
FAM168B,-0.4123556915913013,0.207838189953231,unclassified,no
APPBP2,-0.5356994100330787,0.6552655257057539,cytosol,no
INTS2,-0.8706045336847801,0.7682088519778729,nucleus,no
CLN8,3.749420641242682,6.992427676402605,ER,yes
TRAF4,-0.1675313984334678,0.2888124138367793,plasma_membrane,no
FLOT2,0.2370499999999999,0.0772652597850663,lysosome,no
MYO18A,-1.8525922215321096,0.980999238569738,actin_cytoskeleton,no
