Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.3349270794446113,0.6025028750243562,nucleus,no
RBM8A,0.1333999999999982,0.2799732549738916,nucleus,no
TM9SF4,-2.6385000000000005,0.7770752796433991,Golgi,no
PTEN,-0.7595944338397231,0.906745928152615,cytosol,no
TM9SF2,-2.485099999999999,1.3469920409107536,trans-Golgi,no
TM9SF3,-2.636599999999998,0.5469372516430175,Golgi,no
AP1S1,-2.500899999999998,1.2257388397520546,early_endosome,no
EIF3C,-0.0913000000000003,0.1167902752212281,stress_granule,no
IFT22,0.2131673618372893,0.2702925638690748,cytosol,no
PRKRIP1,0.6454387167402729,0.525411825419781,unclassified,no
CCP110,4.0455000000000005,1.991872064608752,centrosome,yes
PRICKLE3,-0.1091198634474999,0.2933262422327776,unclassified,no
EBP,-2.0700000000000003,0.9595198880369268,ER,no
WDR45,-0.6596224474662833,0.5366595075899955,cytosol,no
GPRC5B,-1.540199999999999,0.4939953472286385,recycling_endosome,no
RBM3,1.3393000000000015,1.3593118567891325,nucleus,yes
EPN2,-3.4653000000000027,2.478632059372149,plasma_membrane,no
PRPSAP2,-0.7872862704001449,0.4961898283765324,cytosol,no
BCL9,0.8145952045411597,0.3581306922665957,cytosol,no
SPECC1,-3.247,4.0257740090293055,plasma_membrane,no
SEC61G,-0.1971999999999987,0.2147055355685232,ER,no
EXOC3,-4.397400000000001,3.3142229399955587,plasma_membrane,no
CEP72,2.4297000000000004,1.3331401280657462,centrosome,yes
CCDC22,-2.417312933370713,2.0622361336797863,early_endosome,no
IFT20,0.5257000000000005,0.0828256907131538,Golgi,no
OTUD5,-0.3472092143854617,0.3648720265375069,cytosol,no
MAPK7,0.5996019139519326,0.4266960860138813,cytosol,no
PRAF2,4.166270762174868,0.7905564127570659,ER,no
TFE3,-0.5264750969545773,0.3348155242368428,nucleus,no
HDAC6,-0.18300917736466,0.3505561332491408,unclassified,no
SDHA,-0.2802000000000006,0.0182544832376451,mitochondrion,no
FAM168B,-0.3135013875115291,0.2105380415509092,unclassified,no
APPBP2,0.4087531352379869,0.6121722894831129,cytosol,no
INTS2,3.004413330493829,5.295947181935861,nucleus,yes
CLN8,-0.7386441618875885,0.6081981327112482,ER,no
TRAF4,0.1412517953431553,0.1603133359862295,plasma_membrane,no
FLOT2,-2.258699999999997,3.3326322504423995,lysosome,no
MYO18A,-2.4343000000000004,0.689733997293291,actin_cytoskeleton,no
ALDOC,-0.5838250641162119,0.4235135129424743,cytosol,no
RAB34 (A0A024QZ68),-1.232099999999999,4.975018254483877,plasma_membrane,no
TAOK1,-1.811399999999999,1.0240984888818734,plasma_membrane,no
MED13,3.4647066380219584,1.3354190519317244,nucleus,yes
EFHD2,-1.064700000000002,0.697325318228211,actin_cytoskeleton,no
TBX2,0.7053689903582345,0.3020574385566354,nucleus,no
COG4,-5.178691604335366,1.377062217826363,Golgi,no
SH2B1,-1.2850639112131077,0.562280953170734,cytosol,no
TMEM51,-4.825442294663958,2.149091918471941,plasma_membrane,no
EPHA2,-2.3946000000000005,3.107276913349548,plasma_membrane,no
