Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.7159054553845294,0.3846171128140961,nucleus,no
RBM8A,-2.2645000000000017,3.8164479223260575,nucleus,no
TM9SF4,4.0015,0.8830553862109718,Golgi,no
PTEN,-0.3798808217017644,0.2083404333669165,cytosol,no
TM9SF2,6.729836611577088,1.4025352717215396,trans-Golgi,yes
TM9SF3,1.9861000000000004,0.7160328762346374,Golgi,no
AP1S1,0.6198999999999977,0.4650475791053127,early_endosome,no
EIF3C,0.1721000000000003,0.2151306889631257,stress_granule,no
IFT22,0.0238280664816556,0.0944952788915043,cytosol,no
PRKRIP1,-0.4231528303305047,0.4428646493786227,unclassified,no
CCP110,-2.327299999999997,0.2064799802366898,centrosome,no
PRICKLE3,-0.6339586767896854,0.7437006595788586,unclassified,no
EBP,2.355599999999999,1.2003199422917543,ER,no
WDR45,-0.753655426949404,0.8321475355759801,cytosol,no
GPRC5B,-4.5153,1.2561014789475071,recycling_endosome,no
RBM3,-1.3445999999999998,0.9586384110732896,nucleus,no
EPN2,-3.808305896708365,0.8799337484373405,plasma_membrane,no
PRPSAP2,0.2512302670273776,0.2440243874799496,cytosol,no
BCL9,0.7315891684421523,0.6323159903289066,cytosol,no
SPECC1,-1.6540999999999997,1.3906253062794012,plasma_membrane,no
SEC61G,3.1922999999999995,2.867882314506122,ER,yes
EXOC3,0.5618461722486288,0.1274824085255163,plasma_membrane,no
CEP72,0.3156999999999996,0.0633424102871548,centrosome,no
CCDC22,0.3582215418293444,0.319870907511899,early_endosome,no
IFT20,-0.6727850283208632,0.3048919432460748,Golgi,no
OTUD5,-0.7654907891137519,0.6090336066661542,cytosol,no
MAPK7,1.6931388078749663,1.3210043764998525,cytosol,yes
PRAF2,7.049613642745243,5.131092070359618,ER,yes
TFE3,0.3070199762331675,0.1616282408981516,nucleus,no
HDAC6,-0.920145286626397,0.8873528038164619,unclassified,no
SDHA,3.2867999999999995,6.779551435868052,mitochondrion,yes
FAM168B,-0.5954876212684717,0.1072271431607363,unclassified,no
APPBP2,-0.9032014691182724,0.7135451379516904,cytosol,no
INTS2,0.6129114252312711,0.1089776075695788,nucleus,no
CLN8,0.9045859862797876,1.5125026080398745,ER,no
TRAF4,-0.0789440143912543,0.1473290026999018,plasma_membrane,no
FLOT2,0.2628999999999983,0.4380305994842857,lysosome,no
