Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-1.1703134577840402,0.6036055136668553,nucleus,no
RBM8A,0.979849999999999,0.5888810441203819,nucleus,no
TM9SF4,1.688299999999998,1.9286336118346377,Golgi,yes
PTEN,0.2569195587713579,0.3591237276846433,cytosol,no
TM9SF2,1.1798000000000002,1.5380238840471905,trans-Golgi,yes
TM9SF3,2.741949999999999,1.6243709228311278,Golgi,yes
AP1S1,-1.4811000000000014,0.2941531719002245,early_endosome,no
EIF3C,1.205449999999999,2.6787789342913872,stress_granule,yes
IFT22,0.613413497123851,0.1703569898559782,cytosol,no
PRKRIP1,-0.4615405949825621,0.3809059635794359,unclassified,no
CCP110,1.5215999999999994,0.6375611074953801,centrosome,no
PRICKLE3,-0.7512349465506212,0.6286363712864002,unclassified,no
EBP,1.3763499999999986,0.2198043814380452,ER,no
WDR45,-1.402856325319604,1.1659688369768109,cytosol,no
GPRC5B,0.4793999999999982,0.5396486725782843,recycling_endosome,no
RBM3,1.4451499999999982,1.121262239284483,nucleus,no
EPN2,-0.1545999999999985,0.3057064179069255,plasma_membrane,no
PRPSAP2,-0.5135226142253408,0.685739268389335,cytosol,no
BCL9,1.0383797005153674,0.9377322712418236,cytosol,no
SPECC1,0.998350000000002,0.7424432561145914,plasma_membrane,no
SEC61G,-0.8603999999999985,0.9606816526240268,ER,no
EXOC3,0.0345882138276252,0.1004703244648838,plasma_membrane,no
CEP72,-1.0165235147979672,0.0271749780046764,centrosome,no
CCDC22,-4.742999999999999,0.698428794912501,early_endosome,no
IFT20,-0.9400354191259908,1.2062898529043442,Golgi,no
OTUD5,-0.3054572761388527,0.3075545398903514,cytosol,no
MAPK7,-0.8560010338579502,0.4549358655085463,cytosol,no
PRAF2,5.705830372150238,2.1174391105506665,ER,yes
TFE3,0.0910554876228673,0.149195501752263,nucleus,no
HDAC6,0.2514870864467191,0.0995416494545413,unclassified,no
SDHA,-0.5104499999999987,0.30443197501179,mitochondrion,no
FAM168B,0.1439939263546961,0.0112650655768633,unclassified,no
APPBP2,-0.3954227121012401,0.0614686623285363,cytosol,no
INTS2,-0.2391751895245448,0.0248788521241108,nucleus,no
CLN8,0.259958782004027,0.1680615888181834,ER,no
TRAF4,0.5461317460408708,0.3381815135360189,plasma_membrane,no
FLOT2,0.2606500000000018,0.1891577726055864,lysosome,no
MYO18A,-2.760987362928887,1.1356080730535776,actin_cytoskeleton,no
ALDOC,-0.7147561852462694,0.4050020129627177,cytosol,no
RAB34 (A0A024QZ68),0.3186,0.5382109554516556,plasma_membrane,no
TAOK1,2.258700000000001,1.115199338746995,plasma_membrane,no
MED13,0.4832765582030269,0.1610290972551862,nucleus,no
EFHD2,0.1052305743835404,0.3347787403372436,actin_cytoskeleton,no
TBX2,0.3205193524328678,0.2228399588617099,nucleus,no
COG4,3.281299999999998,0.8511820949416208,Golgi,no
SH2B1,0.1841494259106397,0.1833926605227496,cytosol,no
TMEM51,-0.5460666664250056,0.459262991323787,plasma_membrane,no
EPHA2,0.072499999999998,0.0734440240940545,plasma_membrane,no
BCKDK,-3.7255191676413615,0.8948186304831001,mitochondrion,no
SULT1A1,0.3272438100956378,0.1431193222895168,cytosol,no
PRR14,-0.4483353667308876,0.0904640500654758,actin_cytoskeleton,no
ZNF48,-0.2521717815228079,0.1752532989807529,nucleus,no
CD2BP2,-3.1615255331578,1.9702524653324287,nucleus,no
ZNF768,0.3199000000000005,0.362792884774585,nucleus,no
RPL18,0.6208500000000008,0.7708427432114106,translation,no
SNRNP70,0.625,0.9971157769677312,nucleus,no
ZNF668,0.8250732189111858,1.5080740841620943,nucleus,no
TDRD3,-1.545075427095039,0.1021095284323438,stress_granule,no
RUSF1,-2.8980306151883504,0.8763188485564243,ER,no
PIH1D1,0.2839603929312453,0.0410751746114584,unclassified,no
NUP62,0.4263000000000012,0.0303275574230391,ER,no
RRAS,0.7142499999999998,0.0921713972026465,plasma_membrane,no
AKT1S1,-2.279565023124132,0.2827947280451445,lysosome,no
SCAF1,-0.6975499999999997,0.1814691275595144,nucleolus,no
FCGRT,-2.1797000000000004,0.3650374176445305,recycling_endosome,no
VRK3,1.5943981919366657,0.2786150559383243,ER,no
NCOA4,-0.22350546798463,0.0785670733613551,cytosol,no
UBE2D1,-0.81168369613561,0.0006441751487409,cytosol,no
CCDC6,0.5107401781567162,0.0114440921480858,cytosol,no
PBLD,-0.9143245251172872,0.7233865227361069,cytosol,no
HNRNPH3,0.8505499999999984,0.8879353024012674,nucleus,no
FAM241B,-2.261207753190309,0.8578405702173993,ER,no
ASCC1,-2.931671411755961,0.329409950515432,translation,no
LRRC20,-0.4193688326688551,0.3175094320693201,cytosol,no
EIF4EBP2,-0.5250379869450619,0.1865334535914182,cytosol,no
PALD1,0.7899710815417862,0.0919423875828995,cytosol,no
SEC24C,6.962350000000001,4.618369796121225,Golgi,yes
DNAJC9,-2.9975000000000023,1.7919207388648002,nucleus,no
VCL,-1.2667020118072614,1.411491075325242,cytosol,no
ZWINT,-0.2363285551984475,0.4374531897157132,cytosol,no
ZMIZ1,0.2579870419657304,0.0852174609485444,unclassified,no
CISD1,0.629249999999999,0.2010783408310762,mitochondrion,no
HERC4,0.9919703178115712,0.7433040572057171,cytosol,no
MACROH2A2,-1.7898499999999975,0.4399477076242271,nucleus,no
SIRT1,-0.3441343507338175,0.0009276258257234,cytosol,no
PSAP,-0.2580500000000008,0.0463015741748629,lysosome,no
hCG_2002731,1.0761000000000038,1.2388126695401858,nucleus,no
AP3M1,-5.591449999999998,1.7861398348435908,lysosome,no
SLC38A9,-1.7590000000000003,0.4257383635100134,lysosome,no
MOCS2 (A0A024QZS1),0.6414181906500112,0.3566019230663093,cytosol,no
PLPP1,-2.270594431130008,0.2297258177063383,plasma_membrane,no
PPIF,-2.376350000000002,0.686801667938674,mitochondrion,no
VDAC2,-0.3787499999999966,0.3831392220227929,mitochondrion,no
EXOC2,-5.34775,1.0622771150745105,plasma_membrane,no
SERPINB9,0.4899945901580302,0.3323545677815618,cytosol,no
NQO2,-0.0526362318124284,0.2467923501775815,cytosol,no
RIPK1,-0.5267544296571991,0.2644637970566277,unclassified,no
EIF2AK1,-0.4377170492222255,0.066293977081341,cytosol,no
RREB1,-1.0761100939400734,1.2486511622273924,nucleus,no
TPMT,-0.392190994900595,0.1716051079857828,cytosol,no
NOL7,2.8541000000000025,1.9354016161198864,nucleolus,yes
RANBP9,-0.4993733911878131,0.0861722683443823,cytosol,no
NUP153,-2.537522946483268,0.5139780620957428,nucleus,no
TBC1D7,-0.2601861148064728,0.1511040434153553,14-3-3_scaffold,no
SERPINB6,-0.2670534661885178,0.4341022285436617,cytosol,no
BPHL,-1.6560500000000005,0.6511483993458447,mitochondrion,no
AIMP2,-1.6275000000000013,0.4560015585568047,ER,no
FAM50B,-0.0983998821678859,0.0678073140205346,unclassified,no
PRPF4B,0.3085000000000022,0.1732879961374943,nucleolus,no
GMNN,1.2818134457443977,0.5829824796204436,nucleus,no
TMEM14C,-0.6639367686354944,0.294756949941106,nucleus,no
FAM8A1,0.2376999999999967,0.4805953550333497,ER,no
SIRT5,-0.9566516126627498,0.8319788294631958,mitochondrion,no
ABT1,3.2910499999999985,1.975438752060148,nucleolus,yes
DAB2,0.1623500242408404,0.0812677853426959,plasma_membrane,no
OXCT1,-1.869178595892233,1.218552547608746,mitochondrion,no
RAD1,-0.3942054077607189,0.5495156695519287,cytosol,no
HMGN4,7.207472753904497,1.897194451505128,nucleus,yes
SLC1A3,1.0871999999999993,0.676248781480844,plasma_membrane,no
HMGCS1,-0.5676650259905998,0.2360637179572366,cytosol,no
VAMP7,-1.176400000000001,0.3856664550575828,early_endosome,no
SKP2,0.1381344152042665,0.1890305674545745,cytosol,no
NUP155,0.1387,0.1717196208273766,ER,no
UBE2J2,0.9861000000000004,0.6184224536132222,ER,no
SDF4,3.96585,5.617456450188825,Golgi,yes
ZNF131,-0.822181524352505,0.4599881203873869,nucleus,no
PSRC1,4.38751972956825,1.296509461883139,unclassified,no
AHCYL1,-0.7531379216869958,0.7522770089036674,cytosol,no
FAAP20,0.3231547956910674,0.3827469944603773,unclassified,no
DRAM2,-3.033697881123828,1.257522129536249,lysosome,no
NNT,-5.653899999999997,1.3560566083275216,mitochondrion,no
RHOC,-0.5060864164291381,0.2953257801663541,cytosol,no
CSDE1,0.3019500000000015,0.348499780794423,stress_granule,no
VANGL1,1.3421999999999985,0.6264428169605253,plasma_membrane,no
GPSM2,0.1113158067566111,0.3043562334861985,cytosol,no
CLCC1,1.1289000000000016,0.7586887656525694,ER,no
SLC16A1,2.768650000000001,1.4769216492561374,plasma_membrane,yes
MRPS12,-3.6910301415066575,0.5098799544258095,mitochondrion,no
PAF1,-1.207385069101349,0.152663140902173,nucleus,no
WDR77,-3.677900000000001,0.9092240810271952,cytosol,no
PAK4,0.7107000000000028,0.5257076652628316,actin_cytoskeleton,no
AP4B1,-0.5073699837475019,0.0100480463610325,early_endosome,no
DMAC2,-1.1691092602137374,0.9043552598064584,mitochondrion,no
RAB4B,-1.0129740362416584,0.8271284577530812,early_endosome,no
CCDC97,0.0091029451720068,0.5735399133409289,nucleolus,no
ERF,2.391250000000003,0.8501247583541194,nucleus,no
GSK3A,-0.0444352976636146,0.0173628460167335,plasma_membrane,no
PAFAH1B3,0.0155526022070091,0.1645229999537854,cytosol,no
TIMM50,-2.8693500000000007,1.025145264855257,mitochondrion,no
SAMD4B,-1.7288681994109147,0.7269443158571717,stress_granule,no
ITPKC,0.1099725233808648,0.0629218428911012,cytosol,no
TGFB1,0.5440072182687032,0.10504100763002,ER,no
SMG9,0.0616149590168575,0.5557847926999838,unclassified,no
PLD3,-1.8859999999999992,0.7426692020824486,lysosome,no
PPP1R13L,-0.1459414346423955,0.0800253011521171,cytosol,no
ERCC1,1.0016692480226157,0.5683147166151132,unclassified,no
PPP5C,-3.17455,0.3629043699904983,cytosol,no
SAE1,-0.1335855445049034,0.3545692395467627,cytosol,no
SYMPK,-1.3320499999999953,1.0175682556856298,nucleus,no
FKRP,0.1724840367143549,0.2704419573121969,Golgi,no
NAPA,-0.00835,0.0759795459858013,early_endosome,no
EHD2,-0.1331188505592493,0.1909978705168084,plasma_membrane,no
XRCC1,-0.2094000000000022,0.3181808851519747,nucleus,no
DHRS11,0.2314664961760932,0.2188066575276126,cytosol,no
SH3BP5L,0.4113402325419493,0.0164079882490386,14-3-3_scaffold,no
KLC3,0.960089204985792,0.1212071395035795,14-3-3_scaffold,no
VASP,1.3096499999999978,0.1936250658837555,actin_cytoskeleton,no
SLC38A2,-0.9438499999999976,0.1807550238517518,plasma_membrane,no
SYNRG,-0.5170396108686184,0.7210162671824826,early_endosome,no
ZNHIT3,-4.427862823137019,0.3005171866827854,nucleus,no
TADA2A,-0.3937008013452363,0.3026212270725826,nucleus,no
PFKM,0.5188055522046362,0.287387090814944,cytosol,no
DDX23,1.2166999999999994,0.4376295729711412,nucleus,no
TMBIM6,-0.4174331825952464,0.3617811372137274,ER,no
PEX26,-0.8640788481786217,0.3877018505204297,peroxisome,no
SPATS2,1.7966499999999996,0.9521886467075412,nucleolus,no
SMARCD1,-0.4105845866057223,0.613733429866076,nucleus,no
CNTN1,0.6899999999999977,0.5303869621785219,plasma_membrane,no
ZCRB1,0.2130061982790572,0.2745752198230349,stress_granule,no
TMT1A,-3.639908002510776,0.7486651131060613,ER,no
TFCP2,-2.77355,0.7355487714789747,ER,no
PRKAG1,-1.8635767668966807,1.0253763542913052,cytosol,no
ATG101,0.1463007483298923,0.0169704668217412,cytosol,no
RACGAP1,0.4265499999999989,0.3094939697117345,14-3-3_scaffold,no
CTSV,-0.2086499999999986,0.2021560977958646,lysosome,no
CORO2A,0.5936509173000424,0.0202344091401975,actin_cytoskeleton,no
SLC44A1,0.9031753412311936,0.1779017260465119,plasma_membrane,no
PALM2AKAP2,2.7201500000000003,0.4457377923397284,plasma_membrane,no
GNG10,-5.877937287321068,0.4364206755204647,plasma_membrane,no
SMC2,0.7186500000000002,0.663738118448346,unclassified,no
DNAJC25-GNG10,-0.8560000000000016,0.0631188343871499,plasma_membrane,no
PTBP3,0.9050999999999974,0.4750104836478341,nucleus,no
TRIM14,-2.7778182398159323,0.5571432173637235,early_endosome,no
TEX10,-3.49986938127708,1.708530205774229,nucleus,no
ARAF,0.901007429815408,0.560708788783789,14-3-3_scaffold,no
NCBP1,-3.2989197081345303,1.9449640350401545,nucleus,no
CDK16,-4.008335674458476,1.7055716243413963,recycling_endosome,no
ALG2,-3.290239862095792,1.6728313652305984,ER,no
JADE3,0.7566013335702699,0.0938198723033815,nucleus,no
UBA1,0.7752000000000017,0.7207613155634219,cytosol,no
UBE2L3,-0.0763646148583809,0.0551524865144105,cytosol,no
ELK1,0.8311821465308427,0.8177301440870287,nucleus,no
PPIL2,1.9195499999999968,2.0500302903985097,unclassified,yes
TOP3B,-0.0712393298490781,0.0343853563723579,stress_granule,no
CCDC117,0.5057146253507057,0.0409105771039463,cytosol,no
THOC5,-2.9117902042365493,0.5886717278417692,nucleus,no
MTFP1,-0.0580204804841955,0.1768659105790783,nucleus,no
CABIN1,0.7158283409103312,0.2328441945736036,nucleus,no
PATZ1,1.6568000000000005,0.2463574528590743,nucleolus,no
ASCC2,-2.485196505698074,1.253394371038203,translation,no
FOXRED2,-1.888349999999999,0.5367528133155687,ER,no
LIMK2 (A0A024R1H6),-0.3028480847636956,0.0829668512238336,unclassified,no
