Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.4364460683112448,0.0595066717412181,nucleus,no
RBM8A,-0.6316999999999986,0.1990189437744531,nucleus,no
TM9SF4,4.303349999999998,0.9870446140725756,Golgi,no
PTEN,-0.1646306023742738,0.0460485703710066,cytosol,no
TM9SF2,5.7471737206839,1.0096328559497696,trans-Golgi,no
TM9SF3,1.2942500000000017,0.4646830632811108,Golgi,no
AP1S1,-0.3164000000000015,0.252831167391,early_endosome,no
EIF3C,0.5843500000000006,0.4682517279750732,stress_granule,no
IFT22,-0.1246786205424967,0.0382960829522271,cytosol,no
PRKRIP1,1.2653279761785932,0.3523504405404816,unclassified,no
CCP110,-2.4374999999999964,0.279494280827795,centrosome,no
PRICKLE3,-0.0367463854328278,0.1089263692138844,unclassified,no
EBP,2.8128,1.3531045732423657,ER,yes
WDR45,-0.8578772797805456,0.8403279165171286,cytosol,no
GPRC5B,-5.9757500000000014,2.656861931425728,recycling_endosome,no
RBM3,-0.007950000000001,0.0346772354693086,nucleus,no
EPN2,-4.170741222044232,1.8675036725384733,plasma_membrane,no
PRPSAP2,1.080379406996073,0.4423748642079171,cytosol,no
BCL9,-0.1911526038299698,0.2188061671929624,cytosol,no
SPECC1,-5.047150000000002,4.842748839163485,plasma_membrane,no
SEC61G,2.4024500000000018,1.689997407967564,ER,yes
EXOC3,-4.296568363583942,1.5970495851201545,plasma_membrane,no
CEP72,-2.701502637606751,1.1933457635614602,centrosome,no
CCDC22,-0.3109214976055234,0.191159760827911,early_endosome,no
IFT20,-0.9031238216680108,0.38995068778191,Golgi,no
OTUD5,-0.1493001707410037,0.0109581205714657,cytosol,no
MAPK7,-0.4838441195632939,0.4338315495984103,cytosol,no
PRAF2,6.276232185702508,1.9991908850718547,ER,yes
TFE3,0.0574414855656009,0.0115383282026363,nucleus,no
HDAC6,0.0466922177237663,0.3959841128778904,unclassified,no
SDHA,3.116949999999999,7.336746428258431,mitochondrion,yes
FAM168B,-0.200071045648027,0.2785010989385978,unclassified,no
APPBP2,0.5038450964845218,0.1857544474495467,cytosol,no
INTS2,-0.4393628861636927,0.8080147450969758,nucleus,no
CLN8,-0.6132729229117047,0.4038474803553852,ER,no
TRAF4,0.300830836338843,0.0046509203087265,plasma_membrane,no
FLOT2,0.0285500000000027,0.1445413597993863,lysosome,no
MYO18A,-0.8316553682624033,1.113908997103558,actin_cytoskeleton,no
ALDOC,-0.6231338344275308,0.7416430250785285,cytosol,no
RAB34 (A0A024QZ68),0.8824000000000005,0.5518410760460782,plasma_membrane,no
TAOK1,5.409225175186961,1.466410628082682,plasma_membrane,yes
MED13,-1.3658965660468496,1.917441769237548,nucleus,no
EFHD2,-0.6321073176365104,0.6900449514852515,actin_cytoskeleton,no
TBX2,-0.9018257834919616,0.4165332942768555,nucleus,no
COG4,4.542126500185827,0.6340577318387763,Golgi,no
SH2B1,0.2082779392816114,0.0602071518617377,cytosol,no
TMEM51,-0.0767802760526308,0.1143638104074795,plasma_membrane,no
EPHA2,-2.892396017624531,1.0175673929278106,plasma_membrane,no
BCKDK,5.342613300127699,0.5289182124997441,mitochondrion,no
SULT1A1,-0.2702866910393382,0.1161269016481159,cytosol,no
PRR14,-0.0036950639947832,0.2717329437376826,actin_cytoskeleton,no
ZNF48,1.4887191972074945,0.9852704988940244,nucleus,no
CD2BP2,0.6183000000000014,0.4002334140541749,nucleus,no
ZNF768,0.5665999999999976,0.3965366916991106,nucleus,no
RPL18,0.4603500000000018,0.8076703544315135,translation,no
SNRNP70,0.2411999999999992,0.1879145557681657,nucleus,no
ZNF668,0.2756090971757849,0.1536856728310264,nucleus,no
TDRD3,-0.4698116838850765,0.2040180651713552,stress_granule,no
RUSF1,6.69887596337394,6.00998805952625,ER,yes
PIH1D1,-0.9376756298198003,0.4730575774154232,unclassified,no
NUP62,2.39095,1.6153681012679677,ER,yes
RRAS,0.3044407539501605,0.1452236853030206,plasma_membrane,no
AKT1S1,0.6914416431503696,0.1931612176606575,lysosome,no
SCAF1,-1.213549999999998,0.2990563627914517,nucleolus,no
FCGRT,-1.161781927981977,0.4942119963549143,recycling_endosome,no
VRK3,1.7181094893084143,3.322045328332104,ER,yes
NCOA4,1.6933920699659488,0.9662466432799784,cytosol,no
UBE2D1,0.0510401246662901,0.0248438096904476,cytosol,no
CCDC6,-0.6331905635071351,0.2968846965898584,cytosol,no
PBLD,0.5274440984904203,0.3385907432813752,cytosol,no
HNRNPH3,1.136250000000004,0.5974610744546933,nucleus,no
FAM241B,3.610636612144922,2.715795540316034,ER,yes
ASCC1,2.948567900440338,5.682699722739471,translation,yes
LRRC20,0.0496339944290937,0.057160475212038,cytosol,no
EIF4EBP2,1.0492168045422972,0.3964339954774349,cytosol,no
PALD1,0.2556809256422916,0.0265929834782115,cytosol,no
SEC24C,4.84807487379538,0.921642906879426,Golgi,no
DNAJC9,1.905100000000001,1.5000647098468056,nucleus,yes
VCL,0.2611129660097617,0.6453688878094239,cytosol,no
ZWINT,0.2886787471675163,4.487508845605125e-05,cytosol,no
ZMIZ1,-0.44032498192378,0.9138552205936828,unclassified,no
CISD1,2.607600000000001,1.4904341796075058,mitochondrion,yes
HERC4,0.1064324406164409,0.8417359250519085,cytosol,no
MACROH2A2,4.082799999999999,1.4599427406139365,nucleus,yes
SIRT1,-0.2716705291220904,0.128445752313947,cytosol,no
PSAP,3.323039820737968,1.5264937304888198,lysosome,yes
hCG_2002731,-0.90935,0.4092705269417528,nucleus,no
AP3M1,0.4944034006041811,0.065350523445111,lysosome,no
SLC38A9,-0.0495499999999999,0.0539368039493517,lysosome,no
MOCS2 (A0A024QZS1),0.5361837324299827,0.4742206735513802,cytosol,no
PLPP1,-0.7813456998438788,0.5496700161317554,plasma_membrane,no
PPIF,2.1546999999999983,1.7003536552378842,mitochondrion,yes
VDAC2,2.396300000000004,1.7805129526823211,mitochondrion,yes
EXOC2,1.2256999999999962,0.1257742464337533,plasma_membrane,no
SERPINB9,-0.4911966024014127,0.7064705857647463,cytosol,no
NQO2,-0.4080023706740796,0.6925075927427802,cytosol,no
RIPK1,0.320384858811348,0.1080194013686303,unclassified,no
EIF2AK1,-0.2599521053037215,0.1712968718171214,cytosol,no
RREB1,-0.6989869772595405,0.4764995817425611,nucleus,no
TPMT,-0.1956244137569172,0.2471111658013113,cytosol,no
NOL7,-0.3415500000000016,0.356662402933029,nucleolus,no
RANBP9,-0.6222458613061441,0.4742314963824277,cytosol,no
NUP153,8.019346125723242,4.055119694340998,nucleus,yes
TBC1D7,-0.5466350846107062,0.2632643188190694,14-3-3_scaffold,no
SERPINB6,0.3092362475577062,0.0984541664945997,cytosol,no
BPHL,7.620545320386412,4.9290119927978,mitochondrion,yes
AIMP2,6.156032299778943,4.131696311914226,ER,yes
FAM50B,-0.0033993762684474,0.2882596469571549,unclassified,no
PRPF4B,-0.1525500000000015,0.1871147310419673,nucleolus,no
GMNN,-0.7739467692986643,0.3816810778798652,nucleus,no
TMEM14C,-0.7154518423730174,0.065759957806868,nucleus,no
FAM8A1,2.810450000000003,1.6347893583536202,ER,yes
SIRT5,1.2237191613174758,1.2408442532045496,mitochondrion,no
ABT1,0.6684936953061111,0.1116376795274412,nucleolus,no
DAB2,-1.4016945535857914,1.5558342134592302,plasma_membrane,no
OXCT1,6.125851659543677,10.356118089102422,mitochondrion,yes
RAD1,0.1837363939535023,0.2987391182597621,cytosol,no
HMGN4,-11.297116356964093,4.145949476624846,nucleus,no
SLC1A3,-4.023200000000003,1.7121439630092663,plasma_membrane,no
HMGCS1,2.153398977198364,1.1589560951223623,cytosol,no
VAMP7,-0.9737000000000008,0.0859962455610415,early_endosome,no
SKP2,0.7640259444524204,0.4982803102685471,cytosol,no
NUP155,3.8947,3.387190818369625,ER,yes
UBE2J2,4.523414715972194,2.0283403196549177,ER,yes
SDF4,3.0276500000000013,0.731391011559371,Golgi,no
ZNF131,0.1016336412056304,0.1118138939063067,nucleus,no
PSRC1,-4.783797989214094,0.6951926871030475,unclassified,no
AHCYL1,2.769876574646037,2.870211050022048,cytosol,yes
FAAP20,-1.2926403845699674,1.1611859607915571,unclassified,no
DRAM2,1.7695211759932832,1.5299652497934335,lysosome,yes
NNT,8.30218582719053,3.22864983852657,mitochondrion,yes
RHOC,-0.230787544072232,0.2174764669165764,cytosol,no
CSDE1,1.3623499999999993,0.977376945628423,stress_granule,no
VANGL1,-2.7917999999999985,1.0695011071887537,plasma_membrane,no
GPSM2,0.4013506481835769,0.1350548237657197,cytosol,no
CLCC1,2.404899999999998,1.9123718734603696,ER,yes
SLC16A1,-4.547474207020311,0.4043444029784717,plasma_membrane,no
MRPS12,0.8074000000000012,0.6474709023949777,mitochondrion,no
PAF1,-2.3855499999999985,0.819398140966893,nucleus,no
WDR77,2.7373561788732594,0.1798953053256934,cytosol,no
PAK4,-5.6001865045479775,2.109507648650538,actin_cytoskeleton,no
AP4B1,0.3463082988913548,0.0252797716001346,early_endosome,no
DMAC2,2.058984365325557,1.3234654210869314,mitochondrion,yes
RAB4B,-0.7422601593147284,1.0180690905677734,early_endosome,no
CCDC97,-3.1319435099833868,1.1790993653827329,nucleolus,no
ERF,0.4552630476702539,0.299490672848643,nucleus,no
GSK3A,0.4519296027535873,0.5129278779804668,plasma_membrane,no
PAFAH1B3,-0.1529780949737258,0.1418346198788115,cytosol,no
TIMM50,3.1903000000000006,2.6179635145729048,mitochondrion,yes
SAMD4B,0.6242541891701556,0.0959537404087627,stress_granule,no
ITPKC,-0.2972212711516739,0.0907434853621796,cytosol,no
TGFB1,0.0001589835433293,0.2931395314595572,ER,no
SMG9,-0.0607671868546653,0.0762905967714985,unclassified,no
PLD3,3.028969790015463,0.6172262559546661,lysosome,no
PPP1R13L,1.5796468944780493,1.484478992418909,cytosol,yes
ERCC1,-0.7292508645644986,0.0829389520584382,unclassified,no
PPP5C,-0.0022363403037424,0.2855406217786031,cytosol,no
SAE1,0.4775916347713611,0.4260381149094215,cytosol,no
SYMPK,1.2053999999999974,0.659086676295719,nucleus,no
FKRP,0.2346534392605761,0.1959843705993789,Golgi,no
NAPA,1.011800000000001,0.5462455474371767,early_endosome,no
EHD2,0.1212855653286162,0.151164927619143,plasma_membrane,no
XRCC1,1.7493999999999978,0.8447526642242507,nucleus,no
DHRS11,-0.3855354146548748,0.1295094670399121,cytosol,no
SH3BP5L,-1.3091167359109903,0.7108696151389787,14-3-3_scaffold,no
KLC3,-0.0888339559866864,0.1300897169761465,14-3-3_scaffold,no
VASP,-0.3625108282596727,0.5076676874980836,actin_cytoskeleton,no
SLC38A2,2.09985,1.2120946056060171,plasma_membrane,no
SYNRG,-0.2216071546363416,0.1041950260996271,early_endosome,no
