Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.9815206418301692,0.5253881656406973,nucleus,no
RBM8A,-1.1827000000000003,1.0039781497312343,nucleus,no
TM9SF4,-2.466100000000001,1.030538102405585,Golgi,no
PTEN,0.1536009922677514,0.3071789772534035,cytosol,no
TM9SF2,-1.6295000000000002,0.6804035318026052,trans-Golgi,no
TM9SF3,-4.427699999999998,2.0625664783458766,Golgi,no
AP1S1,-1.270500000000002,1.6705918606718986,early_endosome,no
EIF3C,1.1349000000000018,0.4391793521561318,stress_granule,no
IFT22,-0.0714032039117285,0.3981346140669044,cytosol,no
PRKRIP1,0.4704224435428195,0.1627777121718613,unclassified,no
CCP110,-3.3617289491048936,1.897127022598685,centrosome,no
PRICKLE3,3.1342447841171115,4.291034433141363,unclassified,yes
EBP,0.9345999999999997,0.4630539075961937,ER,no
WDR45,-0.9935803876340435,1.0092521981858509,cytosol,no
GPRC5B,0.0321999999999995,0.2700450593210842,recycling_endosome,no
RBM3,-0.9536000000000016,0.377373652803921,nucleus,no
EPN2,3.670300000000001,3.2847624115956933,plasma_membrane,yes
PRPSAP2,4.518727796099988,7.879657211930807,cytosol,yes
BCL9,0.2602845361105323,0.1583785132583207,cytosol,no
SPECC1,2.833199999999998,3.1660562516763298,plasma_membrane,yes
SEC61G,-1.4617000000000004,3.407686934524353,ER,no
EXOC3,5.139199999999999,5.119187488592288,plasma_membrane,yes
CEP72,-1.987099999999998,0.597626388651356,centrosome,no
CCDC22,0.4861000000000004,0.1443242660658122,early_endosome,no
IFT20,-0.5594000000000001,0.4302609653035905,Golgi,no
OTUD5,0.3513578169008902,0.5546518066222785,cytosol,no
MAPK7,0.4828238521242554,0.7313397113358567,cytosol,no
PRAF2,-3.781100000000002,0.7418366938477323,ER,no
TFE3,1.1969352988865791,1.212838464448766,nucleus,no
HDAC6,0.1613847320579893,0.3351402060538163,unclassified,no
SDHA,-2.1930000000000014,4.102769743209787,mitochondrion,no
FAM168B,0.0128786960153099,0.2663807652943682,unclassified,no
APPBP2,0.2157779300093452,0.2645722790808408,cytosol,no
INTS2,-0.6190245914192403,0.2978409547674021,nucleus,no
CLN8,0.253067117278551,0.0516655221797975,ER,no
TRAF4,4.565459537180118,10.18194585824593,plasma_membrane,yes
FLOT2,1.8844999999999992,1.651054242078434,lysosome,yes
MYO18A,7.523900000000001,6.028013685592426,actin_cytoskeleton,yes
ALDOC,4.792145350455272,9.276931464314249,cytosol,yes
RAB34 (A0A024QZ68),0.4180000000000028,0.7556653226437626,plasma_membrane,no
TAOK1,4.7027,6.329092841836327,plasma_membrane,yes
MED13,1.1467197058872711,0.553885127479018,nucleus,no
EFHD2,4.904131336488682,3.87219565795076,actin_cytoskeleton,yes
TBX2,0.2743823583571299,0.05487876540481,nucleus,no
COG4,-3.6636671559456886,1.0674643848807823,Golgi,no
SH2B1,0.8862825870765114,0.5099551241037927,cytosol,no
TMEM51,3.641743011265096,2.100710840068736,plasma_membrane,yes
EPHA2,2.9685000000000024,3.2792249906229274,plasma_membrane,yes
BCKDK,-3.666499999999999,3.566712075209144,mitochondrion,no
SULT1A1,-0.1179090051167328,0.1419940215333812,cytosol,no
PRR14,-0.2489282023398829,0.0212494933843089,actin_cytoskeleton,no
ZNF48,-0.5122984740633676,0.3502043760294006,nucleus,no
CD2BP2,0.9045000000000024,0.3095549995895392,nucleus,no
ZNF768,-4.159799999999997,2.1380043455961246,nucleus,no
RPL18,-0.1094000000000008,0.3268906495609979,translation,no
SNRNP70,-1.0159999999999982,0.5019054270906427,nucleus,no
ZNF668,0.0331809362080868,0.0452162188476244,nucleus,no
TDRD3,0.6637999999999984,0.2290858710142193,stress_granule,no
RUSF1,-1.5589000000000013,0.4434753455179401,ER,no
PIH1D1,1.632997291642834,0.6893837713061367,unclassified,no
NUP62,-0.7352999999999987,1.5291682828506208,ER,no
RRAS,3.0869,2.369625599497157,plasma_membrane,yes
AKT1S1,0.6579878179072232,0.3758482686673775,lysosome,no
SCAF1,-3.333099999999998,0.8799092470246924,nucleolus,no
FCGRT,-0.3874999999999993,0.6111844584959281,recycling_endosome,no
VRK3,-1.37231912835216,1.1746772145209392,ER,no
NCOA4,-1.021505486161658,0.7110067665009231,cytosol,no
UBE2D1,-1.144200080642534,2.4781220419160386,cytosol,no
CCDC6,2.5174285471565376,5.389415466248112,cytosol,yes
PBLD,-0.1289730496048591,0.0803574961963721,cytosol,no
HNRNPH3,-1.6936999999999998,3.4355098837073523,nucleus,no
FAM241B,-0.5074066932999521,0.2114589490892063,ER,no
ASCC1,3.5060991203721272,2.1572408851427443,translation,yes
LRRC20,0.1463120644486188,0.1719700955647587,cytosol,no
EIF4EBP2,-0.47860794304761,0.2147491657941312,cytosol,no
PALD1,5.580130099301719,9.916850767294251,cytosol,yes
