Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-0.4283463494847623,0.1151377608228965,nucleus,no
RBM8A,-2.2484499999999983,4.45447316661742,nucleus,no
TM9SF4,-2.6095843700093653,1.1737834311727604,Golgi,no
PTEN,-1.2845745183577435,1.3397058759284222,cytosol,no
TM9SF2,-4.417648500304271,0.7223618147690534,trans-Golgi,no
TM9SF3,-2.9359,1.1458614965019538,Golgi,no
AP1S1,-1.8134000000000008,1.5148575984603605,early_endosome,no
EIF3C,-0.1802500000000009,0.0816228862636321,stress_granule,no
IFT22,0.5786822810580361,0.3358754311790959,cytosol,no
PRKRIP1,-0.5658749144706192,0.3117100525315681,unclassified,no
CCP110,-6.185056684674414,1.8332084482886035,centrosome,no
PRICKLE3,0.0816009031764863,0.1039411546291536,unclassified,no
EBP,0.6180999999999983,0.359213383959835,ER,no
WDR45,-0.7005338457902113,1.5049903704108114,cytosol,no
GPRC5B,-5.202950000000001,2.4996970279612127,recycling_endosome,no
RBM3,-0.4178999999999995,0.2040678470779223,nucleus,no
EPN2,-3.2920049173176835,1.5517651925175906,plasma_membrane,no
PRPSAP2,-1.114602497151342,0.501067620500411,cytosol,no
BCL9,-1.30171129570045,1.0462244603251714,cytosol,no
SPECC1,-8.839150000000004,7.778402057500271,plasma_membrane,no
SEC61G,1.9239,1.3895068707397762,ER,yes
EXOC3,-0.1282796639061061,0.58139597717397,plasma_membrane,no
CEP72,-1.3225654814257908,0.729020249116657,centrosome,no
CCDC22,-1.0958243720320873,0.3647133890885194,early_endosome,no
IFT20,0.6020476106068884,0.2613823315022408,Golgi,no
OTUD5,-0.1456582808026532,0.0199900257095493,cytosol,no
MAPK7,0.972935604493454,0.6844158797099605,cytosol,no
PRAF2,2.9924368274372,0.0898562430917141,ER,no
TFE3,-0.0635584210064834,0.3709293437445606,nucleus,no
HDAC6,-0.5440232815496273,0.6739279078676719,unclassified,no
SDHA,4.6440499999999965,10.230760797734783,mitochondrion,yes
FAM168B,0.1055983527826249,0.4161115075666894,unclassified,no
APPBP2,0.2330585412744383,0.0608952457637468,cytosol,no
INTS2,0.0012017428983384,0.2132347919945572,nucleus,no
CLN8,0.232140838008739,0.0106098249027372,ER,no
TRAF4,0.90299249737474,0.4053865840676019,plasma_membrane,no
FLOT2,-3.787749999999999,0.7002366932318868,lysosome,no
MYO18A,-2.610980273751625,1.0858921515486226,actin_cytoskeleton,no
ALDOC,0.8229291114670367,0.378597009781558,cytosol,no
RAB34 (A0A024QZ68),2.16415,2.111391169528168,plasma_membrane,yes
TAOK1,-1.9879,0.8389400619498288,plasma_membrane,no
MED13,-0.024880415056586,0.0771364988918995,nucleus,no
EFHD2,-2.3229612753646407,1.037085161326194,actin_cytoskeleton,no
TBX2,0.2591080749478784,0.0153205513922004,nucleus,no
COG4,-2.35356611342446,0.9289678997105434,Golgi,no
SH2B1,0.7534963709166007,0.5771179396896752,cytosol,no
TMEM51,0.3952180530815035,0.2958890134212238,plasma_membrane,no
EPHA2,-4.21065221748179,3.2649571487284,plasma_membrane,no
BCKDK,9.204361125216082,1.608267801560096,mitochondrion,yes
SULT1A1,-0.5878495568211015,0.216797377385336,cytosol,no
PRR14,0.6802816478517748,0.3677352287370847,actin_cytoskeleton,no
ZNF48,-0.2617604133948923,0.3177955780467408,nucleus,no
CD2BP2,-1.607712897185273,0.6129996256193925,nucleus,no
ZNF768,-2.3974999999999973,0.7403425001793907,nucleus,no
RPL18,0.9150999999999988,0.9554987232755928,translation,no
SNRNP70,-0.4099000000000004,1.3033398356445187,nucleus,no
ZNF668,0.7684046762541534,0.1092370247845522,nucleus,no
TDRD3,-0.6607362960877268,0.6791073816387122,stress_granule,no
RUSF1,2.5028706284096955,0.3516268180429514,ER,no
PIH1D1,0.3495174122739257,0.1576012515558347,unclassified,no
NUP62,-0.091700000000003,0.1906642977152317,ER,no
RRAS,-2.595494683234918,1.3294063372967375,plasma_membrane,no
AKT1S1,0.0589890198011175,0.3701463381598198,lysosome,no
SCAF1,-1.0425499999999983,1.554048013308572,nucleolus,no
FCGRT,-1.1750000000000007,0.9922232513789936,recycling_endosome,no
VRK3,0.5260121814176237,0.7684356696763474,ER,no
NCOA4,-0.4751161210520429,0.1956150592649369,cytosol,no
UBE2D1,0.0044969006558268,0.3253038662668382,cytosol,no
CCDC6,-0.3099837028668339,0.3457939940448954,cytosol,no
PBLD,0.2586067311423647,0.2473288488152125,cytosol,no
HNRNPH3,-0.4925999999999995,0.0608620120760411,nucleus,no
FAM241B,-2.3708129122783674,1.2572963035289004,ER,no
ASCC1,-0.1623078641143109,0.2033831122953971,translation,no
LRRC20,-0.0631053471299019,0.0677063928481664,cytosol,no
EIF4EBP2,0.8178220977868236,0.0395518528423372,cytosol,no
PALD1,-0.7478141627792425,1.6472084519502843,cytosol,no
SEC24C,-1.1676550129362369,0.3703182412787676,Golgi,no
DNAJC9,0.3456499999999991,0.4838825665738833,nucleus,no
VCL,0.3138764894381367,0.4161423952466194,cytosol,no
ZWINT,0.7007121818996751,0.028058389011396,cytosol,no
ZMIZ1,-0.808282588715393,0.6911001006033024,unclassified,no
CISD1,5.058699999999998,3.256316032708945,mitochondrion,yes
HERC4,0.2607193868578434,0.1188942849738888,cytosol,no
MACROH2A2,-0.2444500000000005,0.0370100470339373,nucleus,no
SIRT1,-0.1771967992455287,0.2733146808013246,cytosol,no
PSAP,-0.808949295244453,0.6711042535656935,lysosome,no
hCG_2002731,-3.1191499999999976,4.523677124492696,nucleus,no
AP3M1,0.2320765259001618,0.1110480438407542,lysosome,no
SLC38A9,-2.681020356451029,1.814972159073728,lysosome,no
MOCS2 (A0A024QZS1),-0.7085757238449979,0.4995698853476634,cytosol,no
PLPP1,-1.5423422994541731,0.8165531281404556,plasma_membrane,no
PPIF,4.244299999999999,5.060641657354696,mitochondrion,yes
VDAC2,4.638700000000004,4.659178209681552,mitochondrion,yes
EXOC2,-3.089000000000002,1.0863642748754014,plasma_membrane,no
SERPINB9,-0.4330982086600379,0.5655041495202164,cytosol,no
NQO2,-1.1636327625667064,1.2861246191325846,cytosol,no
RIPK1,0.0043183739152112,0.9645697605488988,unclassified,no
EIF2AK1,0.2475596622925273,0.0160360948230438,cytosol,no
RREB1,-0.8661196323549873,0.6572644488666317,nucleus,no
TPMT,-0.4660113602754769,0.6166272283680031,cytosol,no
NOL7,-1.5793500000000016,0.908690552191259,nucleolus,no
RANBP9,0.603295108683934,0.0290580943669536,cytosol,no
NUP153,4.0989553363408575,0.8407503356513907,nucleus,no
TBC1D7,-1.1352495237129965,0.6777071987388067,14-3-3_scaffold,no
SERPINB6,-0.4959750512688465,0.1219637977780089,cytosol,no
BPHL,8.602045320386413,7.430872807799164,mitochondrion,yes
AIMP2,4.740799999999997,1.81060238347114,ER,yes
FAM50B,-0.9936818641190612,0.8721968465685024,unclassified,no
PRPF4B,-2.7016500000000008,1.280497217042256,nucleolus,no
GMNN,-0.7672220975025539,0.4641401305555013,nucleus,no
TMEM14C,-1.2684691755919708,0.6448491466063772,nucleus,no
FAM8A1,-0.1260000000000012,0.1253714823944386,ER,no
SIRT5,5.569519161317476,10.660822181962606,mitochondrion,yes
ABT1,0.3785500000000006,0.1023441278774718,nucleolus,no
DAB2,-0.2090356796750505,0.4193107133811985,plasma_membrane,no
OXCT1,6.06770165954368,11.522418973682552,mitochondrion,yes
RAD1,0.0276946798068067,0.1522967018596906,cytosol,no
HMGN4,-3.15945,0.6887895554900848,nucleus,no
SLC1A3,-2.6067,1.411917916813778,plasma_membrane,no
HMGCS1,-0.4658097798790273,0.1901683485637343,cytosol,no
VAMP7,-1.3085500000000003,0.5070210473396429,early_endosome,no
SKP2,0.403253490669833,0.787454724082325,cytosol,no
NUP155,1.4726999999999997,0.7674371211181386,ER,no
UBE2J2,2.0604701054981724,0.7098307523498081,ER,no
SDF4,-2.61365,1.4992775763438717,Golgi,no
ZNF131,1.1918912087937414,0.3291529674905005,nucleus,no
PSRC1,-4.021500305554834,1.0681914961531995,unclassified,no
AHCYL1,-0.137858536686938,0.2548388399100258,cytosol,no
FAAP20,-0.2651288303768062,0.671323363517692,unclassified,no
DRAM2,-0.5943768946821244,0.3045007809133997,lysosome,no
NNT,7.5351000000000035,3.6297385055244953,mitochondrion,yes
RHOC,1.3705167621339456,1.272767710296493,cytosol,no
CSDE1,-0.5464500000000001,0.0242298726198133,stress_granule,no
VANGL1,-5.836100000000002,4.1214863248936044,plasma_membrane,no
GPSM2,-0.4016715082627975,0.0126526225233456,cytosol,no
CLCC1,-1.5039500000000032,0.4507391252084312,ER,no
SLC16A1,-4.760879879927657,0.5646126174199411,plasma_membrane,no
MRPS12,2.80275,2.15142492390005,mitochondrion,yes
PAF1,-4.621884161240615,1.8165735932297329,nucleus,no
WDR77,-3.058145820693042,1.0236748030639364,cytosol,no
PAK4,-3.469249999999999,2.188148087347399,actin_cytoskeleton,no
AP4B1,-0.6110154531985934,0.7739817090773737,early_endosome,no
DMAC2,8.275577685152324,9.62017370852183,mitochondrion,yes
RAB4B,-0.2371711451421028,0.34813815312409,early_endosome,no
CCDC97,-1.8345044644128912,1.5888784122289596,nucleolus,no
ERF,0.1609900409954114,0.0343581922445242,nucleus,no
GSK3A,0.7814778677793015,0.5896244705266894,plasma_membrane,no
PAFAH1B3,-0.897660168290578,1.1353142525475326,cytosol,no
TIMM50,5.2825500000000005,5.432624725173255,mitochondrion,yes
SAMD4B,1.1456541891701555,0.0504615623361215,stress_granule,no
ITPKC,-0.627801478566905,0.6184992137516397,cytosol,no
