Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,-1.2069770382775538,1.3563321975377902,nucleus,no
RBM8A,-0.9591999999999992,0.426507465769143,nucleus,no
TM9SF4,0.6015000000000015,0.3822483706386858,Golgi,no
PTEN,0.2990627523841667,0.0435272157207956,cytosol,no
TM9SF2,2.271100000000001,2.084027807917285,trans-Golgi,yes
TM9SF3,0.0898000000000003,0.1271923739083411,Golgi,no
AP1S1,2.6512,2.6989142239804527,early_endosome,yes
EIF3C,-1.1038999999999994,1.5424198082051546,stress_granule,no
IFT22,-0.1938180776914748,0.1816588920387728,cytosol,no
PRKRIP1,-0.7248455465872468,0.7118546900406664,unclassified,no
CCP110,-0.5263999999999989,0.2153122214006629,centrosome,no
PRICKLE3,-1.5114822422389729,1.021942351359237,unclassified,no
EBP,-0.4430000000000014,0.823100960431044,ER,no
WDR45,0.994403996319118,1.2789581378784722,cytosol,no
GPRC5B,-0.0300000000000011,0.3803284599837478,recycling_endosome,no
RBM3,-1.2607999999999997,1.1917732150553335,nucleus,no
EPN2,1.9468,0.4673863926210084,plasma_membrane,no
PRPSAP2,0.054310160347299,0.1316424837456637,cytosol,no
BCL9,0.5814288072528768,0.4204561216539414,cytosol,no
SPECC1,1.312100000000001,0.4334403326869857,plasma_membrane,no
SEC61G,-0.8404000000000025,0.934586400253075,ER,no
EXOC3,-3.7685,2.8584760826765803,plasma_membrane,no
CEP72,-3.0988894026204363,1.138156906986347,centrosome,no
CCDC22,3.860699999999998,2.29052475394452,early_endosome,yes
IFT20,0.5071294038679603,0.5125354224244205,Golgi,no
OTUD5,0.3588260017356752,0.4707391588869465,cytosol,no
MAPK7,-0.0330136486397876,0.0670412633622439,cytosol,no
PRAF2,-0.3915603309049196,0.0759467934751711,ER,no
TFE3,0.0315989371539622,0.2870320125098737,nucleus,no
HDAC6,0.0064033599518573,0.0836122625725053,unclassified,no
SDHA,-2.737400000000001,2.123551195300289,mitochondrion,no
FAM168B,0.1449247088941412,0.2680009386134312,unclassified,no
APPBP2,0.7871169375853633,0.7466795776914571,cytosol,no
INTS2,0.1304713641476347,0.0417234172753135,nucleus,no
CLN8,1.3671082885940251,0.1218268178777742,ER,no
TRAF4,-0.2405750764653618,0.6859538590031429,plasma_membrane,no
FLOT2,1.782,1.1554204454053982,lysosome,no
