Gene name canonical,enrichment, -log10(p-value),consensus graph-based annnotation,is enriched
MAGOHB,0.5600372562136151,0.06659886327059,nucleus,no
RBM8A,0.7091500000000011,0.2676996265649207,nucleus,no
TM9SF4,-3.569949999999998,0.5870187120552883,Golgi,no
PTEN,0.358321534838641,0.2496656754087674,cytosol,no
TM9SF2,1.1649499999999977,0.4990283904070219,trans-Golgi,no
TM9SF3,-0.6017999999999972,0.07125904006128,Golgi,no
AP1S1,-0.0370500000000006,0.0070046474338113,early_endosome,no
EIF3C,-0.2059500000000014,0.5351701159674738,stress_granule,no
IFT22,0.0797119606244614,0.2596399964672679,cytosol,no
PRKRIP1,-0.3775815478181421,0.4867759152086722,unclassified,no
CCP110,1.9829000000000008,0.5091896279098705,centrosome,no
PRICKLE3,-0.649211363695084,0.0308678888054061,unclassified,no
EBP,-1.3814499999999974,0.4803173657139019,ER,no
WDR45,0.2303152768728509,0.0884685257538672,cytosol,no
GPRC5B,0.0883000000000002,0.0160068295166478,recycling_endosome,no
RBM3,-0.1493000000000002,0.5155710960448929,nucleus,no
EPN2,0.5262999999999991,0.3417017506734279,plasma_membrane,no
PRPSAP2,0.9841425671168942,0.4152809803293317,cytosol,no
BCL9,-0.0247123879482202,0.2292335163137119,cytosol,no
SPECC1,-0.7024499999999989,0.3301648253896949,plasma_membrane,no
SEC61G,1.5503,0.9449397753910806,ER,no
EXOC3,0.3645063069626637,0.3549315199894829,plasma_membrane,no
CEP72,0.668350161209883,0.13518766919028,centrosome,no
CCDC22,-0.2132780528017761,0.3021890791164099,early_endosome,no
IFT20,0.074474771976579,0.0927196907676639,Golgi,no
OTUD5,0.0734364898609101,0.1614783256515406,cytosol,no
MAPK7,0.0244986053639806,0.3368073333829454,cytosol,no
PRAF2,5.2312368274372005,1.744349689763988,ER,yes
TFE3,-0.200704406591786,0.2574069667764153,nucleus,no
HDAC6,0.1629662011129369,0.0920008044493155,unclassified,no
SDHA,-0.267000000000003,0.3356006417124093,mitochondrion,no
FAM168B,0.9801817578279356,0.8756260608197297,unclassified,no
APPBP2,-0.7457491931232028,0.3529370938245836,cytosol,no
INTS2,1.0224725272558786,0.4171054660775321,nucleus,no
CLN8,-0.9939333130936348,0.7271451554028502,ER,no
TRAF4,0.4578417135392456,1.6768358896289932,plasma_membrane,no
FLOT2,0.3333999999999975,0.0530662618312639,lysosome,no
MYO18A,-0.2225685366996224,0.1653723291879613,actin_cytoskeleton,no
ALDOC,1.2975622267285658,0.0615523720328264,cytosol,no
RAB34 (A0A024QZ68),-0.1409999999999982,0.1474241203319838,plasma_membrane,no
TAOK1,4.3759000000000015,2.4707107845756875,plasma_membrane,yes
MED13,0.0388139522465955,0.0316254615143939,nucleus,no
EFHD2,-1.663353647569256,0.9304293818636046,actin_cytoskeleton,no
TBX2,0.1793590538413525,0.3411982469434563,nucleus,no
COG4,-2.770107752583531,1.291167967273222,Golgi,no
SH2B1,-0.4873136125057229,1.0232831999828709,cytosol,no
TMEM51,-1.454609785452611,1.4337464595696034,plasma_membrane,no
EPHA2,-1.1068999999999996,0.1442957883129444,plasma_membrane,no
BCKDK,-8.379602142558664,0.8474478628041316,mitochondrion,no
SULT1A1,-0.0602984384289726,0.1217939544592311,cytosol,no
PRR14,0.2948282314074362,0.07628568601332,actin_cytoskeleton,no
ZNF48,-0.068820159490933,0.0918253455904826,nucleus,no
CD2BP2,-2.13025,0.2915015932653297,nucleus,no
ZNF768,0.9393499999999976,0.4955705237421782,nucleus,no
RPL18,-0.4645499999999991,0.0813655410487002,translation,no
SNRNP70,-0.1499000000000023,0.381893733515867,nucleus,no
ZNF668,0.227730770921692,0.1101712353561332,nucleus,no
TDRD3,4.443897390938378,1.0455144324522614,stress_granule,no
RUSF1,0.7559500000000021,0.0128825593964429,ER,no
PIH1D1,0.6168431317248277,0.5194542652435,unclassified,no
NUP62,0.7707499999999996,0.3271105005233377,ER,no
RRAS,-1.737879357078775,0.1961905602440043,plasma_membrane,no
AKT1S1,6.091870540046269,6.042518160552621,lysosome,yes
SCAF1,-0.9841499999999996,1.3710206226858916,nucleolus,no
FCGRT,1.030549999999998,0.6889103393662348,recycling_endosome,no
VRK3,1.0419647391239195,0.6711675821951474,ER,no
NCOA4,-1.4517310598505515,0.6042450686786199,cytosol,no
UBE2D1,0.207470954823286,0.5578845626980766,cytosol,no
CCDC6,-0.4286475379080023,0.111998044201667,cytosol,no
PBLD,0.5701143321118494,0.5936252011881972,cytosol,no
HNRNPH3,-1.031299999999998,0.5328543381288809,nucleus,no
FAM241B,1.9300661564224344,1.2629540304803362,ER,no
ASCC1,-0.2249369749449563,0.2691495308375972,translation,no
LRRC20,0.6967684270924615,0.9119861746536456,cytosol,no
EIF4EBP2,-0.0749902082159081,0.1448751039827292,cytosol,no
PALD1,-0.238932484092885,0.2386492474398788,cytosol,no
SEC24C,-3.674831043500255,1.525419943671022,Golgi,no
DNAJC9,-0.029600000000002,0.0603080084965924,nucleus,no
VCL,-0.7717547396515911,0.1020550353922207,cytosol,no
ZWINT,-1.522695272718149,0.9544799089452792,cytosol,no
ZMIZ1,-0.840631351909316,0.2728520345891633,unclassified,no
CISD1,-2.452900000000003,0.4581888584272361,mitochondrion,no
HERC4,-0.0430012055058064,0.3591920999168546,cytosol,no
MACROH2A2,-5.256899999999998,1.4488902978584075,nucleus,no
SIRT1,0.9966441026859982,0.3848923640001364,cytosol,no
PSAP,-3.1922895945961614,0.8497354575711783,lysosome,no
hCG_2002731,-0.2384999999999983,0.0755335570075905,nucleus,no
AP3M1,-0.1032092222186626,0.5347568604742792,lysosome,no
SLC38A9,0.9396500000000004,0.5640586776874679,lysosome,no
MOCS2 (A0A024QZS1),-0.121653464543499,0.0870554101654444,cytosol,no
PLPP1,-1.9111500475061227,0.9909837146756856,plasma_membrane,no
PPIF,-1.0306499999999978,0.6156012107101615,mitochondrion,no
VDAC2,-0.3942499999999995,1.3371554696689658,mitochondrion,no
EXOC2,2.2438499999999983,0.8163738780635166,plasma_membrane,no
SERPINB9,1.1650505600890997,0.6941726228775758,cytosol,no
NQO2,-0.589177983542509,0.6774659195035845,cytosol,no
RIPK1,-0.0373037968622931,0.103348688123186,unclassified,no
EIF2AK1,-0.4560528863040041,0.0198948765245433,cytosol,no
